cid,text,time,author,channel,votes,photo,heart
UgxUTwWsI1s1TKxDvht4AaABAg,"Others : Hyderabad is in Telangana or Andhra ?

Wion : Hyderabad is a state",9 hours ago,Torcher Death,UCe6YABbA9d4TvBEt-2axo5g,0,https://yt3.ggpht.com/ytc/AKedOLS5IRhsTET-k2-8dmRlbkxkt_qCaLdtrjpjrXYx=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4-soXPUK_YQ8MI7F4AaABAg,Inflation is very high in almost all countries but Indians are more vocal  than others.,15 hours ago,P K,UCMNaoAkt1Q396d_aWtSlU-w,0,https://yt3.ggpht.com/ytc/AKedOLRg8Rw-UqYCsf_pWIuFkepnsN6tBfF1n77DSJkRRm4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyye9B3u1KGZ2hjgc14AaABAg,Well i can buy vim bar  only in 5 rupees  ;),20 hours ago,kashaya,UCNVeHwwOJm6c0Uqu9SPMl9g,0,https://yt3.ggpht.com/WGVYIYNOHf-11JMFlbQ_MfFOpjknOvGYVvix4_nn-ET14ALIeGeF6Ha_xoSu_m0Q0NKwFkMW=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUPKD9p_qwwT5p7TN4AaABAg,Modis policies are more sour than lemons,21 hours ago,Maximus 77,UC1vEC5w192DPTgMi5hsDKmg,0,https://yt3.ggpht.com/ytc/AKedOLTLqIVil0JS_vfhb-WAuh-liiu9dbY15zxKgwXzHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgztoNhMrGfTqLgMvtZ4AaABAg,"When life gives you lemons, you make a lemonade....",1 day ago,Antonio de Freitas,UCAwAN5Bxgq045cu_yYdfJVQ,0,https://yt3.ggpht.com/ytc/AKedOLRTGWNupcz48qEkBov0lBNLRRHC_-hznkSdOgXHpQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5uiKLXdjUJICj5r94AaABAg,“The small yellow juicy balls have squeezed millions of pockets in India” great choice of words lmao,1 day ago,Shamuel,UC_05qVt7r3QguXGSu9nfxnQ,0,https://yt3.ggpht.com/OmARxBs8m5CY1203v-MOFaPnRX8VuPfcYpWD-DdRm_4B4Xs2zcRhwPozp-F7qfnSae5iZkzThA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxa9MD4oIFY7L4Kgip4AaABAg,How about $1 each in California 😳,1 day ago,Jack Sats,UCHFXHgelY2o577mZBvJsb3Q,0,https://yt3.ggpht.com/ytc/AKedOLSB6Ci2UzkCMyho4Pda6dDoe_W1kZumXBaH2dnJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW8cm5kK8UOAnweDR4AaABAg,Correction - Hyderabad is not a state in India.  It's the capital city of a state in India.,1 day ago,Sai Kiran,UCCIn48Y0tRYaMJppJtzt8UQ,0,https://yt3.ggpht.com/ytc/AKedOLSHHOCSk6gP8hOJp9SW9w332_Gxctu8I9sGx6rCsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxLHPzDvF7_SkSfF94AaABAg,No more lemons I want melons😂,1 day ago,AshishPawar,UCJ147zN3rDCVF9q_BDONzHg,2,https://yt3.ggpht.com/ytc/AKedOLQQ0dlXZd7yPGCUsyRhFeJK7cWOetEcvf_bFxpcBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYxIDapk4ItNiDkFF4AaABAg,No way it's has same cost as before like 5rs per one lemon in whole sale they will give for 3 rs,1 day ago,sence of change s,UC0XYam2bS0mfw1Inj-LmZrA,1,https://yt3.ggpht.com/J8GF6G2zdGVdkkYvW_3MZnC8XIfQwXvD9a-FZdhDy6UWL1bKyo933PPcbG0BFDCqzCdVqy9l2vY=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXzd0Lhd51UWRGfSF4AaABAg,"Can't even read the meme properly 😒. 
Your editing team got a “F”",1 day ago,वेदम्,UCOvpZc-YrS69YRqU5UmXUUg,0,https://yt3.ggpht.com/QXdulm9Fsruj-rC4BvLERiMmNcGIl0icgyY37Sh2JeCxrrLU0a0DyG3fMm8Jd1wogW-yYFDLoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCCdW7z9sQIk2WOq94AaABAg,Plant lemon trees on the streets and sidewalks. Free for all.,1 day ago,mario kery,UCql3rdK10Kcr0p6WXEI77-Q,0,https://yt3.ggpht.com/ytc/AKedOLQqnJPc4t8eyG81x8Snfz5-TYFn1ehP7FNk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNmieZv4G4zUXLJZ14AaABAg,Hyderabad is a city...not a state,1 day ago,Vijayalakshmi Ambalavanan,UCkFe-913R6cw5IFM8Vfnong,1,https://yt3.ggpht.com/ytc/AKedOLTQ27Mq7Pt1Eo2DyNUeX15nTlZ5aK1gtNMIoLtR2w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPfiuC2Vb_OSWBsAN4AaABAg,"we are having lemon farm we are selling at 80-170 per kg ,we export  them to delhi, chennai , middle men are getting 2x profits",1 day ago,4050 Manoj Kumar chowdhary,UCueC0WCC1wtqoWlri3vGV6Q,7,https://yt3.ggpht.com/ytc/AKedOLQ6WhCxzhnylULMMlhHJxpPTm8uOE6APDHb2qy_rQ=s176-c-k-c0x00ffffff-no-rj,0.0
