cid,text,time,author,channel,votes,photo,heart
UgyoghTXA9jTvIACLwp4AaABAg,"She must be hurry to home, clearly that's visible in her tone 🤣....",4 hours ago (edited),Niranjan A,UCUcNudJunwBay1xihtqqMJw,0,https://yt3.ggpht.com/ytc/AKedOLSTA-YL7EwNl789qVQz_3IKd8lvUq6kLH8fCKej=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrYIXsLac_zLpdwLZ4AaABAg,"Cause for some people, it proves that they’re smarter than others. It’s the feeling of not wanting to be underestimated, fooled, or manipulated when facing an contestant or an adversary; a lack of trust especially multiplies this sentiment by a significant margin. It starts with the insecurity within people in a grand social interaction.",5 hours ago (edited),Nelson Cheng,UCF-mOdpqPYzk03v44sv7vmQ,0,https://yt3.ggpht.com/ytc/AKedOLQ-XPN3jiLMDrMXgbME1msILet96PLJqNBvLg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeN855VSuQBzOCOw14AaABAg,People love conspiracy theories when you have more than 70% of the world believing in something called religion and god. These people are curious to learn things because they are human not sheeps that follow everything that is told to them by a magical book that fell from sky. 😂,13 hours ago,Just Some Guy with a Mustache,UCHEKimK0xiJjcZW62gjlJ_g,1,https://yt3.ggpht.com/vVq2ZuRJe4WCPwEBnAsA_Gn9SKTjiFTEV9wLBBf-3z3HfQs3d1Q-dm8GFQds-0I1aGQB10bDRg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwt0wJpI5vX2YsY-oZ4AaABAg,because a lot turn out to be true! lol,17 hours ago,David John,UC-HFwk0VZ7Ny4hDle4bpVog,0,https://yt3.ggpht.com/0Way3w7D_h_DVBG32EPXJl0Gv56X7XVxJSnzTrbW-hSPC1U7CI21OdXE32HLBg-radd5ZPtx=s176-c-k-c0x00ffffff-no-rj,0.0
UgyW2iC46ACUvMCTMjt4AaABAg,"I don't love them, I hate them, sick minded cultish people believe @hit.",19 hours ago,K Butler,UCYgBCFonNmsE38Fbgw3rBCQ,0,https://yt3.ggpht.com/ytc/AKedOLTblVBrp-cf9ENngzOFhYWEfYMyUxE-q_-WVV0OWg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwp57I0gVFbhG7ZMkB4AaABAg,This is bat country,19 hours ago,Angry Alanski,UCHM4myBxpbHVuNk4-ABAgqw,0,https://yt3.ggpht.com/ytc/AKedOLQak7kTiMF_8bucj6Z3M-qEL4DYPafsCjYAfXid=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrYWNtoEmSUdOa12B4AaABAg,Sadly majority of conspiracy theories are getting true and a fact each passing day after 2020,22 hours ago,vinay somaiah,UC-iJuECLigapkalsm8zX45A,0,https://yt3.ggpht.com/ytc/AKedOLTCEQsGHbA6JskB1V3twXul8fp4a1IR5jLpOQT9YA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzfSkq7fSI1Xv5uOkl4AaABAg,"Bcz anything that doesn't fit the popular media, politics, organizations or academic narrative, is now labeled as conspiracy theories.",23 hours ago,Shafqat Ishan,UC1xzSSwszj2f4USe7hSQ4VQ,1,https://yt3.ggpht.com/ytc/AKedOLSSQA3tIgEkOo9UkJsUq07_RiAygHkIX6SfJLvMNQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMEFu3DPsC_PQ7hPJ4AaABAg,"Be careful with this one, WION. This is not just a small issue, it's either you will be at the side of the truth or you are at the side of falsehood... Learn more!
Make your own fact check about single thing that you think a conspiracy theory only.",1 day ago (edited),Ta Mie,UC5i7JLcaxlAYaPvoD8m4kJg,0,https://yt3.ggpht.com/ytc/AKedOLTlDN9MQ3SNP7R2tVhkWsEiHPh9Qfk7rEZG7Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzx9LP6AZDWIwccDL14AaABAg,because its the truth. we are you so afraid WION?,1 day ago,Francois Dupont,UCAisMsPMaYl5PkNfK2wMt0w,0,https://yt3.ggpht.com/ytc/AKedOLTLtRvx3_RoB4-hrwaUNg7qSz08SpL4F6AqDQWYlA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3IixI-mAjVX7jtPh4AaABAg,The biggest conspiracy theory is: there is no validity to conspiracy theories.,1 day ago,Funstuff13613,UCsgS8u6pErVHZNLTclrbKCQ,0,https://yt3.ggpht.com/ONdxFKbblj4t8QapZL2WzTL2koyJ98YbnzkZ8CDXe-BLqLZMXOf-9QYxg7Masji4y8pBSJto=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrfTI1vrze0lmnP2R4AaABAg,The conspirracy theories have been proven more right than their counter parts.,1 day ago,Kelvin King,UC6m-aAkl6U_1Xp3NkGLOAqA,4,https://yt3.ggpht.com/ytc/AKedOLROud5ESY2qwaVkNCo53oXKKgneZlGaaGSWtw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYRCq5FNpb7SJwCl14AaABAg,"Jesus himself was accused of conspiracy theory when he asked those who wanted him dead when he asked them, 'why do you want to kill me' and they answered him back and said 'who wants to kill you' and told him he was mad or lunatic. But Jesus was right all along for those were the same people who conspired and planned how they might put him to death.
To deny that there are conspiracies happening in this world is to live a make believe that evil doesn't exists at all!",1 day ago,Ta Mie,UC5i7JLcaxlAYaPvoD8m4kJg,1,https://yt3.ggpht.com/ytc/AKedOLTlDN9MQ3SNP7R2tVhkWsEiHPh9Qfk7rEZG7Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzcewkolFKClumwJdl4AaABAg,"Why people like ""Conspiracy Theories""? ANSWER: (1) The Media Lies, Propagandize, Promote Narratives, Twist Facts or Hide Truth and governments are even worse, (2) By using the term ""Conspiracy Theory"" shows the extent of the Reporter's, Commentator's or anyone else's Brainwashing, Indoctrination, Psychological Regimentation and Programming. (3). Every So called ""Conspiracy Theory"" has turned out to be true and those that said they were a ""Conspiracy Theory"", were proven to be LIARS, DECEIVERS and the promoters of DISINFORMATION AND MISINFORMATION.",1 day ago,gmswealth,UCZtvOKneBdJWAfagin0IxLQ,0,https://yt3.ggpht.com/1qt38hZdkFBH3fazgxi1i5kTpDo9SOHejmgwzWC0lQbHRhblJsDq40cHcMc9STxY9urtyRRI-g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzy4CmjBC-dZR9rc114AaABAg,You know the difference between a conspiracy theory and the truth...... 6 months,1 day ago,Louis Chretien,UCF9W1uaHkdXsPfI0YAb93cg,1,https://yt3.ggpht.com/ytc/AKedOLSHZ7YpAdfDrDUOlN4ZCXA92QfX5FmSpwfi4Lz-=s176-c-k-c0x00ffffff-no-rj,0.0
UgzpikOplJrhFM7AYEp4AaABAg,So weird that we want to know when our government is LYING TO US. Right ? Like.  I can't imagine why we want to know the secrets they keep from us while oppressing the little guys and then having the audacity to tell us the devisive atmosphere is because of RACE.,1 day ago,probably not an Agent,UCpVAdEezW8Dmh2Ku24ZWbWw,0,https://yt3.ggpht.com/3Mnu5M7ZwM2ViuQqDT7TH6BqRc4gt7Ea5An1NsEw45EI0d_no5SOjuioDw_LZx-0dRoz-F8U=s176-c-k-c0x00ffffff-no-rj,0.0
