complete_video_IDs,video_titles
https://www.youtube.com/watch?v=KbDloHK8S-w,Ukraine_under_attack:_Russia's_fresh_offensive_against_Kyiv_
https://www.youtube.com/watch?v=sHhgc2dkvU8,Eco-friendly_modern_architecture:_World's_2nd_tallest_tower_made_of_wood_
https://www.youtube.com/watch?v=WIMrU1Or0Yo,"South_Africa_receives_more_rainfall,_survivors_still_in_search_of_missing_relatives_"
https://www.youtube.com/watch?v=5fBg3jG_aeY,"Pakistan:_PPP_content_with_one_constitutional_post,_intense_discussions_within_allies_over_berths"
https://www.youtube.com/watch?v=In5sQy4MS9w,Ukraine_under_attack:_Russia_invasion_leaves_behind_trail_of_destruction_
https://www.youtube.com/watch?v=ddrnHf-zeIg,"Russia_warns_US_to_stop_arming_Ukraine,_sends_formal_letter_warning_"
https://www.youtube.com/watch?v=vNeo8AtuN8s,"Cactus_species_to_be_affected_by_increasing_heat,_says_study_"
https://www.youtube.com/watch?v=Y-VdIWJ9cuI,"Elon_Musk's_Twitter_ownership_may_create_trouble,_questions_over_conflict_of_interests_"
https://www.youtube.com/watch?v=XeSu0QgoaG8,"Sri_Lanka_declares_5_day_share_trading_halt,_faces_food_and_fuel_shortage_"
https://www.youtube.com/watch?v=rCkcFxeEDCw,"UK-Rwanda_sign_new_refugee_deal,_UN_raises_human_rights_concerns_"
https://www.youtube.com/watch?v=EWTfbU5wAXc,WION_Live:_Russia_threatens_more_attacks_on_Kyiv_
https://www.youtube.com/watch?v=u25K6c3SRxg,"French_election_2022:_'Don't_politicise_our_headscarves,'_says_Muslim_women_to_Le_Pen_"
https://www.youtube.com/watch?v=yJSsq2fW5ZE,Gravitas_Plus_
https://www.youtube.com/watch?v=vSoCEmyp7AE,Ukraine_under_attack:_Moscow_calls_out_Kyiv_for_targeting_border_towns_
https://www.youtube.com/watch?v=Q8ZmEudUSOo,Israel-Palestine:_Israeli_cops_detain_about_400_rioters_
