cid,text,time,author,channel,votes,photo,heart
UgyZfhor8llK_cjbmax4AaABAg,Mam aapke video dekh kar seekhane ki prerna milati hai🙏🙏🙏🙏🙏🙏,1 day ago,Aadarsh Kumar,UCKt0q_F6h54fcd5GLZRl8zQ,0,https://yt3.ggpht.com/-0Ued-xPcpyelwh8zxZ-GqakdgKgodWzCeBz3lJQFBxv0Qxge7jXToNCYSAbRK8u9-NOFhRrz5s=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjVUm2BFCdWKq8D7d4AaABAg,👍,4 days ago,Sarita Kumari,UCKKsGyNl4HKbFECH2a85unw,0,https://yt3.ggpht.com/ytc/AKedOLSvlOirpU6wfRSjzqeDqtUyEB5R7PcQnsyV2G5Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUFEgSDyRWlmhxijh4AaABAg,Love you my dear di ♥ bhut testy  ji 🙏 ❤ 👌👌,13 days ago,COOKING BEAST GEETA,UCN1PMnNc8wfj0xFxy2fn7XQ,0,https://yt3.ggpht.com/oVitraqZybkGBA5-8HZ8hZCXFv2IYwDAFRZ5zGnCIegbyOt_E7xj-clgxR66CczFKNgLF6ZKNg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmAaZ1p7sDeziZtKJ4AaABAg,Hello ma'am.. Maine aaj namakpare bnaae .. bahu acche bna hai.  Thank you so much ma'am 💝,2 weeks ago,Bharti Chadha,UCzOJpwNl0-0XzmEB_LYR4-Q,0,https://yt3.ggpht.com/ytc/AKedOLQ6cy1ZUQqb56nb-Oe2A5T1yNeFG-baDuxMakkSyg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUeN6q0hx6WyzB-8F4AaABAg,Bni to achi h mam but roti gol ni bni jese apki bni h,2 weeks ago,shipra tiwari,UC0ZXxyTt58X1soPHL4W2lIg,0,https://yt3.ggpht.com/a5tkh0YvZjXdMU_MlwbX9twmJmLYuDqlx43lPOWMBoH7LvH6cUabXcJUO2uQcFau1LUuJlqCYQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyErnTeIn1a9O65Ztl4AaABAg,"Mam , apne jo roti beli thi wo to ek dam gol gol bani .
But meri to esi gol ni bni",2 weeks ago,shipra tiwari,UC0ZXxyTt58X1soPHL4W2lIg,0,https://yt3.ggpht.com/a5tkh0YvZjXdMU_MlwbX9twmJmLYuDqlx43lPOWMBoH7LvH6cUabXcJUO2uQcFau1LUuJlqCYQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwu_8Yfwl9uQi2C_ER4AaABAg,Mam dough banane ke liye thanda ya garam pani ka istamaal karni chahiye?,2 weeks ago,Dimpi Phukan,UCITHYluNk8Ri0Gv9ablu5cg,0,https://yt3.ggpht.com/ytc/AKedOLSRNLbIyE0Njd9ndhHX45SlAcQYNEJHmIoLEg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwpwoa54AfjX1YbRWJ4AaABAg,Namaste mam aap ke banaye hue khane ham bhi try kar te hai or bahut acha or Swedish banata hai,3 weeks ago,renuka kumari,UCgq9HXySgJqYVilo_KoX2Fg,0,https://yt3.ggpht.com/cLmVrUPwPkxDbtg1ZkqeBmmkwFsZD1F5Oc9y4Ezql6ZI6MmIAQIGZL5ZxotilMPQhtRGVJNL0Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgztwiBU2iScjpL0UeN4AaABAg,Mam kaju shape vale namkpare ko aap plastic k bjaye hong k dhakkan ya dwai k dhakkan jo ki tin ke ho unse katiye bhot easily cut jayge.. Ye meri dadima ki bhor purani recipe hai.. 😍😍,3 weeks ago,jagrati gupta,UCuk-65wNxEycpJw0CkSMPhw,0,https://yt3.ggpht.com/ytc/AKedOLR_Jq34UhY-CL-s6o63DgEv_pViPiVoRgW_wVsE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7bRd6r6QHkbFZd3h4AaABAg,"Mam ji, kya hum 1/2 aata aur 1/2maida le sakte hai kya.",3 weeks ago,kt,UCdj5KZ1yicXkpBXk_7AP-Ug,0,https://yt3.ggpht.com/ytc/AKedOLT1BeyNXf5KeNnLWOmX1NcR228-fwUtLG2nXI9kghv5AsgI00i1Zspr1WcqozHlJg=s176-c-k-c0x00ffffff-no-rj,0.0
