cid,text,time,author,channel,votes,photo,heart
UgzDNeA-Kjw0TsYkYBF4AaABAg,Isse rice flour se bna sakte hai kya,3 weeks ago,Anuradha Kumari,UCUYTg8r9ptaYFBXeCBybu7A,0,https://yt3.ggpht.com/ytc/AKedOLSqVTwY87wFo5fWJeEp2dXNiNrAF112oyjZ6yMp=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzg7QqgdMf7GxB1K9p4AaABAg,Sis very nice receipt will surely mk looks very yum,4 weeks ago,Subhashni Devi,UCN9NeS_GXelt5JD_x139rrw,0,https://yt3.ggpht.com/ytc/AKedOLQ4FQCrn5jd6tnQFkiS1xqzs4RfsSNplwMa1g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5HETf9robn2JpbXl4AaABAg,Can we fry 2-3 anarse simantaneously?,1 month ago,Saroj,UCfQ83e-4VdQMXVH50qMCm8w,0,https://yt3.ggpht.com/ytc/AKedOLTf2qn6G7faRMbJvVNV0MyTBi22upf-ydZpww=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwb1ybLn15ojpjgwrB4AaABAg,"Wav maim,aapka ह्रदय से आभार की आप हमलोग के लिए नई नई टेस्टी और हेल्दी रेसिपी लाती है भगवान करे आपकी आयु बहुत लंबी हो और आप हमलोग के लिए ऐसी ही अच्छी अच्छी रेसिपी पोस्ट करती है thank u so much maim🙏🙏🙏",2 months ago,Pinki Dubey,UCWzEbvO0iHsNZeO61zJDTAQ,0,https://yt3.ggpht.com/ytc/AKedOLTYS5wBdED_AIne0wnVSWJuu-Yz71PdMzXmNw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2FkZeRy7-InceWA94AaABAg,Yummmy... 😋😋😋😋😋,2 months ago,Mahnoor's W0rld,UCt5toUsF2e4Y5arMFrOBHEQ,0,https://yt3.ggpht.com/ytc/AKedOLRnfNaR66uXp-Ij3HuMdefZw5khG5VsLdqVEan0-Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeFFa0fSW21J2syjN4AaABAg,Jab mai use oil me talne ke liye dal rhi hu to ye bikhar kyu ja the  hai,3 months ago,Anil Kumar,UCU7Nc47-ghs87hxDy8H_MuQ,0,https://yt3.ggpht.com/ytc/AKedOLRyPc0sNWNm3dLLsVXGnqX9wa6A03rgWs1-6Hx8GDBgB8vxdtIiakcwPQXiAfU3=s176-c-k-c0x00ffffff-no-rj,0.0
UgxerYlkZbf26q4vRmV4AaABAg,Thank you  will try it out.,4 months ago,myrtle solomon,UCqhuOBhgQpecq-aU_Qzl40w,0,https://yt3.ggpht.com/ytc/AKedOLQR-KfNZkEn4qQf0k8V4aE2jkR2_51xYPega5c0RQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnoB_HZdJsm3-OwQ94AaABAg,Yummy 😋😋😋😋,4 months ago,kirti'skitchenette,UCdwYfqXnfWB4WE-1Xhr1Czw,0,https://yt3.ggpht.com/R_pnLXmvbRcxmOIuLEYL8XHkU_2vYsjCtu3N_ata2hGFRpfQ_GUKApmpZfGNL9rm1IgCbO01KA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwvs0vpzQ6eYhvxp-p4AaABAg,Nice recipe.madam hamare yahan esko arsa bolte   khane mein bahut achcha lagta hai,5 months ago,Deepa Bisht,UCCEqScEChn-B26b8WyYDltQ,0,https://yt3.ggpht.com/ytc/AKedOLQ8bf-Oqz2TzN5JsXSFq5YY57NjLoFtrELJ3wpz7koCKvVayYdZGButh0B02M3H=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_MZpEsuQvib_2IYR4AaABAg,Chawal ka atta use kar sakte hai,5 months ago,Smita kumari,UCsKJqiHZ9R_w6-hnVagE_TQ,0,https://yt3.ggpht.com/V4TDJKMLjMCxlSc-JdLLsDI09iZy40SdKndadRUgZ2hcej2GhFQQ0ZwAaoudXfYFzjYP2gt3=s176-c-k-c0x00ffffff-no-rj,0.0
