cid,text,time,author,channel,votes,photo,heart
UgxL5Td_dZEQxzRwh4B4AaABAg,Ye kerala ka achar hai kadumanga bolte hai,3 weeks ago,True King,UCvr6-NuvL_WTKlhV5JYbw-g,0,https://yt3.ggpht.com/VFYXViTRbj_mMc6W_Zaa5g_svSzZVI2XBC3xFacQr_yFjJHhheZcMbpud50HzLqKXZx4vwJgTQA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtT-Fj68FD9C7LJNp4AaABAg,🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻,5 months ago,Simpal Sisodia,UC97p6d9JOjLJ1aQnb5JUtnw,0,https://yt3.ggpht.com/ytc/AKedOLS4WiuSiYpuVL5yQV1vf2UJhloUkd5Bx2dy0ucY7w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIMJcZIh2D2t3HID94AaABAg,Wah Aunty g itna easy wah thankuuuuuuuuuuu😗😙😚,6 months ago,MS MILI,UCCYwS0ezduIsrQ6ufsbh_AQ,0,https://yt3.ggpht.com/ytc/AKedOLSi_37o-K_-qt6O1wwgXjAk-zC-s3u4XRld5Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-W2us0BnBYANSB6R4AaABAg,Namak ka pani jo bana hai usse achaar mein reh dena chaiye ya faik de?,7 months ago,pooja gupta,UCQrqawKqgJzLzz0shymnYAA,0,https://yt3.ggpht.com/ytc/AKedOLQ7RqYgPIRDQTwzzNWGmBKDGghEAE1ZWOvEXQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx00G6XxkeB71JyPVJ4AaABAg,A great fan of you and your recipes. Excellent and mouth watering. So easy also.  Waiting for the same since long...Aapka atii aabhar 🌹🌹,8 months ago,Ranjana Singhal,UCRr-zBOT9qvBYfO3gntIzYA,0,https://yt3.ggpht.com/ytc/AKedOLQQnXdLfC1ip0Wbne0yvCy0A8YjZ1z33aO35TW0=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeLgvMVhwKU7Qo4Eh4AaABAg,"Hi Nishamadhulika Mam, Can I start the process of this pickle in monsoon days (august in Delhi) as it does not require sunlight...as per the instructions given by you mam.",8 months ago,SONAM BANSAL,UChNFgAtHSRepWa20Y29jI5g,0,https://yt3.ggpht.com/ytc/AKedOLQsgRNM9pUogQyRVeybDocritGTEcpfcuI9hg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5OwW89rAhQTy0ksZ4AaABAg,My favorite bati u r really great chef 👨‍🍳,8 months ago,Pushpa Jajoo,UCzxanmd5bq3wzxbVcDgscmg,0,https://yt3.ggpht.com/mOKSxMWfLJtJnPOVmm8Uo9JeABn5URPzLGLlKfq6W1Pk8i2JZ1di7YyRYTdutpdGmTOBs7x_Lg4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxo9AuxKuWvzauF_Xx4AaABAg,Ma'am thanks for this recipe.,8 months ago,Vipasha Sharma,UCWiaKjcBZCJmb0u6OZ1HoOA,0,https://yt3.ggpht.com/ytc/AKedOLQLSpIs75lxj57onD3QwzyMgo2cm46AcCm2qw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxJe00zPvODYguIYUp4AaABAg,mam isme oil spices add krne 2 din baad add krna h..?????,8 months ago (edited),Diksha 11,UCgRicoemitQwzmSMefpfrWw,0,https://yt3.ggpht.com/ytc/AKedOLT4f5Q6IwVsCCj0oLeaP6SwdH1Qgs2avnO8hw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwHhE6l0Udrn5l0Vt14AaABAg,Should we keep this at room temperature or store it in refrigerator as it is with less oil,9 months ago,monica goel,UCdg9KuHNSK1iU0Nc8TipnIg,1,https://yt3.ggpht.com/ytc/AKedOLQjBSyH5o70hY5-pJI-pp7i8_vIBO4eKch0jw=s176-c-k-c0x00ffffff-no-rj,0.0
