cid,text,time,author,channel,votes,photo,heart
UgwqgYQBnLff_NdFsB54AaABAg,Thx God bless you mam ji,1 day ago,Gagan Deep,UCOSY08r8_hXjsvWbbuzMXZw,0,https://yt3.ggpht.com/ytc/AKedOLQUiZ1r-znvqbjT8RSVfGv5jQW4MgNU5KFOfsTxA1NhFNw4yPGMpWuwyuc7msrH=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0lxDW1RTXqdbPM6t4AaABAg,Very good,2 days ago,Faizan Shaikh,UCn95VRU3WDTY84AVztTXj3Q,0,https://yt3.ggpht.com/ytc/AKedOLRcuacqbjfJTVbTx63OmswfA4tH_6lu83g8eA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyn0c_qgDPzfxJTHYF4AaABAg,"Tasty 🤤 
I will defnetly try",9 days ago,Just chillin,UCRP3Oby1MeLCL4AooP4z9hw,1,https://yt3.ggpht.com/QwgmAC_4nPXfs55dyGLaVgxdlgv96OzExduaZ5FIGNqnLZdIT-8qCCwshA7zlnLaoBU4kxOZsL4=s176-c-k-c0x00ffffff-no-rj,0.0
UgzGSYxxMI8XhDBqI4F4AaABAg,Hum jab vi alu ka koi vi recepi banate hai to boohat zaada pani chorta hai aur tel me alu faatvi jati hai...pl hlo maam 🙏🙏,2 weeks ago,Smita Saha,UCV-JpbI9bpoCG2HdH1iLISw,0,https://yt3.ggpht.com/ytc/AKedOLSG81Tyijd91df9187x0wgvB1oI4xA3F7LBIQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwqd4sbtQa1YXErNtV4AaABAg,Very nice recipe ma'am 😋😋,3 weeks ago,Soniya Anuj kumar,UCAaEaMgHZwrygkHLtgYylOw,1,https://yt3.ggpht.com/Abaky4yTYgRV1jbGylqAmxUD-zqiUA_A42wt85bMRs_KD7pCvoBwXNqMdZNO_-i1NRW6zHdYFA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwixpr_kX8fklhtsId4AaABAg,Your recipe is good but besan destroys the taste,3 weeks ago,Kanchan Singh,UCQxkIRW2W0P0iG5BWW2dElQ,1,https://yt3.ggpht.com/ytc/AKedOLRduFupZxwWjPqH4A6ExM6Z2YV3t253uBPe3M7HsQ7talOZ23xvhbe4pDsKr_80=s176-c-k-c0x00ffffff-no-rj,0.0
Ugycsx7nfvaBvame_-94AaABAg,Gud job♥️,3 weeks ago (edited),Navneet,UCKWVfI8wj1dIgK9Bo2iMrrg,0,https://yt3.ggpht.com/yUkoW1bVq9I6ihXgwuyrDOiUXPA04J4IiEdt_yv-3k07dtmI-Qrq-KOpyNgPaCe9xcDfsO12=s176-c-k-c0x00ffffff-no-rj,0.0
UgzaH5sNw6kZLLok6uF4AaABAg,👌🏻,3 weeks ago,Asha Devi,UCTH8AldVbVjn8uurEYh8xuQ,1,https://yt3.ggpht.com/ytc/AKedOLSf4zNGMMqBIzPZVEN8lo32OE-Lw-WRv0mAgw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugztcdt6HfcrROHNX3J4AaABAg,Mam aapke bccho ki toh moj hoti hogi..roj  nya nya khne ko milta h😂..nd recipe was yummy by look nd taste both😋😊,4 weeks ago,kumkum Sharma,UCcnOX2zEDPAJ0zo3lXxNmOw,1,https://yt3.ggpht.com/t_OJeliXsORci2biQhyr9xjngCGjIIhp1aoLDpNYErpZ71ABNlldnmpVPSDfvuOAf0W_oET6xy4=s176-c-k-c0x00ffffff-no-rj,0.0
UgygzuHa7yTkvXVV-wB4AaABAg,Nice aunty nice,4 weeks ago,Gul Shaikh,UCnRkkBus0kf99j7WHB8IjLQ,0,https://yt3.ggpht.com/ytc/AKedOLQ_OrJ9mCahpIk5A2-aDfuZIcr3wGubLfVilhzB=s176-c-k-c0x00ffffff-no-rj,0.0
