cid,text,time,author,channel,votes,photo,heart
UgxSerJ_0iceW1bm8fp4AaABAg,"thanks y shikanji Ghar me hi bana sake , bahut badhiya recipe😊",13 days ago,Abha Khandelwal,UCR-HlB6MbOy79YA7e6qLg3A,0,https://yt3.ggpht.com/N4oS4isvWui79LNQ45SavcvDMd6W7k2iTic7KfdVhtmW2z5nE4DkpQDM65RI-S9OH9FJ5wsOOQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdwNPQ1BXxPx0YIHR4AaABAg,Such wonderful recipes. I always wonder who finishes such yummy food after preparations. Do you shoot in a studio or at home? I have learnt so many recipes through your channel!!,3 weeks ago,Prachee,UCgSiBD7A8ZV3mGQbr9NbiHQ,0,https://yt3.ggpht.com/ytc/AKedOLT6DjeP76NumGSDn_gJEnr15ETSTPI_JHh1zOUElkI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7rhDkJKsmwzdR23B4AaABAg,Thank you so much mam,3 weeks ago,vinita thakur,UCavUP6djBw9WigD4uR_X3Zw,0,https://yt3.ggpht.com/ytc/AKedOLSW1Lr9o0K4HDE6lktF_UIZnGQvK81_tE46stf1=s176-c-k-c0x00ffffff-no-rj,0.0
UgztRLBoAd4oC_mmhSB4AaABAg,I ❤ Indori Food thank you Nisha Mam for this recipie......,5 months ago,Krishi Darshan,UC6_Yz1Ob-XU_OTUoBLkjV2Q,0,https://yt3.ggpht.com/rJROw4LP5zbmYHsne-3_u6lNMpVuyIXx8w2UawWHRJRppH5N_9IjP_Ma4dj22o05wF0E5igLuA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3tbcFuYtt5_IakTp4AaABAg,Shikanji me bhigi hui khaskhas ilaichi jayfal kali mirch thodi moti sonf bhi dali jata hai.,5 months ago,Pinky Ukey,UC3xvcZByAmQqYm7dJZPFcdA,0,https://yt3.ggpht.com/ytc/AKedOLRUdVkuipG6msaRdgbKBWqNpv3RrhGGlZJVSw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsgGBSG4WkPWMolBJ4AaABAg,Aap se ye phuchna chahti hu maim kya isee vart me pi sakte h plzz reply kariyega,6 months ago,AKRITI SINGH,UCcrvCkGMCfdAZTSa4ah1d-A,0,https://yt3.ggpht.com/ytc/AKedOLQ-0nBNiUEszA99XlzkFmrcxjQEGlQSANGAJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgycNoOBgcNdReiwfgV4AaABAg,Delicious sikanji 💕💕💕,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgyidiQQiqQoSJOVF194AaABAg,mam you are one in a million,7 months ago,Mahesh Shrivastava,UCF-PThNE9if_j5TfbuZYRcA,0,https://yt3.ggpht.com/ytc/AKedOLQyqwyJND3eWTZ0cc6kazXBXt1neTBmsDYzAXs5=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMGKUm7VrGKDwfLQJ4AaABAg,Mam plz lassi ki recipe bataiye na,7 months ago,Shubham Kamble,UC9wjsP4QWcBWGoXBIq5zyWA,0,https://yt3.ggpht.com/ytc/AKedOLS65qaGKCwBvIYG1o1dQjVagHvu923VmMRBxImo=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQCKPx18CXEmP5tq54AaABAg,Nice,8 months ago,sunita vijaywargi,UCBA2Ynb8Y7Y2zmC6xmb2HUw,0,https://yt3.ggpht.com/ytc/AKedOLTl7Nroq2YZVC6mDPkJxifWpoAQkCZwg9BHbg=s176-c-k-c0x00ffffff-no-rj,0.0
