cid,text,time,author,channel,votes,photo,heart
UgwJogLswnmXgrngDa54AaABAg,Thank u mam ap hr chiz bhut bariki se smjhati ho jisse koi v dish grab na ho,4 months ago,Rajeshee Manjhi,UCZY-e41we6mq-u11gdPGaQA,0,https://yt3.ggpht.com/ytc/AKedOLT86FccgmTWsRECsefZQlVljRkOOR_yGXtG6D0iHlznnR-bb80cKZ8vWUveQJLx=s176-c-k-c0x00ffffff-no-rj,0.0
UgwT060sf84rnfaeV1p4AaABAg,Thanku so much medam.,6 months ago,COMPETITIVE PREPARATION,UCmQJ3AFGlmpvZxgRF33nOmw,0,https://yt3.ggpht.com/ytc/AKedOLQZbt4m54qVMx72_XPkXvGOPAwqFmWFAIHZxw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3QsDhq0Y17IkHIRB4AaABAg,Namaskar dhidhi. Your recipes are super,6 months ago,Chandra Narayanan,UCUTbtGHedSd9GgIJD3a7joA,0,https://yt3.ggpht.com/ytc/AKedOLQ-yVQysNX2bpn1r6G7YVHf7KSIVXZIhPn62Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCb4OflAToVMlgvDB4AaABAg,So yummy nisha ji I will try.. 😊,6 months ago,Bhavana Sulakhe,UCn2gpUExwV1mC8rzRFvFI5w,0,https://yt3.ggpht.com/sIdqGK041TR0DiPR6Mvo08Zs2UPxlv_OF5_QnQ9RPKxa0oMC_YDyAKzrzj6O5TKIW4S63icGgg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1BewqtS2PnFfPMIt4AaABAg,Woow mam kitni achha aap idea deti ho bnane ke liye 🤗🤗🥰🥰,6 months ago,Nisha Kumari,UCXX-izvmgySBjWHkOQtWs7Q,1,https://yt3.ggpht.com/i7MpDwtq4sJszg1f4s1zVVfv0Urcm_9LwB_WScLyP_WtLYK5WbMzTQqwoyhHzbZOIiDBwwZHfA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxqr5OJQxQQNBfxtV54AaABAg,👌👌,6 months ago,Kamini barasia,UCNp2IIhlw197SDEqmHG0FLw,0,https://yt3.ggpht.com/ytc/AKedOLTtn1BcpvfI0sem2fQCtP5-nBSpV_bptadASQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLbBBFCRG5xStmY654AaABAg,The queen of cooking channel 😀,6 months ago,Shilpa Kumari,UC1Pma78wBLPPj5159eUrshA,0,https://yt3.ggpht.com/X_npfuAgAodSDKQriwcHwRqpz_7jgnxUYq-ZdPrXSW28VPIpd-nenbD6MQIa79M3uuYNjDbcd4w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-0KuXdy8gYuB9jHV4AaABAg,Please dee,6 months ago,pritam Yadav,UCiSmWpD4DitPQxXRBUMjzkw,0,https://yt3.ggpht.com/ytc/AKedOLQjWaVgl5vwwriNTn-ZoZBqUgEcjh_F9CDRJ1XSVg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3XzJx3nCW2_HEUHd4AaABAg,"Dee please 🙏🏻🙏🏻🙏🏻
Mere liye smpapri  bnane ke video   link send kr dijiye",6 months ago,pritam Yadav,UCiSmWpD4DitPQxXRBUMjzkw,0,https://yt3.ggpht.com/ytc/AKedOLQjWaVgl5vwwriNTn-ZoZBqUgEcjh_F9CDRJ1XSVg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzgTi7zXktQntRnar54AaABAg,Bhout achcha hai,6 months ago,pritam Yadav,UCiSmWpD4DitPQxXRBUMjzkw,0,https://yt3.ggpht.com/ytc/AKedOLQjWaVgl5vwwriNTn-ZoZBqUgEcjh_F9CDRJ1XSVg=s176-c-k-c0x00ffffff-no-rj,0.0
