cid,text,time,author,channel,votes,photo,heart
UgygXohwAxJthC6LDql4AaABAg,So tempting and easy recipe 😋😍. I'll try it very soon.,2 weeks ago,Rocky Doodle,UCrug1dtxmSGdIyCEl6F3Hiw,0,https://yt3.ggpht.com/ytc/AKedOLQu51AjJ0GSfRNRGNdzdz8WwDpgimeyCypkMA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw55fNwTsPPD5E6RRV4AaABAg,Really yummy,1 month ago,Amit Aggarwal,UCpQA7vlCMK22iI0H610dlfA,0,https://yt3.ggpht.com/ytc/AKedOLSJG77BLSD6q3GTvxGTdRF-fag9UHHX7gZSBTloEQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzoWn4YZApYahVFz714AaABAg,"Mam malai cake ko cake premix se bna skte h ya nhii??? 
Please please please reply me mam🙏",1 month ago,Soumyaaa rathore777,UCv21BoX1FJwAplqk50PXrOQ,0,https://yt3.ggpht.com/ytc/AKedOLSxbaYl0uWM6-jFzASafbPAO-c-7MU-OOafxhK1yA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDb_lIeJKLNNqrwip4AaABAg,Bhen nishamedhulika ji nmek kdai me dal kr dhokla bhi bna sekte hai,1 month ago,Sushma Sharma,UCStUa-J6_6DdLeHiBp1yTIA,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOqAvVWqaNIDIAwx54AaABAg,Kya malai cake me eno dal sakte hai,2 months ago,Reena Kumari,UCPyB3O8lciJpMtY7te0TGug,0,https://yt3.ggpht.com/ytc/AKedOLTUACQ2Yq30UAfk69KX6nb7uGMmNBYsGxvGET0Gkxa_3vekLwF3J1S_3qstGi4G=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyz2XVAdyt709OuVqF4AaABAg,I love cake very very yummy 🤤,2 months ago,kitchen with azaan,UCli0KnLBW5a0F_4kWS88t0g,0,https://yt3.ggpht.com/IecBtzG3xDEpFth0JvraOHGpYgm8jiNklhSWAmv2hSY0yTpCYgpbK57C8iAp_UyvMEsRQMKMZg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOogwyiTpEw4vfsHJ4AaABAg,Super Recepie 😍😍👍👍,2 months ago,My Interesting Vlog,UC36xyr9FTlU3EjKjIbdr31Q,0,https://yt3.ggpht.com/sWaoEvZW5d5IY68pbK36ERfar4TbnkfU10-Fw-I-_86I33ZpxFkLGot3MvVZBx4c3if3OrNm=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxf7smBbWJKlTarpLx4AaABAg,Bina baking powder ke nhi bn skta h,2 months ago,vishesh kumar mishra,UCAmShISCt2WFOt4d3AZS5nw,0,https://yt3.ggpht.com/ytc/AKedOLTOsf2W1BfU99PKpcBFgy5jX5OYtYkmPIIqPQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6HWNiz_VVz2tvBep4AaABAg,I was looking for a cooking Channel who teaches how to make delicious foods without onion garlic.. And I found it. Best part is pure vegetarian.,2 months ago,S M,UC4KUNLPiXqap_tFcd6YSU0A,0,https://yt3.ggpht.com/d4m6Fmj7RoyAtx2lVyz4894Jth26i4aRq4fEm0uMGHisAm77j5RoOTgMAQb4wXQoyuMLmoWFmw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNP4qZD7Xjyjvvbjp4AaABAg,"Nice receipe, looks delicious 😋👌",2 months ago,Ahare Bahar,UCdG0FglM9_QUNk6NKQfj8MQ,0,https://yt3.ggpht.com/HoXX-Da_EHqPpACfZte_ABz-Ar3YwrajM6ObGl95Ke6reb_ZaWL7ms74fbii-MSlo7IjgD68VA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxd0Dbey1RHUvkTJSl4AaABAg,Tasty👍💝💝,2 months ago,Chatkharay With Nighat Rashid,UCvmCBG2YsRz78wM427__lLw,0,https://yt3.ggpht.com/ytc/AKedOLSbBlw4fQZk7SrjY-ilUQ7rnjocxT7rbkk7nMyAY69ClBLmsc38HDHFNTEBthtb=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZi8mWsyN2W2iEWFx4AaABAg,Hi I am Bhaswati Gosh actually I'm going to make the rasmalai cake so can I use whipped cream instead of malai.,3 months ago,BHASWATI GHOSH,UCyXhg9skTWsoaWpPqnTzSpQ,0,https://yt3.ggpht.com/ytc/AKedOLR51FasDCMCz6Sxg3aMYuMzF_jqGa20lbqGHApuEdP-ljZq2NRUdXUtaHFpOrXv=s176-c-k-c0x00ffffff-no-rj,0.0
UgynWWO0MKM0ZGR4Rjp4AaABAg,Delicious.,3 months ago,Cooking with Maria,UCXUF5flu1NQjrkOjMDPY7Xg,0,https://yt3.ggpht.com/ytc/AKedOLTwKNfyulT08uFOoo6__tApV0izOQyMUg0epD9u=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaPYmiZqZsJyrNA-d4AaABAg,Very nice yummy and testy food big like,3 months ago,Kitchen with Naila,UCmhZOicPpmf2mWdcBKQhLKg,0,https://yt3.ggpht.com/vDasxPVnnUrJuwagEqIsg-3OCyitP8d4IdTKWEc_cd3JN9JgktfBKtBqV119T-UjP9dL6CtNTg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPU0XcVWiV6e3OIFl4AaABAg,Very much,3 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWWht6wQfaC0tE4oJ4AaABAg,"Bohot yummy bana hai ye cake, thanks mam",3 months ago,Chaitali Kaur,UC4yz5m3-GpAwS1KV2qAHEmQ,0,https://yt3.ggpht.com/ytc/AKedOLSLtVqOBp79rdUOTN8XSTvjD6EglnHit8V5AajgHw4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0MpgldyNG3Y9ld5x4AaABAg,Hello mam mai apki all most recipe try karti hu bahut kuch sikhaya h apne thank u so much mai ye cake definitely try karungi 🙏🏻,3 months ago,Boy,UCWcMK3h8XcsebJe1yOIMHkw,0,https://yt3.ggpht.com/wytdQVe9kmpPiyj2z7gPxH-yPzceFTEGUX_VeBgUntC-PtanAnhHivH4iQW0Wk8SxBE3dDT8gPY=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWzd_f4OSatkOHDgF4AaABAg,Mam kya ise bina frize ke nhi bana sakte plz plz plz reply,3 months ago,tarun kumar,UCE_h3gskbIgQag9D8zLde-w,0,https://yt3.ggpht.com/ytc/AKedOLTITMezTCNDcbFBi1gKZLlrnFRdvpBl_-l_-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyXNbpA6sp3DOPdolR4AaABAg,Hi ma'am can teach sev Barfi cake,3 months ago,preeti pamnani,UCTngRcTjoaRaVqMUm-2nvFQ,0,https://yt3.ggpht.com/ytc/AKedOLSddzrW8BecGBSL2-N0Wp8ld9OZ-zvP5nLiZw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_V9_wW9mP4wfKWGt4AaABAg,Thanks you Sister,3 months ago,Iqbal Mahesania,UCw-nnkwaUdyOXmtaxrAEX2Q,0,https://yt3.ggpht.com/ytc/AKedOLRhCbcwzxf7ji0Ua5XaO0ChItGnv4egBM5SPw=s176-c-k-c0x00ffffff-no-rj,0.0
UgygXohwAxJthC6LDql4AaABAg.9_E1KqduumA9_E9oHvlIwL,"Thanks  Rocky Doodle , try it out and give us your feedback on its preparation. ",2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw55fNwTsPPD5E6RRV4AaABAg.9ZAQmp5At-D9ZAsje9jaLX,"Thank you very much,  Amit Aggarwal ",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzoWn4YZApYahVFz714AaABAg.9Yxrab6PNRC9YzEgn-7Q4_,Yes Soumyaaa rathore777 esa bhi kr skte hai. ,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzoWn4YZApYahVFz714AaABAg.9Yxrab6PNRC9YzIPTHpiBZ, @Nisha Madhulika  okay mam,1 month ago,Soumyaaa rathore777,UCv21BoX1FJwAplqk50PXrOQ,0,https://yt3.ggpht.com/ytc/AKedOLSxbaYl0uWM6-jFzASafbPAO-c-7MU-OOafxhK1yA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDb_lIeJKLNNqrwip4AaABAg.9Yp72AD5VIC9YpNQH61Uaa,Dhokle ko steam kiya jata hai  Sushma Sharma ye process baking ke liye hai. ,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOqAvVWqaNIDIAwx54AaABAg.9YWTw-n6IRw9YXkxP8FZyc,Yes Reena Kumari dal skte hai ,2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
