cid,text,time,author,channel,votes,photo,heart
Ugz3_kmB_Yupif1GTmV4AaABAg,"Hello Auntie, what is the ""Resin"" that is used in the recipe ?",8 days ago,BoggWeasel,UCtxJPqAaAuPoyRJ1mQzcNmQ,0,https://yt3.ggpht.com/ytc/AKedOLSjy0XggT1_pTY-J8XwG_s5rmWKMq9Dq4YwKw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwB4t_8S2db4QrZxFp4AaABAg,O,4 months ago,shail bhatt,UCevphYu8FzCDkVGkL16JOUg,0,https://yt3.ggpht.com/ytc/AKedOLQ7Ovcbh9R_M4GdAi_yaFW5Jj0wYKaB8rd8UA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjU9V6W6-gHN1Qu1V4AaABAg,"i cook it by the help of your recipe and it is very very tasty, thank you nisha ji🤗🤗🤗😊😊",5 months ago,Ajit Singh,UCx1DGNUB5rGsVY8dPfY3Eug,0,https://yt3.ggpht.com/ytc/AKedOLRWBnTINNUqW4sIJ3rD25zsHp2P5SUWUjIx0Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzW8AqKou_mc4M62t54AaABAg,OMG 🙏🙏🙏,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5E3V_K8MPcnFF8bt4AaABAg,"शुक्रिया जी, ये रेसिपी share करने के लिए जी! 🙏🏻",8 months ago,Savithri Venkateswaran,UCxB8Ix3wTLnt_nc5T71fEJQ,0,https://yt3.ggpht.com/ytc/AKedOLR4EDyNFy9-0ck1g0dDlN_axie8fo-GZxEnNmBnwY1SCzpEbfAgkFG0gMI5eC_C=s176-c-k-c0x00ffffff-no-rj,0.0
UgzVxUGO4Bon7MgBEsJ4AaABAg,बहुत अच्छा रेसिपी हैं जी! 😊😊,8 months ago,Savithri Venkateswaran,UCxB8Ix3wTLnt_nc5T71fEJQ,0,https://yt3.ggpht.com/ytc/AKedOLR4EDyNFy9-0ck1g0dDlN_axie8fo-GZxEnNmBnwY1SCzpEbfAgkFG0gMI5eC_C=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyOT1HPsCDEzcHxb94AaABAg,"नमस्कार जी 🙏🏻🙏🏻
Good evening जी 😊🎉",8 months ago,Savithri Venkateswaran,UCxB8Ix3wTLnt_nc5T71fEJQ,0,https://yt3.ggpht.com/ytc/AKedOLR4EDyNFy9-0ck1g0dDlN_axie8fo-GZxEnNmBnwY1SCzpEbfAgkFG0gMI5eC_C=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhC8EzA6kfj7sSP054AaABAg,Agar bahar hee rakhe fridge mai nahi to kaise store kare,8 months ago,Avneet Baroca,UCXYlvVgJG6fnt3qyAIpC5_g,0,https://yt3.ggpht.com/ytc/AKedOLQuWwHYwXaE-xhtoY2MN7lwPO9HOEvHWgB9mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbjoAx1GgOs_Yzvxd4AaABAg,Very well explained tasty recipes,8 months ago,lata siva prasad,UCKbF8FRqq0Kz6paXTHKMCgQ,0,https://yt3.ggpht.com/ytc/AKedOLTbefNqZR2vfSToGvEApL98P352qcEmd1nRQUljoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAhMueEZkwU1m64ll4AaABAg,Keep trying your recipes Nisha ji.this one was extremely delicious liked by all at home.Thanks a lot....,8 months ago,Ranjana Singhal,UCRr-zBOT9qvBYfO3gntIzYA,0,https://yt3.ggpht.com/ytc/AKedOLQQnXdLfC1ip0Wbne0yvCy0A8YjZ1z33aO35TW0=s176-c-k-c0x00ffffff-no-rj,0.0
