cid,text,time,author,channel,votes,photo,heart
UgxRE_FKAtFff70r-tt4AaABAg,kya hum aata or maida mix krke bna skte h,2 days ago,Pooja Kumari,UCkd_jHayZ7baxTosMefgZ5A,0,https://yt3.ggpht.com/ytc/AKedOLRRw4EV5Jyf9t6UD5P5MboifefAf3OxTS1o5A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLG8fTFbKfEfIc4S14AaABAg,Very nice  Nisha ji mai aj   Aftar mai  zarur banaungi,9 days ago,Afsar Khurshid,UCVFDzCrFtBneP0lG8Z_EhVw,0,https://yt3.ggpht.com/ytc/AKedOLQDPG8SM-o1TpeFJxTgYdgVYHUcdU_gCpdgrA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0kEktt9bQrxPouVN4AaABAg,Thanku madam,2 weeks ago,Tanu Tutorial,UCI-8aSdaAePPaJNTf1NU-aA,0,https://yt3.ggpht.com/X7AiPm0S5DWl-8cHwPXHVXucz1ZB4fHBovEVFpjE-bt2VGhcNR134zPlOSn45UEXqPoOsGMBDQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxx_v0lnNqbBwDtAmV4AaABAg,Very nice kachauriya😋😋,3 weeks ago,POOJA KUMARI,UCB3gAzxwxztKrgz15D6lFLQ,0,https://yt3.ggpht.com/ytc/AKedOLTBtxgGvUW3maXXatrVL4OLjtQl7NZKeYLswLxiHA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbJAM9aBm77yELfWR4AaABAg,Thank you  your recipe l always fellow for cooking  and3it terns delicious 😋🤤,3 weeks ago,Sangita Devi,UCLZJGowU0aqqHR245K3vQDg,0,https://yt3.ggpht.com/ytc/AKedOLQvRrf0OqzwImUr8NT18yiaUQCzC3wKV1m1nbENL6JdkGoLjJ6RsQEsBX7ljWZz=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3dLlJTewmWozZRuN4AaABAg,V very tesy😋😋😋😋😋😋😋😋,4 weeks ago,Mamta kumari,UCUFp0Q5_zKT5NZqsXjFNm7A,0,https://yt3.ggpht.com/ytc/AKedOLQ_eWRz8mMUgeAdlgPUsAiZw6wC6ybZygXjdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWwlgcsB7b_QboStl4AaABAg,Thank you,1 month ago,Reshma Chaurasiya,UCc7gHMkIX0lOYA_YKpaPC8g,0,https://yt3.ggpht.com/EfCKUwQOECVEo651iHNLAa0u20zet9Wcfyy1pTN1ngd8SWtIBro_D3GJwVCrfJw4LgIrmsQkPw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKXZ5r4kuIxCcIut14AaABAg,Yas ye sahi hai,1 month ago,Sandeep Yadav,UCJj7vXcFmP3pOQJSgTkr3Tg,0,https://yt3.ggpht.com/ytc/AKedOLQgB6njoYh5GLeGowW3BEPIxTcOPRdSjd_Q5OKzsg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlrglwNFP19LDQji94AaABAg,Ye chana sattu h?,1 month ago,Varun M,UCEpnreaT1t6J6pdR5T_0vLg,0,https://yt3.ggpht.com/ytc/AKedOLTUAukKnJFFcvi5xW45dgR-trUTi3YSWHy5YnsDwbJcquTnOeiffpkOqVkAW_RY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx92oFKRh0z4f0RSah4AaABAg,"Apki voice bahut pyari h mam 👌👌❤️❤️ 
How sweet of you ❤️ love uu 😍",1 month ago,Shruti singh,UCj9B_6Y8Z7DX2t53HeEqWLA,0,https://yt3.ggpht.com/ytc/AKedOLQ7kmis2SCyZ03sdLZx_YnWPv_YDmqIh7cet-ukwmY=s176-c-k-c0x00ffffff-no-rj,0.0
