cid,text,time,author,channel,votes,photo,heart
UgwIRuHzg2TpJ8qNaxR4AaABAg,You are the best,1 month ago,Shraddha Bakshi,UCvZFEofGJivtn0UsU7Aubmg,0,https://yt3.ggpht.com/ytc/AKedOLSVJtgdvexnSAurzyc04hTAL_rJvwXtzd0bzoSD=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtLI2ZCRrZ_qxM0FZ4AaABAg,Steam pressure cooker me Kyu nahi kiya ?,6 months ago,Aaftaab Mehtaab,UC2rYNA6QYKbhCIMqbY699Qw,0,https://yt3.ggpht.com/ytc/AKedOLQSHicA-M17Tc2--GQKM3B1YqDi-LxkgJCcaQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXnsWRYF2dF84ELLJ4AaABAg,Nice.,6 months ago,Meera G,UCaD9fQPmL8nDNrnpdxvWDCg,0,https://yt3.ggpht.com/ytc/AKedOLTe_1F9g3vHhjAOKRx6KqzqNIP0zEzUlo7MhKI8eg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy945ILRKmst9Sn9Q54AaABAg,"Thanku mam for jam recipe 🙏🙏

Maine 2din pehle karonda liye achar k liye usme kuch kachhe they or kuch pake Maine kachhe ka achar dala kal or pake karonda ka jam banaya aaj abhi itna amazing colour or taste hai Maine aaj tak market ke jam liye nahi hai but iska flavor taste itna achha hai 😋😋👌👌",6 months ago,Beenaa Bishtt,UCYLiWV_BFn27wZORLGp_1OQ,0,https://yt3.ggpht.com/ytc/AKedOLToZgI7vbJPunYTHxBtKPwqy9hzT4TJFZqYbQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCRmq1fgeAwZcceKt4AaABAg,Very nice ❤️,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlrkeDFFCvOHmtl_N4AaABAg,wooow superb mam,7 months ago,Neelam Pandey,UC7kkjAkffDTaNYBjfnQimNQ,0,https://yt3.ggpht.com/ytc/AKedOLQmRVTqFsWEm-LtoKGpofoBrr6AA6rcUdXp98Ex89vuZLpX3pmbVgi9i3boIqYO=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIPmzjos9tsHn8KGd4AaABAg,Aap kronde ka murba bnaye,7 months ago,Rakesh Barfa,UCu_7vM3FI8yveeKMS0hptxg,0,https://yt3.ggpht.com/ytc/AKedOLQs_kaLojCwQBQinWsISu6MEWIG2OI_yM2Qaw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyA4BXzIgDBZeijNZ4AaABAg,"Madam ye karaunda, paka wala h kya",7 months ago,Sweety Kurrey,UCmUtyxUYwUSvSDa3-3kOqsw,0,https://yt3.ggpht.com/ytc/AKedOLTllcyyPizdPEIgSvCpevzmoLr-YnWIRBX6nQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzdt68SMJP8ZkVCZah4AaABAg,Yum,7 months ago,Seema Mehta,UCX4BzJdgoJ4PLt4-PcR41zA,0,https://yt3.ggpht.com/ytc/AKedOLS-bSsHyQSbLPCx4A17_FaHiMQPGv7X9q_iMg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQ7OpS--cieFU_DdZ4AaABAg,"Aap mahan ho 
😋😋😋😋Tasty",8 months ago,Prakash Narayan Prasad,UC3CPlx0m8T8KDBFzNAZxiwg,0,https://yt3.ggpht.com/ytc/AKedOLT9ojeC7jeH-mxaZVDhgU0hEBlDrBtLyToabd2_Hg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKwnyQbAEV_ZD0AEt4AaABAg,"Milk barfi..... Market vaali.... 
Ki recipe bataie",8 months ago,Madhu Singh,UCy_D5MarrkH8tDsobjPYabw,0,https://yt3.ggpht.com/ytc/AKedOLQwl8AN-NscSGa5IPKrM9fRAZVLq0HWki_1_Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoPSGzT6xxoeORc-94AaABAg,super recipi,8 months ago,Jai Gopal Bohra,UC95msfCVLbkQ4N8J14Ce3fQ,0,https://yt3.ggpht.com/ytc/AKedOLTJK40wZWK8w8YU6JAgjjsHZbAONvdbyyZw2LsL8-FVkkql6Vv4WxZd9SwgalbT=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTVI6ff7UZtgLJr854AaABAg,Mam Karonde ko pahle graind Kar Sakten h kya...,8 months ago,Ermdraziwasi,UCkeWF4a7aN1Iha0F5lp_VoA,0,https://yt3.ggpht.com/99dT0fEUtuhWcakhL64_a7FA1RGE5Y-vlKBkjkn3x2q5K5XAoSjPBGcQmyhtjhUIdHhSOpMwqw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvrfdOyIYHRe2DUBF4AaABAg,Your recipe also help to student's of agri for making value added products for demo😊,8 months ago,Prachi Buddhe,UCQlM4z3LlgCyPuVRc5cydhA,0,https://yt3.ggpht.com/ytc/AKedOLTSBaxYN8d8ttA7Gn6Z-UwqCq6k85B_GrM1Zw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYJOVxuAZDP8kFFpl4AaABAg,You are such a sweet heart 🙏🙏,8 months ago,Poonam Rana,UCsw0A1jyB11RofXgUaxy6dw,0,https://yt3.ggpht.com/ytc/AKedOLS30TY4sIlPlJx8xWkqWu7kqr-JF7JUq5D6hW7PDQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9cptF3hxPrdOTGj54AaABAg,Namaste mam🙏 i luv ur recipe,8 months ago,Nidhi Agrahari,UCXG26IFlMLBhRduxXjKoU0w,0,https://yt3.ggpht.com/ytc/AKedOLSOnzHbLvv3g6xlbcXYKQjXrYA2Qycvya_UNw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugymjra2xUjmBMvCilJ4AaABAg,Apple jam ki recipe,8 months ago,Pratishtha Adhikari,UC9xj4PF7hLm6HZzmMH2PEcg,0,https://yt3.ggpht.com/ytc/AKedOLTS-aofC8Lb5d388QNALrLH9QzQzmywtcT4X4q6Zg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmQXdHMy7zDENSqJl4AaABAg,very yummy recipe Masha Allah very beautiful wawoooo very delicious recipe,8 months ago,Muhammad Hammad,UCz2K-Qt65qQpKTFX-F3TsCg,0,https://yt3.ggpht.com/ytc/AKedOLTVMnRjcvHli4RSLnAdXvTMxBk8dp2scle0UQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyC-qsZz__dk9Bme8d4AaABAg,मैम आपका pan or cooker कोनसी company के हैं मुझे भी लेने हैं,8 months ago,Seema Kumari saini,UC3o5m6z6zMIBEeO9mLzFYrg,0,https://yt3.ggpht.com/ytc/AKedOLRiIwSTwsqzC1C0k1r09kRt_Ev8kBQc9j1ygw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEzIcNkndJ5egXmkR4AaABAg,Looking delicious tasty with bread,8 months ago,Suman Vishwakarma,UCROJyK1NCT3zGKCl8Zv5vqw,0,https://yt3.ggpht.com/ytc/AKedOLS9wnAI3wKf8FDhr87IrlhPwQOJl0y1RF3LL9hJzW0Hfr1rDooLleKTx7PlwQSR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIRuHzg2TpJ8qNaxR4AaABAg.9YehcQNjUF69YhWSJzUAfk,"Thank you very much,  Shraddha Bakshi ",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtLI2ZCRrZ_qxM0FZ4AaABAg.9SzOV6AlqeY9T3bEnOHIL2,Pressure cooker mein over cook ho jane ka khatra rehta hai  Aaftaab Mehtaab ,6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXnsWRYF2dF84ELLJ4AaABAg.9StF-QJ7GjP9SuC6KVADCs,"Thank you so much, Meera G",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy945ILRKmst9Sn9Q54AaABAg.9SnJF7Bav5s9SnKas1Q6o5,"Thank you so much, Beenaa Bishtt",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlrkeDFFCvOHmtl_N4AaABAg.9RuwUK343pF9Rw_EIFXJ4q,"Thank you very much,  Neelam Pandey ",7 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIPmzjos9tsHn8KGd4AaABAg.9R_mYVo4gnG9Ra7u-HEVpo,"Thanks  Rakesh Barfa , for your suggestion. I will try to upload it.",7 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxyA4BXzIgDBZeijNZ4AaABAg.9RW3Z-7g7ed9RXnPcEQrd_,Yes Sweety Kurrey pakke huye karonde le lijiye ,7 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzdt68SMJP8ZkVCZah4AaABAg.9R95h5j52fO9RAWbmdBG_Q,"Thank you very much,  Seema Mehta ",7 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQ7OpS--cieFU_DdZ4AaABAg.9R5k3VoW8Lu9R5oLZE1XIT,"Thank you very much,  Prakash narayan Prasad ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKwnyQbAEV_ZD0AEt4AaABAg.9R425G2mmsA9R5Qw1KfNy_,"Thank you very much,  Madhu Singh ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoPSGzT6xxoeORc-94AaABAg.9R2dOX9jTq_9R5LjJD9Vvh,"Thank you very much,  Jai Gopal Bohra ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTVI6ff7UZtgLJr854AaABAg.9R0mVzUqfjx9R0naRQW1Un,"Yes Ermdraziwasi  ,  esa bhi kar sakte hain",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvrfdOyIYHRe2DUBF4AaABAg.9Qp-ereCUjh9Qp1nnvOtSe,"Thank you so much, Prachi Buddhe",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYJOVxuAZDP8kFFpl4AaABAg.9QoLbouasD79QoQbzgreiA,"Thank you very much,  Poonam Rana ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9cptF3hxPrdOTGj54AaABAg.9QjC5ID7N3Y9QjHaKClY4J,"Thank you so much, Nidhi Agrahari",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugymjra2xUjmBMvCilJ4AaABAg.9Qgh93sxYh_9QgjUYEHiGs,"Pratishtha Adhikari , ye recipe mere youtube channel par pahle se hi available hai.  Is link ko dekhiye.
https://www.youtube.com/watch?v=G6C3tLlB7j0&t=2s",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugymjra2xUjmBMvCilJ4AaABAg.9Qgh93sxYh_9QgkhK5tel2, @Nisha Madhulika  sure thank u😊,8 months ago,Pratishtha Adhikari,UC9xj4PF7hLm6HZzmMH2PEcg,0,https://yt3.ggpht.com/ytc/AKedOLTS-aofC8Lb5d388QNALrLH9QzQzmywtcT4X4q6Zg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmQXdHMy7zDENSqJl4AaABAg.9Qf90cy7e0d9QgbGOM7SXd,"Thank you very much,  Muhammad Hammad ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyC-qsZz__dk9Bme8d4AaABAg.9QaPjFUgl1C9QbScK1AZDD,"Main unbranded pan and cooker use krti hu  , *Seema Kumari saini*ap koi bi achi company ka le skte hai. ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyC-qsZz__dk9Bme8d4AaABAg.9QaPjFUgl1C9Qb_Hf7XUQr,थैंक्यू मैम,8 months ago,Seema Kumari saini,UC3o5m6z6zMIBEeO9mLzFYrg,0,https://yt3.ggpht.com/ytc/AKedOLRiIwSTwsqzC1C0k1r09kRt_Ev8kBQc9j1ygw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEzIcNkndJ5egXmkR4AaABAg.9Q_LMCdap-U9Q_Nqj8pPYb,"Thank you so much, Suman Vishwakarma",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNWYr_Fpm3zDjaIdp4AaABAg,Wa zabardast,8 months ago,Faisal 4321,UCIH1Kpp-MZPKp1QR2MIW0Mg,0,https://yt3.ggpht.com/ytc/AKedOLSPDAU8mTS8stAmjDmdMqRrHI7R1aWVhD3z_g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxwCFEh6-MrA-R-Gd4AaABAg,Please Mein Maggi Banakar dikhaiye,8 months ago,Pari Kumari,UCwadXWFmuTwDrplN0GHRHUQ,0,https://yt3.ggpht.com/ytc/AKedOLQOuZBkaoFmxDsgfRmo3g7Yfaor3HzVTW518A=s176-c-k-c0x00ffffff-no-rj,0.0
