cid,text,time,author,channel,votes,photo,heart
Ugz6ueLxw2AlTCT4gjV4AaABAg,Wow 😊mam bohot talented h aap,2 months ago,Dolly Shrimali,UC-POGNjpvVCxtDINVX1R9wQ,0,https://yt3.ggpht.com/l9dJP5XX_VhWDo-kvsZFX8U90x7y8YyV2y1UDgT8916HhAqBrd_esMQxIGuwHRqD5hSN1LMaBA=s176-c-k-c0x00ffffff-no-rj,0.0
UgziHYYloAJF5tdHdZx4AaABAg,Amezing video,3 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxewkFt1GbiqslOoPJ4AaABAg,Amazing new recipe thankyou Nisha,5 months ago,Sunita Singla,UCEaDnbO5fPuUHpiEajUEQew,0,https://yt3.ggpht.com/ytc/AKedOLS4b38pOOO_p1CArN6Vntm7p69884nRkb6nG1VquB71CtSaXDuPcV-FqYPNcHet=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8hHgEukHVAgyeQSR4AaABAg,Tasty recipe,5 months ago,Firoz Khan,UCdsdaMETm537IiIpabTuAUQ,0,https://yt3.ggpht.com/90GsGtY9rqoDJ6-bRld-gr5q-0JVY8pH9nA-hv6liZ-RAyB64e0uLOnvqEr1Gvi7pJQg5z9p4w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxyTDPMksBGPnfz_x4AaABAg,Wow very nice recipe,5 months ago,Inder Kaur,UCZ-0fqjqNtXRk06ZE2tR2XQ,0,https://yt3.ggpht.com/ytc/AKedOLQ3tCyvuy5MsBqVle08V8SezYlKy3PAsQ1mhQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOVSHK2Eg_kSfPuux4AaABAg,Senda namak keya hai ?,5 months ago,Noor Sehar,UCSpX7lzmXznqnjN--KaJ29Q,0,https://yt3.ggpht.com/ytc/AKedOLS0bzlMQwQxoKCTREzQHc6nyqyd8aqYwmLWUw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyb2T8-EX4lS2ihifx4AaABAg,"Super se upar
🙏🙏",5 months ago,Dinesh Biswal,UCDrv_wpVB2LZ73vCZ9v_CqA,0,https://yt3.ggpht.com/ytc/AKedOLS37K0NIRw-x6mOy4Ah0KVvlh829h0A4XwTJg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6ZLKNuhtmMZg4fE54AaABAg,Pizza 🍕,6 months ago,RANJAN DAS,UCgwsOA6KWw4YzprVUnvBb5g,1,https://yt3.ggpht.com/ytc/AKedOLTzWzYipYQR7aOq7S-D_kSuDmSExCxlsQuURA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNvmohpVtuJ-lBACR4AaABAg,It's amazing👍 👌👌👌,6 months ago,Meena Gidwani,UCaNgANnA1RCZWwdPwOm_4Kw,0,https://yt3.ggpht.com/ytc/AKedOLSgEoBvcShRAS48WQrRrrWsNHfUVwxL7Z41Lg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-Hpi-GSRWf3pJ-y54AaABAg,Very nice,6 months ago,Jhanak Ki Rasoi,UCUCNV2uWFXBaxOyhiWiXI_g,0,https://yt3.ggpht.com/QHmVRveHs2gGSrq8bNsIB-11Qy9T0i5ZamWO-WlkniGC3MqTuMGT9s2oAO6hLn5xUuBuUHnOxeQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNDtaps9xRQvG2KiR4AaABAg,Aapki dish bhaut hi tasty hoti h yummy 👌👌👌😋😋,6 months ago,food  secrets,UC4tjLuh35eZE_qUzTjE09rA,0,https://yt3.ggpht.com/AGWjn6jRMPgxzEigTl38uK5oO-QRkyX8BLiiNoln7172wM70qC2XR7zgw0jrPq_17Cf7ih0bxQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyt_X89AvKKlWLKu2x4AaABAg,Very nice cutlets,6 months ago,Kusumben Patel,UCYXk9zdgR-1DOM1R9TrxY7Q,0,https://yt3.ggpht.com/ytc/AKedOLS305-XnCA913qB53Orc8sVqTNBQzgxnV1NUA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzA0TVpw_QWGiuoua94AaABAg,दीदी कुछ ऐसे प्रीमिक्स की रेसिपी दीजिए जिन्हें सफर में आसानी से गर्म पानी डालकर तैयार किया जा सके।,6 months ago,shalini gupta,UCCkK4PNvFL7lAO7cRJWMLPg,0,https://yt3.ggpht.com/ytc/AKedOLTsU5ww-T1qjx_bYG554PqPmV3PPDzUq4MjWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW7yLNiVsZpfrAG_p4AaABAg,फल से शुगर फ्री बर्फी कैसे बनाएं,6 months ago,Gulab Chand Meena,UC5oayxb_wL5V2n2bT17YWFg,0,https://yt3.ggpht.com/ytc/AKedOLQ9WeBjsROHIqkJHRUZeGGm3W7oZIZ1d8RLIg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw51pOmRV57cLHIU3Z4AaABAg,BEST AND NICE,6 months ago,Manglo Twins,UCkL_Qei__R6LY6oiLHHiOuA,0,https://yt3.ggpht.com/erYVdA8ZMeSMuywaDr5orbMv29v-Gqc85YrbP2iOX524lo22CgmqQO7iLVJCk2eTwZg98uuA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxLR9Mamgcp8eoSm54AaABAg,Tasty,6 months ago,anu goel,UChbuwyWVZYG5m0leq7GD56w,0,https://yt3.ggpht.com/ytc/AKedOLQkfmiYwc8FpdatBlrp2_uSAzRw8WrNcsif6g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxs1ZBFeoiqxuMrOwR4AaABAg,Yummy 😋😋recipe mamm apki recipe bahut easy or tasty hoti hai,6 months ago,Chinnappa chopparapu,UCLJGqTnuinbmrAAqnQdkgPw,0,https://yt3.ggpht.com/ytc/AKedOLQj8DOSJR_CJQRPS4bXhEMw8E-740QRuzzPyN41QQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrQz9EUGP7x_896Px4AaABAg,Aap sach me great ho,6 months ago,Pankaj Kumar,UCuAKnuUiQp6PvjvGIBQSP3w,0,https://yt3.ggpht.com/ytc/AKedOLS7zIzujiBns0M4fMeENtS6-4D-1kOF35W8_g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugye-SZo1uiyVuDhGnx4AaABAg,Waao mam thanks for recepi,6 months ago,Pankaj Kumar,UCuAKnuUiQp6PvjvGIBQSP3w,0,https://yt3.ggpht.com/ytc/AKedOLS7zIzujiBns0M4fMeENtS6-4D-1kOF35W8_g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzY6obh7Y3UpigEyOd4AaABAg,Nice recipi,6 months ago,Pankaj Kumar,UCuAKnuUiQp6PvjvGIBQSP3w,0,https://yt3.ggpht.com/ytc/AKedOLS7zIzujiBns0M4fMeENtS6-4D-1kOF35W8_g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6ueLxw2AlTCT4gjV4AaABAg.9YJsBhHF7q29YKpSytE3kX,"Thank you very much,  Dolly Shrimali ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgziHYYloAJF5tdHdZx4AaABAg.9WtUBhFfOaY9WtcBN_R-yb,"Thank you so much, Chitra Vlog",3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxewkFt1GbiqslOoPJ4AaABAg.9UodnOPHX2C9UpoQUsaVpG,Thanks n welcome  Sunita Singla,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8hHgEukHVAgyeQSR4AaABAg.9TkGCZWIzGe9TkIo8noX1o,"Thank you very much,  Firoz Khan ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxyTDPMksBGPnfz_x4AaABAg.9TiI9ksY3qB9TiL3zf6t7J,Thanks a lot Inder Kaur ,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOVSHK2Eg_kSfPuux4AaABAg.9TddqJL4sh19TiDg3Aeiiq,sendha namak kristal ke roop mein paaya jaane vaala ek khanij hai. yah sindhu nadee ke aas-paas ke himaalayee kshetron mein chattaanon ke roop mein paaya jaata hai.-thanks,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyb2T8-EX4lS2ihifx4AaABAg.9TdcOnDO1Vx9Tf7Yf2ACx2,"Thank you very much,  Dinesh Biswal ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
