cid,text,time,author,channel,votes,photo,heart
UgyHOBw2W_7kclL_2VJ4AaABAg,Can we use riceflour instead of arrowroot or cornflour,2 days ago,Shubham Singh,UCl90E7aqC5hb8BvwHPM5Uqg,0,https://yt3.ggpht.com/IZjWKEwDZuxAPzJSW5UW6gSmod1taYF9aIq8YPi035MrrsoQxbd9ArrRqS_qi66EF0wXEtuM6Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxExxISjFKFGZrj9NB4AaABAg,Can we make it from a boiled potato ?,2 days ago,Thunder In The Rain,UCQmSRV_3Z3YDAC3DmjjM82A,0,https://yt3.ggpht.com/ytc/AKedOLT3DW3m3aJh8Sy_Y8jpmByPnemIIyaR_VbfNg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxR3-MGmPPqu4V8qKB4AaABAg,बर्फ गोला जो हम खाते है उसका कलर कैसे बनाते है सक़्कर कि चासनी बनानी है या डायरेक्ट पानी मिलाकर त्यार करनी पड़ती है और सुखी रबड़ी कैसे बनाते है लच्चे दार,3 days ago,Abhishek Ojha,UCVrhnQJeCdcQ3JCndJZfpGQ,0,https://yt3.ggpht.com/ytc/AKedOLTdqCuGkKsqPX4a4rE3yXSRfEDAY8iVtyOXmg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7bMyuX7_SuIeyYgZ4AaABAg,Delicious recipe maam 😋😋,4 days ago,Usman Ansari,UCUJrWwNgtvPM-z0rj9sWEzQ,0,https://yt3.ggpht.com/ytc/AKedOLRpHkXLCr9XWy6caDSyVgpNNIm88EhihMWteI-Lk1B-Oa7WPDTWlKK-qPLqga0g=s176-c-k-c0x00ffffff-no-rj,0.0
UgygxInd6lJeUB4qpAJ4AaABAg,I tried it mam...it came out so yummy😍..thanks for the recipe,7 days ago,Bhavana Purohit,UCSQm5IFuE5dcY5ICHNmzriw,0,https://yt3.ggpht.com/ytc/AKedOLQXqN6At_Ux1IGOv3GCh69My56wuVRGoOrwQulIGA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7Npk3EapOlvNdkZ54AaABAg,"Dahi na daale zyada best hai gravy k liye soya sauce, chilli sauce and tomato sauce dale",8 days ago,sadaf syed,UCK4F-ylX1IU0fcnq4dSieAA,0,https://yt3.ggpht.com/ytc/AKedOLRFn-uBiUUvwcrIh9XLefMrskS2-QZM2lgVkJPhKeD-yUPACdcBWX2a_2nEomqa=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqdYPix8IcbXnTG0V4AaABAg,Maida ko option hai kya?,10 days ago,Austin Saved,UCpP3hoDO9bDjxuuEBBXlQEg,0,https://yt3.ggpht.com/ytc/AKedOLRfasrNy2741676EUwZKj63AGxeF9GGom-JNA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6DHrrJoW61tdUF0V4AaABAg,Bht bht bht tasty bane me fr se banao gi 🥰🥰😋😋😋,2 weeks ago,Somya Baijal,UCEpkPTQT8Cq1a8bfdio4gSQ,1,https://yt3.ggpht.com/ytc/AKedOLQi24ZmxO9Dtwndjg3yLh_SEuji5wl_h9cYLw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYakCcLNiN-02fYpN4AaABAg,Bhut bdiya,2 weeks ago,Praveen Chawla,UCAmXijN85lYm1XhXD2Ss8oA,0,https://yt3.ggpht.com/ytc/AKedOLRCAr0_r2iOAjEJOV4lOCZ2RDgF465oMFpUQg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfKApFk7lWi2z46Y94AaABAg,Cheese pasta 😊,3 weeks ago,Asna Sahu,UCRRNv1HJINeFUXfL8kU8NKA,0,https://yt3.ggpht.com/ytc/AKedOLQL7ZHKiv6CE0YMJ-rNTCsw1O1u_tYSuttTkJ77vIioD7brTE17oWVIOCq7pgIn=s176-c-k-c0x00ffffff-no-rj,0.0
UgxS70Z23y-lI6CRPg14AaABAg,Thanku amma,3 weeks ago,no.1 nanha kalakar,UCVVjLfgY7StvdCRvIi3KCVA,0,https://yt3.ggpht.com/fpWMg6ogBqqaXYd2y_w18KH0JbwPHwhRdeDAsCNvuFozbzDu6IyWyizQGIppQxi141KWbVKtFA=s176-c-k-c0x00ffffff-no-rj,0.0
