cid,text,time,author,channel,votes,photo,heart
UgwZfTgELWom9YpeJMh4AaABAg,I is👌👌,4 weeks ago,Sudha Hosalli,UCS4BO6DmXDxEETBSnMcaiXw,1,https://yt3.ggpht.com/ytc/AKedOLTREBnOt4myafZflEj-lvPXP25yFbhoJRFXpA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLffessZHy0QruTwJ4AaABAg,Wish u a very happy  Holi.,1 month ago,ritu singhal,UC7WTKpBH_Z9ChRRN7OlqTMg,0,https://yt3.ggpht.com/ytc/AKedOLTTLWcBf2n45NuK0-_WToehnnzn7ewW9v4JVhA0lw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMUBa15M4hS7C8f8d4AaABAg,Ma'm into Kitna din store Kar sakte h,1 month ago,ritu singhal,UC7WTKpBH_Z9ChRRN7OlqTMg,0,https://yt3.ggpht.com/ytc/AKedOLTTLWcBf2n45NuK0-_WToehnnzn7ewW9v4JVhA0lw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyI8FV9-maebe_Dh_J4AaABAg,"Kurkuri, crunchy chay ke saath khanevali badhiya tiki.I likes v.much. Bananebhi asan",1 month ago,Shraddha Chewoolkar,UCgAt3lvFqAEh88M3SZ4KUHg,0,https://yt3.ggpht.com/ytc/AKedOLTjPN37j6ievf6n2ab9mbFOAnGZjw9-H5TOcg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtB5gt6Rr_KPH0a5R4AaABAg,Beautiful recipes,1 month ago,Shreya Mehta,UCRiyhIghBLcCMuFfT-X5nug,0,https://yt3.ggpht.com/ytc/AKedOLSdIwPWV1Vo5qvdQRh4vV2lxUjH9vBZpnLpow=s176-c-k-c0x00ffffff-no-rj,0.0
UgxZKwiOtJ-rsCgJjqB4AaABAg,Testy 😘,3 months ago,bts liked V💜💜,UC_z2qxpQp9hnAOvwQ09tayQ,0,https://yt3.ggpht.com/DCipkc-LwwxM4_Dh93vci48ioT7BoRIFqBUz3eTZFKrrzNzzIZI-FdX8ACPM-4h4koQAhE2kKps=s176-c-k-c0x00ffffff-no-rj,0.0
UgyB1Px9mb62nkV8Qwt4AaABAg,🙏🏻❤️👍🌹,4 months ago,Renu kataria,UCHdfdUrWVt7Q3Z7gnyZlW0A,0,https://yt3.ggpht.com/JdZUaWpZuleXkzVTTSi7RgOrVezk9Mn_blQdk2y1zCZcto0tggPzOtiU-NppbLJTGOv-gKcABQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxV1iS6P3dgLjf6uKl4AaABAg,Teasty recipe mam👌👌👌,4 months ago,krishna behera,UCg_jhdnW7WXuqHqbvFPmInQ,0,https://yt3.ggpht.com/sylbWbwPe7GMuvlyWJG32flfTgYqNjUAA5V9xHXGrIG4lZNgABsxSClJhupB2DCeZHWHUy7JaA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3JEn4a_sQPD7XlAF4AaABAg,Variety recipe looking so ymmy thanks for sharing your all dish's nisha maa,4 months ago,Reshma banu,UCzKrz957Z_lpH-PX_8rd7cA,1,https://yt3.ggpht.com/nM2SqV44bqf6COYArz_esMR53QJCZUyYRsQX4BJvgRsaT293az-L0-Y-Edg5VvBMhkhFOqYmtx0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzxU4mXQiZJ-RApwod4AaABAg,Bohut khub. Aj try kareinge is recipe ko.,4 months ago,Bb Cc,UCeQ1i-s-q9dtGIs5dmuh6Wg,0,https://yt3.ggpht.com/ytc/AKedOLQIqUIp7NP2bj_p9ME9dEjLuj83x0TWJqIkbg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyG6Mmi2r4-Opnl2Gd4AaABAg,Ye maddur vada maine banaya bahot hi tasty bane and tx for new receipe..,4 months ago,Samarpan Meditation,UCXpo6kJKVLglUxuIcmxlxcw,0,https://yt3.ggpht.com/ytc/AKedOLQ0soHghRbJVNNoS7IUzXwn7LJ7uDWiO0EnOoX-i-GaMr992pxBCSYj1cz-M4En=s176-c-k-c0x00ffffff-no-rj,0.0
UgwemlMGiouKdCStg2d4AaABAg,Kya baat hai mam,4 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
