cid,text,time,author,channel,votes,photo,heart
UgwDBUpfMIjSBUI_s1p4AaABAg,Mem kya hum shukkrskte hai good ki jgeh pr,3 weeks ago,kamal deep,UC_PLGG-9JNS4hSF8seoP4ZQ,0,https://yt3.ggpht.com/ytc/AKedOLT1tPItAVwnIzQTLNx1_UNjDQa9NGhku_bOzg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAWgEsgAZo8ig_WZZ4AaABAg,"@Nisha aunty ji Hiiiii..maine yeh baar Holi mei layered nimki, gurpare, shakarpare aur chini mei pagi ghujia apse seekh ke banayi...bahut badhiya bana hai 🙂

Aur banayi Italian mathi...ab aj paan thandai reh jayegi joh kal banaungi 🙂",4 weeks ago,S C Chawla,UC8hrJu787Wr1WJm1BZo9kgQ,0,https://yt3.ggpht.com/ytc/AKedOLT_6b9iwKbDJLnz4jhT83mA_ni36qasU-EGmA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCtHeaoS7w2O4HS6Z4AaABAg,Thanku  mam,1 month ago,sunita mehrotra,UCDZNPo4_gxH4Oqn74WGhNPQ,0,https://yt3.ggpht.com/ytc/AKedOLRRzPjXm1Jo8zhXIiS-UGLdH6ngd69SA7RJKQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFov326ERWi0NjX7d4AaABAg,Gur ki sakkar se bhi sakte gurpare,1 month ago,Jasvir Kaur,UCcViYtBZOvh7HoaiAIutjtQ,0,https://yt3.ggpht.com/L9syxpC57G4PO7MK34t9o0XzXXiW1jih7jMFNjEz_uHZiE2S4d6887yqfHv1UnGDba5zGSrg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwz4alQ6U6RKNgesat4AaABAg,Its delicious  👍👍,2 months ago,Anamika,UCFT4-OMM0gGaH4zjjFl19Rw,1,https://yt3.ggpht.com/ytc/AKedOLRRZzVCoI7VNxpHqUJX5JV1iFoRX0pwp0T2aCqfKg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEr5Q0CQqy8EzCArV4AaABAg,You are best cook teacher. I really like your all recipes and also I tried it .,2 months ago (edited),Aarti Yadav,UCjDMVY4Zm9VdOV7kVwdKTTw,0,https://yt3.ggpht.com/YQjZsE4ZJrJtW5xUIQfd9bRC-iuZIW4PF6RhhkFZPuQFZjPcRwsMAtwMtoDfDRh5t7AZ0uWfmYI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzu4jhukiMrtybKiUN4AaABAg,english mei boli Ginger powder but hindi mei saunf???????☺️,2 months ago,Rana Z,UC2ahqsSHFe9WcLNOx2uvKtA,0,https://yt3.ggpht.com/GfoYo-sFyrGnjFqJ0hgZAjOiDInixl8se32F8b9aHZC43csHF9dSCEZL66sN4lo5MXnbhoV_8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNr54Rx8RwBx0YSCd4AaABAg,Bhot achha bna thank you mam aap sach me online wali mom ho,2 months ago,Kajal Gosawami,UC-RUj4823lrmK3tJ8Xg3fUQ,1,https://yt3.ggpht.com/ytc/AKedOLRfoiLjk0GHTE0Ywo8yyqzbd-wBsnCM48Eb2MDoBjPLtFA8ICgBavLEsWjAckzY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3GUaZEw6dg9tY-ch4AaABAg,Good,2 months ago,roshan lal,UCoeyTmPFCGOnULVzdgzdjBA,0,https://yt3.ggpht.com/ytc/AKedOLTy_yQgEFZk9qLkWOZF4zaYgRhVCfHoHMGJ4A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUy0Pcp_FfnPN4HtJ4AaABAg,Oil daal sakte hai,3 months ago,Anjana Gupta,UCd3AN4HVrtV1PMLbczwic1g,0,https://yt3.ggpht.com/ytc/AKedOLTKsMGZgPSyUyByMIqDMV6336fR__660rq_3g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMNgDv2ZKhp3gag-l4AaABAg,अगर मोइन ज्यादा पड़ जाए तो क्या करें,3 months ago,Bhawna Phuloria,UC-zuKTNxoZWk2dO7Jb1riyg,0,https://yt3.ggpht.com/ytc/AKedOLRjSqLa0rrOIIrA1UeeGIXqWc3fLqC2lS6nlQ5PkQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy5a3ajZhYKzUEFB6B4AaABAg,Thank you mam aap har recipes ko ache se smjhate ho,3 months ago,Pari.d Negi,UCiLg6V1HzhMBnMsTllUFPDw,0,https://yt3.ggpht.com/ytc/AKedOLQ-YlTThtHCJ3jtE9iirMrs1wNqxzYrBImMjw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwN5Qc29tr-YygUBnZ4AaABAg,Winter me achha lagta hai ye sab,3 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9T2yB3Y2G3vMFw4l4AaABAg,Mera gud thoda juaada pak gaya hai isliye  saara paara chipakne laga hai... Please find some solution madhulika jii,3 months ago,Ravi Kant Chaurasia,UCTKbjU_AIPUcQ1jkHPhPGEw,0,https://yt3.ggpht.com/ytc/AKedOLTp9GhxGlDlhmecpT7SaVVBDQImx3pKF3yhjQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpMM4HcbXEnP8qEs54AaABAg,Fry ke liye kon sa oil use Kiya hai mam?,3 months ago,BINDU RAJKUMAR,UCsygwLUwxYrpSGEHrK3g7qA,0,https://yt3.ggpht.com/ytc/AKedOLQZLCEhCE47vcjm3X_GGQLaSJx0FqNRW4B6KdZer_mGIa6l0rVJEBAC7PCH04c3=s176-c-k-c0x00ffffff-no-rj,0.0
UgxIecwbnagwVZEIp5V4AaABAg,Guys pls don't try this recipe...it was a disaster...gur ki chasni usmain 3taar wali chaiye naki ek taar wali...she showed ek taar wali ..totally misguiding ppl in sake of views n money...,4 months ago,VIDUR BHARDWAJ 4E,UCX4YNtWUvC1Xtt3DCKb2jNA,0,https://yt3.ggpht.com/ytc/AKedOLT7ZA-zu6yyy1VFYTOMXuFMjK0nhYt3yG8QRpGAdrA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmUAAbNId8yxhpxU54AaABAg,Wow delicious 😋,4 months ago,Mamta Raizada • 1 sec ago,UCb1gL8IR4zOgFtx_fIDU-Cw,0,https://yt3.ggpht.com/ikiUo1D1h8qDQt0amWr9p5Aet10gnbpmXo729VTtYplt8JgCFm3u-W_COQX-nSNRbXL1RZkU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxaf2M1E7CBb5Up1N54AaABAg,Sounth ka powder skip kr k kisi or thing se replace kr skte h kya,4 months ago,Nidhi Paras,UCyZpcxTooqTcif5HiS1GegA,0,https://yt3.ggpht.com/ytc/AKedOLTXQUj3JVJCeKuVYft7ZEI-nfrUzElsdHWHLhHWkg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUHFJOrMNU5NdRS3V4AaABAg,Thank you so much Mam.....I was waiting when you will make this fantastic racipy of  Gudpaare.....thank a lot again Mam,4 months ago,Katyayani Kaushik,UCoXc9fjYR7mVCid5Eftoh7Q,0,https://yt3.ggpht.com/ytc/AKedOLTCgwwkxAUQS7bsf_bAjyfHeOnfHDd8FveRX3vgHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfaOCnLcNw8kPhKHB4AaABAg,"Ap  ginger powder dhal rahai ho magr Faidae ""sauf"" k batah  rahai ho",4 months ago (edited),syed maseer,UCot_sNwLaguCDdPodC5wMvQ,0,https://yt3.ggpht.com/ytc/AKedOLQVlXzqumgjYGY05DTKnYb0SKvXtYpuQkmYAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDBUpfMIjSBUI_s1p4AaABAg.9ZmrFtjyrqs9Zp_doBFJ2L,jee ha thanks,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyAWgEsgAZo8ig_WZZ4AaABAg.9ZfEBoby9bp9ZfHkaa2lil,"Thank you so much, S C Chawla",4 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwCtHeaoS7w2O4HS6Z4AaABAg.9ZaU-rgH1Ma9ZaUpiiR16X,"Most Welcome, sunita mehrotra",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFov326ERWi0NjX7d4AaABAg.9YcFQkocfTQ9YcM1hvHWRG,"Yes Jasvir Kaur  ,  esa bhi kar sakte hain",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwz4alQ6U6RKNgesat4AaABAg.9YQbjoPVvIA9YQd1a6W1-Z,"Thank you so much, Anamika",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEr5Q0CQqy8EzCArV4AaABAg.9YEPBzYoGWw9YFiM83IjIp,"Thank you very much,  Aarti Yadav ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
