cid,text,time,author,channel,votes,photo,heart
Ugx15ocj4nxM9hCZrt14AaABAg,Madam agar milk powder use krenge toh Suger ki quantity Kam rakhni hogi kya??,6 days ago,Mamta Rani,UCV-2ryar8MY_sER4VBkVq-w,1,https://yt3.ggpht.com/ytc/AKedOLRzWp3GxYI7rS2x9DUmVU76C1qZa7Ls8O6L9A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyFc6vU9cyZwz6Udqt4AaABAg,Bahut badhiya good morning 🌹🌹🌹🌹,10 days ago,Kitchen Aroma,UCHu082gJalov-z_h1AuwtpQ,0,https://yt3.ggpht.com/ytc/AKedOLR-vMMzke9TyMAMLQgvj_ya_bhgarod74nB_LuU=s176-c-k-c0x00ffffff-no-rj,0.0
UgyacNwYoWYXb_BeNrV4AaABAg,Mam kya poha ki jgah oats bhun kr uska powder use kr skte h pls reply 🙏,2 weeks ago,Angel Rani,UCIpd1l0UhO5Mq6ZYjn12_-A,0,https://yt3.ggpht.com/ytc/AKedOLRyok0LhTpbXYJ1Tj0_v10eawsaG-RH1eOGPQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3tJmw-GU8EmOelBV4AaABAg,Ma'am I just googled the best youtube channels in India and found your channel in the 3rd position..I mean wow! That's great!! Now I'm going to share this video and channel to my mom so that she can cook such delicious food items everyday😋😋😋,3 weeks ago,Mtlb kuchh bhi,UCBTKQLapzU-HHDKAeC88UrQ,0,https://yt3.ggpht.com/ytc/AKedOLSL35EC7aFmPbcdXI3e5v6sKQTfVU0QRNcBrw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEGb7Vn6wiAZAk50t4AaABAg,Really mouth watering 😉 Thanks for sharing this recipe 😋❤️👌,4 weeks ago,susmita dass,UCtMelsgiTYQWVQzquhiGSng,0,https://yt3.ggpht.com/ytc/AKedOLQdedW_bt-uNBpK8wBhHwcWrFloFzVpfNMgaA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzXPvpelbJeLG-zbF14AaABAg,Mam agar discarded coconut nahi ho to kaya ham raw coconut dal sakte  hay,4 weeks ago (edited),Anjela Alam,UCnKXukMuS7GJkCw9x-IfhUA,0,https://yt3.ggpht.com/ytc/AKedOLSflTXvTqVqyZA6WSiCvhmLxko4hcU7-t4aMQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8ll_eK9pEcW-ueEx4AaABAg,Delicious 😋😋 thanks mam 😊🥰 i will try today 😊🥰🙏,1 month ago,Ãñû,UCi1TWqTeCi0PKJWKRFJIK5Q,0,https://yt3.ggpht.com/is7GnVckBd01auseG4kUUehjHIXM_xZcyHLazfE6N495o1eQ7a7RxlGb0FBkN3PR_W5dsCx7Jg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsRK9SrZHtRnE6D9B4AaABAg,Geht,1 month ago,Manjinder Kaur-Singh,UC4cqVcqQXAIsugAg4KtfY2g,0,https://yt3.ggpht.com/ytc/AKedOLQVG1VUJwclbGqOUwdk_ALGhjJviziOY4_CHw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTjHlUfg3dPAcOtTZ4AaABAg,Super mem,1 month ago,Geetika Bhadhoriya,UCR1YouD9br3Q37vz3pcd29A,0,https://yt3.ggpht.com/ytc/AKedOLR9APJFOCOP0ZCdjS8OtORYhG85B0lzztAkt2eXET14nyJjunMoauAo683DXmj3=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy77eUrugiqhqTKua94AaABAg,Nice 🙂🙂,1 month ago,Neeta Ray,UCNgD4V7EAQzpwhZG-bky-RQ,0,https://yt3.ggpht.com/ytc/AKedOLRzHbzJ2E16A7XHERNUNT--dKuwwh933C-FUQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4zMeMApeUArSzfJ54AaABAg,Bahut testy Thank you so much 🙏🙏,1 month ago,PARINITA BAGDARE,UCZ_Aji6l7G6ZsF9qspZlJBg,0,https://yt3.ggpht.com/ytc/AKedOLT9hW1kasUjaA4VqsnAzBw5DNY5Y0kWFxlZlQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPr6ghTWcpBNXy-v54AaABAg,"I can't comment on the taste..but, your presentation 🥰 specially after you made the sweet, you broke into two peaces ❤️ wish, i was there 🤭🤣 🤪🤤",1 month ago,behara pradeep,UCqzMs1lYiBJFbRIZjQXlJXQ,0,https://yt3.ggpht.com/ytc/AKedOLSynV0_eLlaxkqVUdTNvtKCwgSDtVH6egCrAHfrmQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwebocib721dVupV0F4AaABAg,Wats the use of poha in thus barfi??,1 month ago,saloni Gupta,UCPyGMzNbnvBqmHeDq3mIdbw,0,https://yt3.ggpht.com/ytc/AKedOLQwlZ2Xos5viDk0yeSbmZILShQ-wtMqXbuu5A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyrg4BR2DWHEA-xeix4AaABAg,Nice &tasty recipe,1 month ago,Abha Agarwal,UC0QkFxgoXkmRtX6hxPN6DRw,0,https://yt3.ggpht.com/ytc/AKedOLQlvcZXb76mf7IaLs7nzQ6YYYiEabPcNIczVA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzCP52dLdusoDH7PMt4AaABAg,"Mam , instead of milk hum aur kya dal sakte hai?",1 month ago,rose toppo,UCQdryMRuiPxrrXYNNIn8NrA,0,https://yt3.ggpht.com/ytc/AKedOLTHmBPKkoHcUv34_4526wIbFygVp_3yCrrehg=s176-c-k-c0x00ffffff-no-rj,0.0
