cid,text,time,author,channel,votes,photo,heart
Ugxnowyon4Vy6IrrHqZ4AaABAg,N n o,2 weeks ago,Raj Kishor,UC-uSwIce9n_E4YmoBg9kgMQ,0,https://yt3.ggpht.com/ytc/AKedOLShrEpweL84QAEcA6IlI5qWmu6TBjp5U8L2YA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsdWuAASssK2fOZPp4AaABAg,What kind of Gur (Jaggery) has been used.,3 weeks ago,Gadget Knowledge,UCzfMoHVKrfD5QGd-Pb2qJkA,0,https://yt3.ggpht.com/ytc/AKedOLS97ISmTeCuvjJh9Y48L9RTGss5-SY2aqvaLxT94W55E3a12uupirnHpHZkpIOo=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYffXqMFzQsyh3HId4AaABAg,Sugar melt nhi hui,1 month ago,Poulami Bhakat,UCCYgjfQPMpplOLIRfSr5AGQ,0,https://yt3.ggpht.com/ytc/AKedOLT38r6uA845gFDAhS7sL5jjh4eJjXU500fdww=s176-c-k-c0x00ffffff-no-rj,0.0
UgwG6pWo_Yw4Xyw8bE94AaABAg,Maine ghee me chini dala to melt hi ni hui. Crystal jaise bnne lagi.,1 month ago,vandana jha,UCfnfKtV9npqrHaN4RT6CL0Q,0,https://yt3.ggpht.com/ytc/AKedOLQRHOqS4ElqPbvqdGADSip9DzJrtzPyvNdTwQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzVDnuEoqKB1o58H54AaABAg,Very nice mam,1 month ago,Nirmla Gupta,UClzo6V5zWrXuk8gtTyUo-_g,0,https://yt3.ggpht.com/ytc/AKedOLS-AXx-fQoTaLNjvkxZX8TpTWtCiCfw08iiAw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwk8SjYsJsLSLsbIo14AaABAg,आपकी हर रेसिपी लाजवाब होती है बिना प्याज लहसुन का खाना आपसे बेहतर और कोई नहीं बना सकता,1 month ago,monika sharma,UC6uVVNn8-2i49d5qtF1MNCA,0,https://yt3.ggpht.com/ytc/AKedOLQhxkW4KZC-YFM7EsQk-lFjayHRXMcrgOGkaQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG1sJdXpkfzcghoFd4AaABAg,"Mam I like this recipe because it requires  less ingredients, easy to cook and healthy... Pls upload some other recipe like this",2 months ago,Gayathri DS,UCipZVg2EoFPOLjRaW1eIvVA,0,https://yt3.ggpht.com/ytc/AKedOLSUeiVu7HAclVodgmCc7uqiTggMm9doii6SBQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-RHKbrcpQQ4fP8r54AaABAg,"🙏Thanku mam for sharing
Main bhi apne har fast mein sugar coated banati hoon
Aur waise regular khane ko gud wale bhi
Lekin masale nahi dalti ab aapne btaya toh ye wale bhi banungi lag rha hai ki masalon se aur  gazab ka taste aa  jayega
Thx ones again😊",2 months ago (edited),Kiran Pandey,UC7O4hJJwZCetI_ZcpHlaz4Q,0,https://yt3.ggpht.com/ytc/AKedOLR5k9qJd2S5XijY6U0OoGXacYy355h2SEHGekDE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrzA6OLdbKeKBJHr54AaABAg,Kya baat hai bahut Sundar,2 months ago,Ekadesh Rudra,UCZQRsYb_YyqqTGP0ATMXAxw,0,https://yt3.ggpht.com/ytc/AKedOLRewMXZeJzLnS7Nr5WYpAHnQ8NY8EtZ4y7m6qF4kA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgAzcDkv0X0XKiQll4AaABAg,khana pakany waly k nakhun bary nahi hony chahiy,2 months ago,Rukhsana Masood,UCDLaITd1Bie_TN9i5hVa3_A,0,https://yt3.ggpht.com/ytc/AKedOLQXtF-v7a96ZM8GhNZHT3SY06oqz0m7FCR4uQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVz2c17J6dLSltk2F4AaABAg,It is so 😋tasty,2 months ago,Kiran Taneja,UCuL-QRX2aZj_N177jhm5DoQ,0,https://yt3.ggpht.com/ytc/AKedOLRfoiLjk0GHTE0Ywo8yyqzbd-wBsnCM48Eb2MDoBjPLtFA8ICgBavLEsWjAckzY=s176-c-k-c0x00ffffff-no-rj,0.0
UgyiTkCkKZvutJd7lj94AaABAg,I like it toooooooo much nd it.s my first time comment i ill try it,2 months ago,Punam Malhotra,UCUfQKoT2p8GQytK2Jf7K68A,0,https://yt3.ggpht.com/ytc/AKedOLSWzfOOHWDUr2T0LAluUocHClMOAUNV58ZGYA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZzxmkPaWctCTpexh4AaABAg,6,2 months ago,Maya Agarwal,UCTirb3ojXXjhWStAWFTEv3Q,0,https://yt3.ggpht.com/ytc/AKedOLR31uroSs4lkYyb-d6IvMFcG9-pQPg5WxAoQg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6KNYjwqu2Gyoucnd4AaABAg,👍👍👍👏👏👏👏 thank,2 months ago,Maya Mukta,UCwK5rk15YOGVQAtGbpvOTjg,0,https://yt3.ggpht.com/ytc/AKedOLSRUcdojPXLbYqKoHnzl4M27vuM7Rnfb3XTHw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwfn4yrBgbeR8Bztb14AaABAg,", aap bahut Achcha Achcha batati hai aunty ji",2 months ago,Rajesh Kumar Thank you aunty,UC4bEZdHPAHLTCsBCMhekhTA,0,https://yt3.ggpht.com/ytc/AKedOLQNlN-2JF0z-_VsIkTH603OQEX5bysp0rPmjA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHQaBsel19Kby9Lpx4AaABAg,Tasty yummy,2 months ago,Rajesh Kumar Thank you aunty,UC4bEZdHPAHLTCsBCMhekhTA,0,https://yt3.ggpht.com/ytc/AKedOLQNlN-2JF0z-_VsIkTH603OQEX5bysp0rPmjA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcI_FzZzs5rBpHp_R4AaABAg,I will make my teacher ms nisha,2 months ago,pemac company,UCrGAzk5FD_B_zCU7l89fYJg,0,https://yt3.ggpht.com/ytc/AKedOLQe9rC6q19lGPdcO50cN-2jew1ldqLN-ZPF3g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwElf0mFVslb_jVdD14AaABAg,"🥰सच में Dear मुह में पानी आ गया 
What a dish and What a video ❤
👌👌 शानदार डिश .",2 months ago,Mansi Rathi,UC_NjmTVETOkRr-U8hoYpdhg,0,https://yt3.ggpht.com/mz-VHMldGlVglDMFzuxLLNuk_gyRr3OAD07xxRB6NB8s5IcKIz67llGBDhTh3ov0KlV6RUST9g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2OAzwR8Nxk0HTTNx4AaABAg,Waooo,2 months ago,Hamza khan,UCikFZCDqWuQu9r7RXTPJYRQ,0,https://yt3.ggpht.com/ytc/AKedOLS0Ihl9x080a0pAEIMTRSvioR1fs43fzpOjyw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3IhJPaBqHodRhO0J4AaABAg,Perfect seems tasty,2 months ago,SHIVANSH singh,UCNrkUZv0ceYoVhvHeY1PCeg,0,https://yt3.ggpht.com/ytc/AKedOLQYP93cxA5edjfeViWIBL8i5kWuaIgmT8oy7CDi7g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxnowyon4Vy6IrrHqZ4AaABAg.9_8DHfmNA__9_8rJxu5RQ9,Thank you Raj Kishor ,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsdWuAASssK2fOZPp4AaABAg.9_3GvPpddAg9_6ZJQ3Ixju,jee normal gur-Thanks,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYffXqMFzQsyh3HId4AaABAg.9ZXyJNz0plR9ZYAiGZ_N4F,Aap sugar ko low flame par melt kijiye Poulami Bhakat ye zarur melt hogi. ,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYffXqMFzQsyh3HId4AaABAg.9ZXyJNz0plR9ZYNyY1-i8U,Ok try karungi mam,1 month ago,Poulami Bhakat,UCCYgjfQPMpplOLIRfSr5AGQ,0,https://yt3.ggpht.com/ytc/AKedOLT38r6uA845gFDAhS7sL5jjh4eJjXU500fdww=s176-c-k-c0x00ffffff-no-rj,0.0
UgwG6pWo_Yw4Xyw8bE94AaABAg.9ZQiWqQD57V9ZfA-vzZgwe,*vandana jha*Cheeni ko thoda time lgta hai melt hone mein. Pehle crystal rehte hai use dheere dheere chalate rahiye tb ye melt ho jayegi. ,4 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzVDnuEoqKB1o58H54AaABAg.9ZLoCRPo7QZ9ZLpql5pq0O,"Thank you so much, Nirmla Gupta",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwk8SjYsJsLSLsbIo14AaABAg.9YhEmjVxAXI9YhKz3HoJk6,बहुत बहुत धन्यवाद monika sharma,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG1sJdXpkfzcghoFd4AaABAg.9YW9fxvW_t29YXlUYYxwLt,"Thanks  Gayathri DS , for your suggestion. I will try to upload it.",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-RHKbrcpQQ4fP8r54AaABAg.9YSOLqB4cHn9YSX1LTdWGO,Thanks n welcome  Kiran Pandey,2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxrzA6OLdbKeKBJHr54AaABAg.9YLd3Dlxw089YLdUHujCwV,"Thank you so much, Ekadesh Rudra",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVz2c17J6dLSltk2F4AaABAg.9Y8TGCsxhot9Y8WqVlDL1q,"Thank you very much,  Kiran Taneja ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyiTkCkKZvutJd7lj94AaABAg.9Y14Z4yxMzs9Y2nVIlwQ_l,"Thank you very much,  Punam Malhotra ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6KNYjwqu2Gyoucnd4AaABAg.9Xrtxz4jF5_9XtYardwgRc,Thanks n welcome  Maya Mukta,2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwfn4yrBgbeR8Bztb14AaABAg.9Xmbgf2w8179Xr68akNws9,"Thank you very much,  Rajesh Kumar Thank you aunty ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHQaBsel19Kby9Lpx4AaABAg.9Xmbdc7azPt9Xr67w1zLjv,"Thank you very much,  Rajesh Kumar Thank you aunty ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcI_FzZzs5rBpHp_R4AaABAg.9Xk3DaLAgGU9Xltp27l1Wu,"Thanks  pemac company , try it out and give us your feedback on its preparation. ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwElf0mFVslb_jVdD14AaABAg.9Xi0uKRwnxE9XjCVveQOmn,"Thank you very much,  Mansi Rathi ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2OAzwR8Nxk0HTTNx4AaABAg.9XhdU3RPCUH9XjCbWwX6Fv,"Thank you very much,  Hamza khan ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
