cid,text,time,author,channel,votes,photo,heart
UgyDMcK83Dk-qFfmq4p4AaABAg,Excellent recipes mam sabji bhut tasty bni h,1 day ago,Himani Aggarwal,UC1sD6m4SXmytN7sveK18Jaw,0,https://yt3.ggpht.com/ytc/AKedOLRwsSF27Iqdl78cq1mGAjXbz14hWSE_fv0CixueW2_2WuivdocERM59chaBn7r2=s176-c-k-c0x00ffffff-no-rj,0.0
UgwS0NRkcTDnC5sXb2d4AaABAg,Nisha mam ish Gobi recipe mai aapne Amul fresh cream use kiya hai na aapane,2 days ago,Aman Sahu,UC1YriVvL4HtdWW3cBEgvuLA,0,https://yt3.ggpht.com/ytc/AKedOLRgpuCv2E4L5zYUQ-_T0iEVdjn8bcOVOUXl_A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwjo3lFEemh-mPIU5R4AaABAg,"Hi  Nisha g
today i tried this recipe everyone said so ymmy thanks mam",2 weeks ago,Manjit kaur,UCH6UEgBpQmqf29mpI8Jw6ng,0,https://yt3.ggpht.com/ytc/AKedOLS6iAdR2vdoqLic8GDWLSZ6_ecYTn8xiykC3YA=s176-c-k-c0x00ffffff-no-rj,0.0
UgylU4gh4mCKhyUM3eB4AaABAg,Yummmmmmmm,3 weeks ago,Harman Dhillon,UCeOXm5Q4MR1lNIXXFgZy4lg,0,https://yt3.ggpht.com/ytc/AKedOLRg2ZtJze_ScDkwH6c0KFZFOw69e4_Xms0rcx0IoNI5KmCCfh4rJhcSzxIozxvB=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrR5qdHemuCpNigJJ4AaABAg,An excellent cook especially for we vegetarians. CONGRATULATIONS,3 weeks ago,BALBIR SINGH,UC0UST36L3S4toDQe9q4SiDw,0,https://yt3.ggpht.com/ytc/AKedOLSg5lTxsRpZHbqiODuYaT1y8-AoRVZ6Mjw9wQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqkTOaYoHCJUrpeIJ4AaABAg,Excellent,3 weeks ago,INDU KAUSHIK,UCBihbqlTKfYyh2ObtSu69gg,0,https://yt3.ggpht.com/ytc/AKedOLTlplOCLLFgC_0bqw2Ww-QaBmM78qhzag5iwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxA0mZPKN3h6Rbwd4J4AaABAg,Evening,3 weeks ago,INDU KAUSHIK,UCBihbqlTKfYyh2ObtSu69gg,0,https://yt3.ggpht.com/ytc/AKedOLTlplOCLLFgC_0bqw2Ww-QaBmM78qhzag5iwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgEADvOHt2xGFNvrt4AaABAg,Mam agr sukhe msaale psand na to avoid kr skte h,4 weeks ago,ekta chauhan,UCnCancHCd72ilHWHgIhcb8w,1,https://yt3.ggpht.com/ytc/AKedOLRYIxJ4hz4nc231PHBBF8TRwvimS2ydcwIyLw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpaF3QsaNOD5RUd5N4AaABAg,👌👌👌👌👍👍👍👍👍👍,4 weeks ago,ekta chauhan,UCnCancHCd72ilHWHgIhcb8w,1,https://yt3.ggpht.com/ytc/AKedOLRYIxJ4hz4nc231PHBBF8TRwvimS2ydcwIyLw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0_Gb6owcCY7ZsJN54AaABAg,Mam ky pyaz use Kar sakte hai,4 weeks ago,Ramu Jupk,UCFm5Y5YmMd7hp94Eh3ZwHaQ,0,https://yt3.ggpht.com/ytc/AKedOLTTBsZuQHtIPdnNYb6y0ovgdmBiVd3xetDP6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjTK1xPwr9XUuTJPp4AaABAg,Thank you ye bhut achi LG rhi h,1 month ago,Nidhi Fozi,UCiBV15zOL6pgjdPDeqb0c5w,0,https://yt3.ggpht.com/ytc/AKedOLTAyAAOPfkcYje8B84lHyJw5y3szz9E2XYjXNBJSjvX7ZC2P2uAxFopiIFVveud=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDJRhsYZhAAD7TQax4AaABAg,Nice recipe 👌thank u mam,1 month ago,DeathDevil Gaming,UC5wnC4_EI0zFutKuboiJSoQ,0,https://yt3.ggpht.com/eKZs_pST5wiD6VoWd0Lxq-qpDzceDQwGcBMw_F7JdL3-dbVWwfY4CC5VqlE_kmziyL29fg1ktRY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7HZ38VZ-31Wlysyt4AaABAg,❤️❤️❤️ very t tasty,1 month ago,Mandeep Kaur,UCRZO4P5pggzefLe-LRUUvZQ,0,https://yt3.ggpht.com/ytc/AKedOLQQ-5dCYDkfTX_kLprAg2QGn11uPcYeKzWOBp2zcKcxbXJyIEDDMA6tA_3n9iR3=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqFU7fs11zAlq4ULd4AaABAg,Thanku mam aapki sari dishes bhut hi teasty hote hai mai ghr pe try krti hun  or mujhse v ye bhot ache bnte hai ab mai bhot  achii cooking krne lg gyi hunn thanku,1 month ago (edited),Nagma Akhtar,UCBzsmbdp2P1cnbFn5qZIdAA,0,https://yt3.ggpht.com/ytc/AKedOLQbjk6NIMJS__ZEd0z_iAHonlIKMktl1SzSYN8j=s176-c-k-c0x00ffffff-no-rj,0.0
UgymiTXVZeZW-IPVyd14AaABAg,Superb taste 👌👏👍😍😋,1 month ago,Shreya Singh,UCSDUvBS3Tk4TEFFgLMA7UkA,1,https://yt3.ggpht.com/ytc/AKedOLS9wnAI3wKf8FDhr87IrlhPwQOJl0y1RF3LL9hJzW0Hfr1rDooLleKTx7PlwQSR=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvTqrTSLXOTavUO8Z4AaABAg,0:00 Anand raho 🖐️🖐️🖐️,1 month ago,ONLY TECHNICAL,UCPQ8K3T2qLndrrFTL9QaXVw,1,https://yt3.ggpht.com/ytc/AKedOLSo5pyzvu3rJ1NXmSTaGIUIoljsQJloPZflE3T2=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUszJeDnifTpbtjRt4AaABAg,Aaj yhi banega. Thanks nisha gi.,1 month ago,Archana Tiwari,UCYoQjEm7JWi_tJhJeQVIwcg,0,https://yt3.ggpht.com/ytc/AKedOLSqmmlPEyYYZMEiBbmF3GGzQx8RRhkcrKFynw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYgS7KoZEwjljDQBd4AaABAg,Thanks very testy 👌👌laajab,1 month ago,Jyoti Singh,UCLMFVtc0jjHF4NFxm_uClow,0,https://yt3.ggpht.com/ytc/AKedOLRYYfYS9kBIUDxdijuHIr-6krby77sM23sCww=s176-c-k-c0x00ffffff-no-rj,0.0
UgweO8roiMoksugzc4F4AaABAg,"Very good, new recipe for me,thanx ma'am.",1 month ago,Krishna Rani,UCZqLzvAuwFBE2kWa7QOHQiA,0,https://yt3.ggpht.com/ytc/AKedOLRUW9kmeJxCgd3IhrET2mVQe9BEWEUJhv2E1Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4kTy6Pe9NuoQyPvl4AaABAg,Anty ap govi ki testy sabji banaiye🌹🌹,1 month ago,Anupam Singh,UCcBR3dOwyfab3_OWl-czjww,0,https://yt3.ggpht.com/ytc/AKedOLSxRkvxFVq7Q1n2sKhqd0u3xbHY4sKm5j7NyQhemOAaKXux7QpaQnztBwcwpte7=s176-c-k-c0x00ffffff-no-rj,0.0
UgwS0NRkcTDnC5sXb2d4AaABAg.9_nUkHvRtks9_ndjP0UAwD,jee -Thank you,2 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwjo3lFEemh-mPIU5R4AaABAg.9_EktsAHDDr9_EuPq5AuKZ,Thanks n welcome  Manjit kaur,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgylU4gh4mCKhyUM3eB4AaABAg.9_1URkJthU69_1Vwk_lglv,"Thank you so much, Harman Dhillon",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrR5qdHemuCpNigJJ4AaABAg.9ZvRwBGA34m9ZwsFVzr7sP,Thanks n welcome  BALBIR SINGH,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqkTOaYoHCJUrpeIJ4AaABAg.9ZrchdEevSf9Zre-G20g9z,"Thank you very much,  INDU KAUSHIK ",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgEADvOHt2xGFNvrt4AaABAg.9ZkLGlRdo299ZkktFej7K1,"Yes  ekta chauhan  , ham ise  skip bhi kar sakte hain.",4 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgEADvOHt2xGFNvrt4AaABAg.9ZkLGlRdo299ZkqPaG-RtA,"Ok mam thnx 
M bi bnaane wali hun aaj abi",4 weeks ago,ekta chauhan,UCnCancHCd72ilHWHgIhcb8w,1,https://yt3.ggpht.com/ytc/AKedOLRYIxJ4hz4nc231PHBBF8TRwvimS2ydcwIyLw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpaF3QsaNOD5RUd5N4AaABAg.9ZkLDUYfP1E9ZkSgRbZzuR,"Thank you very much,  ekta chauhan ",4 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz0_Gb6owcCY7ZsJN54AaABAg.9Zg-a81SBYN9ZkcKsA4eFS,"Ramu Jupk , mere anusar onion and garlic mein tej mehak hoti hai joki baki ingredients ke flavor ko achche se ubharne nahi deti. Mai isliye inka use nahi karti lekin aap chahe to meri kisi bhi dish mein apne swad ke anusar inka upyog kar sakte hain. ",4 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzjTK1xPwr9XUuTJPp4AaABAg.9ZZBfmJTFRg9Z_cRReZLad,Thanks n welcome  Nidhi Fozi,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDJRhsYZhAAD7TQax4AaABAg.9ZUIDXTamT19ZYCMju-9jk,Thanks n welcome  DeathDevil Gaming,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7HZ38VZ-31Wlysyt4AaABAg.9ZGLr4uVnhJ9ZGLzNwNK_k,"Thank you so much, Mandeep Kaur",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqFU7fs11zAlq4ULd4AaABAg.9Z9-32unUPw9Z9-JFL3huw,Thanks n welcome  Nagma Akhtar,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgymiTXVZeZW-IPVyd14AaABAg.9Z8Uc_aqljU9Z8UiNuthYX,"Thank you so much, Shreya Singh",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUszJeDnifTpbtjRt4AaABAg.9Z45brhHqZs9Z5jVmMyNfo,Thanks n welcome  Archana Tiwari,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyYgS7KoZEwjljDQBd4AaABAg.9Z41xD7HpiT9Z5jdPO2BSu,Thanks n welcome  Jyoti Singh,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgweO8roiMoksugzc4F4AaABAg.9Z1nrsWtq1R9Z39PuHCcLI,Thanks n welcome  Krishna Rani,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4kTy6Pe9NuoQyPvl4AaABAg.9Z1Agth1Qva9Z1C_52o1m_,"Suggestion ke liye thanks Anupam Singh , main ise upload karne ki koshish karungi.",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
