cid,text,time,author,channel,votes,photo,heart
Ugzd8wrpW3Unw6K3Sxh4AaABAg,2:45,2 weeks ago (edited),NUSRAT NISHA,UChrw1Q49MrMvgVLSlZTzuNQ,1,https://yt3.ggpht.com/14wSxKNi5Edzgd7FA1cJVtG2s_uYp2LYw7zFeZNsixKiF1ZNJNXry3-HY-t3lFPdeza605f2OQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtpK9MaMigzMxRwz14AaABAg,I tried this and it was really delicious ..thanku mam for this amazing receipe🙏,2 weeks ago,asha kundal,UCtnBsWhRH6JsEiJjry7_tBw,0,https://yt3.ggpht.com/fQWjukNNx4s9mcF8WMHm0o7Om__W5Z0INYODszviXrf0LtKAgrzcZcEcPgV_GhgObGGKMfWF=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvqVWsdgoB5QdH7OZ4AaABAg,Ma'am we can brown rice,2 months ago,Mounika Gunda,UCCJgp5YQlVnE2pQQzGg-fPA,0,https://yt3.ggpht.com/ytc/AKedOLQnpsOZqh27wQ83AdYQhS9y50TMFK_QBWhQrw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoJzcIxdEv5OFKInt4AaABAg,"Love you Nisha Ji,the tips you give in the are very important, that's the proper way to explain the things",2 months ago,Gurkirat Sharma,UCf-QtILUPgSjMHZpX39lTXA,0,https://yt3.ggpht.com/ytc/AKedOLSQWKJVcgKwwaRRaJwHMDa7WGoVs42x9V568A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMjemIy6kzGMOU3vN4AaABAg,Bahut badhiya bna h,2 months ago,Shobha ki Recipe,UCnODis25Wa24_BYsDx2K_QQ,0,https://yt3.ggpht.com/ytc/AKedOLSNzqilbExwl9mzhwoDTEswaO07r7BhFCe6V7LI=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzyIhjdoMhAOYwFtJ4AaABAg,Power of vegan,3 months ago,Krishna das,UCvUE1o_aQt_SwLZQ7dNQeNQ,0,https://yt3.ggpht.com/ytc/AKedOLS6w3Gpdp_YNo_Fp2wkmystKijFhTWnu2aJig=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbVn9feJBA2Q4jCqJ4AaABAg,Bohot acha  hai 😋,4 months ago,Rani Pandey,UChbXxBIXkG7qqWKad8LGwqA,0,https://yt3.ggpht.com/ytc/AKedOLTzDHmRjFfje8O7KZAi5BKdmpfSlWbWNoZgFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxD4cBeBY0NI7X7hQ94AaABAg,Woww,4 months ago,Kasun Tharaka,UCwOwrnK0wwn7ZeUss4PGFLA,1,https://yt3.ggpht.com/ytc/AKedOLT_AMGaWeBTBRp9l4EZ4jXux1vl5N52Iwn1Zg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5fFQ8lR92S8iNho54AaABAg,Thank you so much dear a lot,4 months ago,Kanuji Thakor,UCN4kFpBC5dqaqAvC2uFZEBw,0,https://yt3.ggpht.com/ytc/AKedOLSwVPbp0dXv_A5BBBNl9XOyYr56gJ3s2viQ1TiB=s176-c-k-c0x00ffffff-no-rj,0.0
UgyImshyP9jCcZhDR3p4AaABAg,"Love ur recipes aunty 😋😋 u explains exactly like my mom very polite and softly .. 
Thank you aunty for all the lovely recipes 🙏🙏😊😊😘😘",5 months ago,Palak Khare,UC6HgwTbPPCxxk1y-WvJE5vQ,0,https://yt3.ggpht.com/ytc/AKedOLRf6gfNuoJyc7fazB6ZYFvlCo4ZaWedwJzw1Ra5zg=s176-c-k-c0x00ffffff-no-rj,0.0
