cid,text,time,author,channel,votes,photo,heart
UgxgelqwDHli7B_jayl4AaABAg,"Maam I prepared this cake by your recipe,but it was not spunzy at all",3 weeks ago,akash kumar,UC-X21rx6l16avY4P_YXc-LA,0,https://yt3.ggpht.com/ytc/AKedOLRR6uHQNDUx8yqZ5NLUzI8M03Mg8F-FcY8kUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfBjDgwVr3kYF1Wh14AaABAg,Mam cake I want to make a 10 inches container what is the measurement of that size,1 month ago,Hansa Joshi,UCAZBz29KvIZ0QiCa0wVD58w,0,https://yt3.ggpht.com/ytc/AKedOLQ4lpk7OnszwdCnkYs2uNjtWaapJE0byxzpeZxobA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyufxmKKZGb-QNpPxJ4AaABAg,Op,1 month ago,Panditraju Ji,UCIQCaAbhNF5poOMTU8ufMgg,1,https://yt3.ggpht.com/ytc/AKedOLQ_bi2hUeRqKRpslkhlRgqP6cjv-86FkPDm-VILPqvL07nlKgtMuxgQT7YqYF5s=s176-c-k-c0x00ffffff-no-rj,0.0
UgwTk1Su92B6fdvxoEx4AaABAg,"Thank you so much ma'am,aap bahut achhe achhe recipe banati hai🙏",2 months ago,Sangita's Cooking Club,UCV4wpAu_c2LoLyjZNnOM5ng,0,https://yt3.ggpht.com/5ueFBLJMUVUx6lWHacPQhDC3qc9ZIQmeypRkarRaYuFWd2gQVWLMrJ2tklVPQWPK79K8F-KI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3MLjZU5isvtD5M-54AaABAg,Super 🌹🌹,2 months ago,Amruta Khan,UCCQuzScBy-mbD978-KdJbkg,0,https://yt3.ggpht.com/ytc/AKedOLShIfxQ46Zo0YatP82SKFho9HryevYXfyFuaw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFYcT-GGLC6F2McNx4AaABAg,Thankyou mam for this easy tasty recipe...came out so well.,2 months ago,Rupa John,UCsSsjSH0BBLokNI95YBRqzA,0,https://yt3.ggpht.com/ytc/AKedOLQnE_k2CxtKkjmBdsjmQ3w-Qv8gMu9_qLWu=s176-c-k-c0x00ffffff-no-rj,0.0
UgyCWCD9byOvHjUOEul4AaABAg,"Ma'am, mera cake side se poora bake ho jaata hai par beech main se bilkul geela rehta hai..aisa kyun hota hai please madad kjiye!🙏🙏",2 months ago,arjun,UC4f8mdY-NwrSMm2EDcI8WHg,0,https://yt3.ggpht.com/ytc/AKedOLQvdo7Ai-90akFDKnsRe2J98D1Qyknm27raszPA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1gmXtN5JYZOWyvQt4AaABAg,Super wow mem you are so great love from Gujarat ❤️,3 months ago,cook with jyostna,UCYgKmBrc1d-p_Bc_Q4x5SGA,0,https://yt3.ggpht.com/XFr5dO9L_W6Hc12jmGtmmFo0e0bMoo_gW5ckd6I6I44opK8rdPGuDE1ZHoXceC4oHTF4aPi6Wt4=s176-c-k-c0x00ffffff-no-rj,0.0
UgzeZv0wjcYXi_iCzrl4AaABAg,Bahut badhiya hai aapka kake,3 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwETb4DEeG_nqvUrK94AaABAg,Mam u are too good... I m ur new subscriber,3 months ago,swati swaha mehta,UCqt-vcp5vk-pkvD9KroTLvQ,0,https://yt3.ggpht.com/ytc/AKedOLTwtEhKjEYyulbuVrUyjrRqTtzI8iy0RklDUVWiFw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwsoOK7EEtI2HVt_7V4AaABAg,Why lemon juice is used.,3 months ago,Apu Paul,UCNangozfH0pPTB8HtETv2bg,0,https://yt3.ggpht.com/ytc/AKedOLRgP6hwT4DPDmX7opddOq40AlM5EtkrI4iXNg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzIJ393hIGFHC4wz7t4AaABAg,Namste,3 months ago,उषा सिंह,UC1_iY1ewfQkJElZQh6dnEeA,0,https://yt3.ggpht.com/ytc/AKedOLR0L36xK-Rs6_S10-0oW6MMeUEOB3PPkS7hjVl4=s176-c-k-c0x00ffffff-no-rj,0.0
