cid,text,time,author,channel,votes,photo,heart
UgxMR_nPQwL1Ux1I__Z4AaABAg,Meri sbji kdwi kyu lag  rahi hai,6 days ago,Pratibha Tiwari,UC3cBVNppb0c-SBVTJuxGgKw,0,https://yt3.ggpht.com/ytc/AKedOLS4CWK0SF3UTiEiVfACunc9kDMb4pT6qKaymw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNzy69AKO7_9biFtZ4AaABAg,Mai YouTube se gujarish krta hu ki 3x speed laeeee,10 days ago,Palash Pandey,UCA1NCTuxMDRHnWkKEitfhRw,1,https://yt3.ggpht.com/ytc/AKedOLQpzksLs39Gmh2Tkw5ko2L2xQjb8QQXEu1ynA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNW0CRp8faD_noX-54AaABAg,"Very tempting recipe as always Nisha Mam !!!
Am mking it now 
Thanks for d wonderful recipe 🙏",3 weeks ago,Shvetha Shastry,UCFwqSh2i_3OSRNnsH3QpQaQ,0,https://yt3.ggpht.com/0LxqC1CsHW3L-qRX_YcFSxZ5JRMo6GjaOZ0d_F9YUNllAD17wK9GzjBgwLdLeLxDQODVnkiQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhOysOWgIUmHuq_eF4AaABAg,Roti mein khana hai ya chawal mein? Eo nahi bataoge kia?,1 month ago,Yasin basha@46,UCnBogGJQ2pztbAhxdlQj7bg,0,https://yt3.ggpht.com/SdE_8wpq5W9Rlwz0lsW_rtwt-vfcwTwU_piW8Mu_Cei_IMS1uBK1AwT8wYfaDrYvF8uCM_bC0w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEbOdueC54OfRNKep4AaABAg,So love ly ❤️😍❤️ me bhi aaj aap ki tarha hi bna Rahi hu cholai ka sag bilkul simpal tarike se thnk u,1 month ago,Koshal Kishore,UC_BrQECkfgpK26IduWcI-bg,0,https://yt3.ggpht.com/ytc/AKedOLRxQZR2dH4PJxLmcsa7iS0iCLQf3i2KKiguTv9q-WSRFWWaNrKVSrw0RQhmIIam=s176-c-k-c0x00ffffff-no-rj,0.0
UgxN5CP9dvXWUCl6qL14AaABAg,Super 👍👌❤️,2 months ago,Mable Feranders,UCSTYNAEE2INI4ME2VtjSiEA,0,https://yt3.ggpht.com/ytc/AKedOLSvDdXz3OGSQ6pRMok-Mc4DJ29xp40APfUUFQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9X79bX_2OKB6JO094AaABAg,Good luck mam,3 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwgf_X3nufruqgnkuB4AaABAg,Thanks 4 the recipe 😋 😘 😉 😀 😊,3 months ago,Aparna Vikas,UCPPUq2QdE1Dexm8xCIgGhiw,0,https://yt3.ggpht.com/ytc/AKedOLSNo89tk6NO_Z4lcsLeSW64Tm82XY6apx6g1S1zrA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQkCl_XYE7x_B1NcF4AaABAg,👌👌,4 months ago,Shalu Khandelwal,UCrS0rLU5mW0dtOsw6134hug,0,https://yt3.ggpht.com/ytc/AKedOLQWpq1MkKCP9OsJfNPsCoqy0urZp8VR9bu6WA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxABC8uyqRRWU4y0d94AaABAg,Wow nice and testy recipe,4 months ago,Emeli Sur,UCWFJigz1bZpZgY3i5-PNh3g,0,https://yt3.ggpht.com/ytc/AKedOLT-6smcAehJDntna6Rbot2dg1s6ovC8--KXGfReMQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyic7fHwCU6Y_MwvBt4AaABAg,👏👏👏👏👏👏,4 months ago,Subbalakshmi Subrahmanyam,UCnHv22lMxqGtPqQbTFxNtJw,0,https://yt3.ggpht.com/ytc/AKedOLRiwz7ZdylN0NX4_s_A0mtPNERJPseYGfHUoEqKBpk=s176-c-k-c0x00ffffff-no-rj,0.0
UgzFkI5PNGYjky5Qsnp4AaABAg,Very nice and thank you,4 months ago,Anamika Patel,UCi9bVcU7gx2tyLhAr-VJoxw,0,https://yt3.ggpht.com/ytc/AKedOLSUwTp6ptiNCy1eovPrO61XfV74a8S21hpP3MU-D4ybbS47m9xmjKJ-JjbghP1m=s176-c-k-c0x00ffffff-no-rj,0.0
