cid,text,time,author,channel,votes,photo,heart
Ugx5QC7bhGYQGOp8rPJ4AaABAg,Mam Pnabara ki recipe share kariye,1 month ago,Merna Sharma,UCiaqnZ1jm7ysMzq5Pe1CxTg,0,https://yt3.ggpht.com/ytc/AKedOLSrRMny0pLNWYxQPpQXTU6bpX83fg0qS4DE=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpFmKmvcaC_Ap_9694AaABAg,Wow 👌 chatpata,3 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfDPf2zm4O_L77zcZ4AaABAg,Dahi na ho to 🤔,4 months ago,Lakshmi Shukla,UCaE78js58Na3tC0jpSsqXaA,0,https://yt3.ggpht.com/ytc/AKedOLR85rSRQ_AzRkAlKTFthq7aCj_9u6gaOrQ_Cg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7jkBIvKhi3k5Q6594AaABAg,Momos,5 months ago,Tanay Soni,UCMv2g_4OkxPqd6VtvAoQdag,0,https://yt3.ggpht.com/ytc/AKedOLQ0Zk5cuJNLLPaLbg5zZZvDUoJw1d2Mfi3QAw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1ew3-uEsbdBVtqfV4AaABAg,Very nice 👌👌,5 months ago,Usha Khanduri,UCo-9Q8AUkkwdaaUhKJzIUCw,0,https://yt3.ggpht.com/ytc/AKedOLR2atlsulxwlucj4t-GWrwJsJWpr4f5bi6Z-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgymT-6CHOlYaYNnX154AaABAg,Mam Happy Deepawali suran ki sabji n grevy bahut tasty bani  bataney ke liye dhanyawad,5 months ago,sharad tandon,UCMV7XpGSiVbpQHinaan3dHA,0,https://yt3.ggpht.com/ytc/AKedOLSJuTmmP6mZIhUuRUlSdT2dvVJ7PwJTsS6YBcvct40=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpfXnzTDZm7ZNvVEJ4AaABAg,"Hello mam namste, Muj se laal mirchi ka andaza ni hota Sabji me jis se Sabji Achi ni banti aap please Muje laal mirchi ka andaza Btaiye.. Mere hath ki Sabji ki Koi ni khata is wajah se",5 months ago,Neha Sanwaria,UCMoL-kQOaIZ-9A7l3roXLDA,0,https://yt3.ggpht.com/ytc/AKedOLTAv6TD-RtQmdUDW-oeioSH-Pwc9VK-Nd4ukQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyU8czhIzeNJJol5zl4AaABAg,Nutritional recipe,5 months ago,Sweta Khan,UCHbaFAFaRjp-jcwsOP53yWA,0,https://yt3.ggpht.com/ytc/AKedOLTOk5DQEeQWR7uXeyL_o7bO4payYs8t0u8bEOtyKswKqzCUaqziutBWBPJ4aT9M=s176-c-k-c0x00ffffff-no-rj,0.0
UgxM2ULvLgH3XVcO30d4AaABAg,"Made Suran Kofta Curry. Its v nice, soft n delicious. V liked v much. Tks fr sharing amazing recipe.",5 months ago,Mamta Hinduja,UC2baJaHD1bVKrGW0AFlWiJA,0,https://yt3.ggpht.com/ytc/AKedOLS7yxFuvFIvd3HA-qfnSUFn33gPD8OFFXFU=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzEf4qQsZQYjIA5i14AaABAg,Mam suran ki sabji bhi banana bataye,5 months ago,ANAMIKA SHARMA,UC7xKoYrofT5cKUTKDz0OnXw,0,https://yt3.ggpht.com/ytc/AKedOLTZSg-rNwGsEspJ4fP7r5Hwkh8U3HLK-l5Rzg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxp2ENwdO5mQk6tNiN4AaABAg,Yummy recipe thank you mam,5 months ago,ANAMIKA SHARMA,UC7xKoYrofT5cKUTKDz0OnXw,0,https://yt3.ggpht.com/ytc/AKedOLTZSg-rNwGsEspJ4fP7r5Hwkh8U3HLK-l5Rzg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzgHUzSntb_iuio_-p4AaABAg,Nice,5 months ago,Neha Trehan,UCWTL0oIbKAA0VdhjEf1pj-Q,0,https://yt3.ggpht.com/ytc/AKedOLQqdiNeR4pSCk0e7xSPgdtYUrEB6L5SZCJg2eZVjsy82u37QIk_wtxnUmLu0aRu=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwr9gVGz39s2HFHvmV4AaABAg,Your recipe is very simple and tasty👌😋🤗🥰,5 months ago,Sangita Singh Rajput,UCpd9XN7DhA-0P_QpyXo0pLA,0,https://yt3.ggpht.com/ytc/AKedOLQZv6Y6wVIYtyJuf7KM7dnHWJgJNFPwI3o0oPMNgQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFD8Y_Y658eqLZH_14AaABAg,Nice 👌recipe yummy 😋,5 months ago,Rita Thakar,UCj3kl_11IH7qYYHHJYGZOKA,0,https://yt3.ggpht.com/ytc/AKedOLRhcHCY9ZiNnkBAca0SasJ3Vmokwz0kq5ZD2w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPK4aZc532gY_1_wV4AaABAg,"Guys show some love...she is the only youtuber who never promotes any product, she is never sponsored.  However, all other youtubers promote some or other product or gets paid off for that  Hates off to her....",5 months ago,bhoomija n,UCFQVajbF9k1cPBPmKztt2uw,1,https://yt3.ggpht.com/ytc/AKedOLSHdT1r29xcQtsiG36nLHHN5lKwnp9Ry4kXtA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5elzzhu5oBKGfERl4AaABAg,Yummy,5 months ago,Mirza Asad,UCB-zbp28vt69FNTYxI5plPw,0,https://yt3.ggpht.com/ytc/AKedOLQ_rvrnLu5BO5JbvUUZWzUcaDGV09Bij-0vcyLoXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwckuGhmNGWXlySMiZ4AaABAg,Excellent,5 months ago,Debasish De,UClDT-Ocpz9oJIYBShEz8QoQ,0,https://yt3.ggpht.com/ytc/AKedOLQLXXxD-FBq2gQnGCU5scvYTi-V3TEWMWSljlIHPA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwndJXCZ_OTxc-11wV4AaABAg,Congratulations Guru maa ji. Aapke 12 million complete ho gye.,5 months ago,Mohit Jatt,UCCAOGM9hLt8r35ao2YoqcYw,0,https://yt3.ggpht.com/ytc/AKedOLQILBIAaeJ6iF8jD8Rv5fP5KEZVl78-i0NU-ySX=s176-c-k-c0x00ffffff-no-rj,0.0
UgxG4Ljpu17JI11ojnV4AaABAg,Bhut khub,5 months ago,Aqsa Saleh,UC7lmCPts03d8mGaSr0PbCQw,0,https://yt3.ggpht.com/ytc/AKedOLTNGB1Iw1L7qU8_mEbwDA3t1zPyw9FesT6uBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgybfvO5UhQAwzx_uCN4AaABAg,चाट मसाला डाल सकते हैं 🤔,5 months ago,RK. BORICHA,UC_Ii0ovfoYMIvmX2y1Gs-Cg,0,https://yt3.ggpht.com/nGTEyUZ_-UB2PhYIlcgNcfuYOIKBodWqYnNbjtXC6qISR7mPHqFVXDd4SsvQgE3i-nyRmtLzOg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5QC7bhGYQGOp8rPJ4AaABAg.9Yk19ztGdGV9Yk3g62U5Sy,"Suggestion ke liye thanks Merna Sharma , main ise upload karne ki koshish karungi.",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpFmKmvcaC_Ap_9694AaABAg.9WtTxW3TWQ79WtcIlH7QaM,"Thank you so much, Chitra Vlog",3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfDPf2zm4O_L77zcZ4AaABAg.9VeAQ3XDBtX9VfuiSs8UBR,Ap dahi ko skip kr skte hai  Lakshmi Shukla,4 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7jkBIvKhi3k5Q6594AaABAg.9UUCh0nTKXU9UUG3oTiqaG,"Tanay Soni , ye recipe mere youtube channel par pahle se hi available hai.  Is link ko dekhiye.
https://www.youtube.com/watch?v=cs1z31m-0-U
https://www.youtube.com/watch?v=uPwmMVY4PG0&t=189s",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
