cid,text,time,author,channel,votes,photo,heart
Ugx5Jizw1-oc9XqTwEp4AaABAg,"Hello ma'am 
Try Kia but layers ni aae jara bhi
Kya karu??",4 weeks ago,Kalyani Pandey,UCwYaEsmUq6EmBohTeXKae8A,0,https://yt3.ggpht.com/ytc/AKedOLQEaXTzNUMGKu-mJI04AxImb-v5svMKvg6qGjD0BDM=s176-c-k-c0x00ffffff-no-rj,0.0
UgzF-POGWdY0sr9LKRN4AaABAg,😊 thank you mam for this recipe,1 month ago,Love Kumar,UCAPyiv3kuJ1kNvyIzl1v9BQ,0,https://yt3.ggpht.com/ytc/AKedOLR4beoCDfe7EPMwO10u7J1VlKUGCuoY7PlRqjB8ch08j2fuRPF1xQFwNCkEitBa=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0xOaZSKUp0aU__QB4AaABAg,Corn flour ki jgh ararot le skte h plz reply,1 month ago,GUNJA KUMARI,UCYdHTWp8xK5EOrFpjQkwY9w,0,https://yt3.ggpht.com/ytc/AKedOLQaGVOpUdsCq_qr3wFnmIhV3Q3fDM9SdfgTS95c=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNRsWer5VSbPaPnvl4AaABAg,Nice recipe. Can we skip adding sooji in the filling ?,1 month ago,Prabha Ki Rasoi,UCtCdsD2xFJ7_GhOV1i1fRKg,0,https://yt3.ggpht.com/ytc/AKedOLRPTonc3MaO9u7WCGvvqWB2DQ3hHXDcS7kGvhEdWw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcGMgy0PDorEFLIPV4AaABAg,"Agar aap mawa m bhuni hui suji ki jagah per roasted ya bina ghee , tel ke  bhuna hua besan daalenge toh taste bahut achha  aayega",1 month ago,Vijaylaxmi Singh,UCMXlpzSwYxdFSmtEsg8hKgg,0,https://yt3.ggpht.com/ytc/AKedOLQmgUn_rP4TY0JEeJGLZsB8GO1lJhOi9R7_rw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOy-2KtYqthoe-U5J4AaABAg,Amala ka vineger kaise banta h plz jaldi batai ga,3 months ago,R.y,UCa3jG_jZtm1G2DqOef85O1w,0,https://yt3.ggpht.com/ytc/AKedOLTUACQ2Yq30UAfk69KX6nb7uGMmNBYsGxvGET0Gkxa_3vekLwF3J1S_3qstGi4G=s176-c-k-c0x00ffffff-no-rj,0.0
UgwypORltZgVoazU7jV4AaABAg,Khut tamtig,5 months ago,medha deshpande,UCTmHZfS3Av-E4q2nxVEV-6w,0,https://yt3.ggpht.com/ytc/AKedOLSNXK4s91A5JEfxIyIrtIWVLecyx7DLKczEfQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwq7H354SyUaP4zSLt4AaABAg,आप बहुत ही लाजवाब तरीके से गुजिया बनाना सिखाती है। मैंने सारा आपकी तरीकेसे किया और मेरे सारे घरवालों को बहुत पसंद आए। धन्यवाद। भगवान आपका भला करे। आपको लंबी उमर दे।,5 months ago,Meenal Sawant,UCEEFQeUTpsaD9vMSeQrjP7g,0,https://yt3.ggpht.com/ytc/AKedOLT0Hu2OdCsIFcWkyxCxcsUjV0rrAJMwBxb10MSFDQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy-0xalDkYKn-U5d-h4AaABAg,Superb recipe,5 months ago,Sushma Solanki,UCPpsc3HHgCbIFGGjOikRpyA,0,https://yt3.ggpht.com/ytc/AKedOLTJ6H1bcMrhbjfHjjDOw22rvW_oz-KCi6PO6ALBXg=s176-c-k-c0x00ffffff-no-rj,0.0
UgydKENeddle0OzQTTZ4AaABAg,👌👌🌹,5 months ago,Madhuri Sawant,UCHPQ0DNuTvNsFrgIgYolVUQ,0,https://yt3.ggpht.com/ytc/AKedOLQSinIyUeYISuc-6PF0RPvQ6PwUiJK3IpAnfQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJVCDpMqHFHHi_yOh4AaABAg,Great,5 months ago,Kaku Patel,UCfiiLi_WXWHJcAhx7qVW99w,0,https://yt3.ggpht.com/ytc/AKedOLRdKFq7w8zYE50R4AmGG3RsekoN84CDRf8gGw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyvBwHuGfsG_arjlf14AaABAg,"Love you  Anty, also ur recipe  .
I am south Indian.",6 months ago,Luye Luye,UCeSRefXeEzUErOI-D1x4JwQ,0,https://yt3.ggpht.com/ytc/AKedOLRMc5zzxhYx6ntCcqZqZ_cfsx4xGnCSpJI_AQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwjwklKAu_Vc7CnsFB4AaABAg,My favourite gujiya 😘😘😋😋👌👌🤙,6 months ago,Basant Kumar Sharma,UCrDQoNO57hllEaQre-1ixVQ,1,https://yt3.ggpht.com/ytc/AKedOLSCdHaS2M_DkECKcZxStpoIIQUCM_dhXAx4PUu7=s176-c-k-c0x00ffffff-no-rj,0.0
