cid,text,time,author,channel,votes,photo,heart
Ugzsep7W0zzYO2gErit4AaABAg,Thank you madam !! Learnt so many things from your channel,21 hours ago,91rossie,UCFELBLwkGzY4VVsZNsfCD1w,0,https://yt3.ggpht.com/ytc/AKedOLQAGrNsL45wigUPp_3Gl9KuCmF64JeJ-ZOj=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjjJm46UELYIbgdCN4AaABAg,Eska Test Kaisa h,2 days ago,Vinay kumar,UC-pjLRcWqr-06vRRSxcCKCg,0,https://yt3.ggpht.com/237zYn4uzEPavbRbAngja7-LWdwP3jcWKSiJ_jZRIfF72bXhv3SZwzTJzgfL-TcrbBwiS694mfA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHLrPXrPxk_YxChQt4AaABAg,Very delicious and simple process. Thank you for sharing,1 month ago,Mukkavilli dharma prakasa rao,UCTvbWgGFqJVGglrjK0yuZJA,1,https://yt3.ggpht.com/ytc/AKedOLTwV8bSN2OR70oTk7LBZRFqpVP5sqPK1lKAG4ziIA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx026VU7ZyCAJUYTBF4AaABAg,Must aahe,2 months ago,Sushma Jawale,UCDdsHTXb78edeYlTuPp7u2w,0,https://yt3.ggpht.com/ytc/AKedOLSmPGFj5wAkQbIVVLhuwRhdBBAWWoOZvZ5iPg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2K9AtGAMrdc7kiCt4AaABAg,Thanks new recipe,3 months ago,Shakuntla Behl,UC0o9zWKyzesM8GCFZobwdHA,0,https://yt3.ggpht.com/ytc/AKedOLSevZNPSH7QELfOs5Zyh8DDyFQw_nW5NMKrPgxM-iEq4wU0axjsgZRhf36Wj-ml=s176-c-k-c0x00ffffff-no-rj,0.0
UgyefM2GETB0pXmbSgF4AaABAg,Nic,4 months ago,Poonam Arun,UCMHm4EUdxjiSCCPzE5hotzg,0,https://yt3.ggpht.com/ytc/AKedOLTAEkwfAdaHueNfy6YgoPMk5MuGa8hBmkVxexOU=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0gb0hGQ9gGd0qyyF4AaABAg,Very simple explanation I will try today madam dse evening I have it,4 months ago,Vineet Mahtre,UCFpu6baw4ENwjcINI7yJdTA,0,https://yt3.ggpht.com/ytc/AKedOLSjzAqf9gT5n_Sa6oxmuU4ms5kx4q_JyZhcHA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwpcyb7rJYKof-9sf94AaABAg,Nice recipe,5 months ago,puspalata behera,UCVdtTQ9awyTl2dnzCcml57g,0,https://yt3.ggpht.com/ytc/AKedOLR5cHyYaErQLCfRii3kpxNonOdPZ5XKP8CxVBtx=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUsJq7yYom0vj0sDd4AaABAg,Can i use corn flour instead of rice flour,6 months ago,Sonu Singh,UC7LeWhtQc_4FnpFCuSSPlrg,0,https://yt3.ggpht.com/ytc/AKedOLQuq88XdSpGBiSJPq42M-SKAxC9T2Rru4yxoQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyusooRLRPpgM5QfEd4AaABAg,Simple nd tasty recipe 💕💕💕,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjChHcLNMihVnw0Vp4AaABAg,Absolutely simple and tasty recipe 💕💕💕,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpzNIo6hf2kaLUx_t4AaABAg,Chawla ke aate ka koi aur substitute nahi hai???,7 months ago,Natzz,UCLW3CiIE8WbVaamreqWBdsQ,0,https://yt3.ggpht.com/ytc/AKedOLT7nnFwucCDzveLxI3EKArpjdwwfznpD8WS5_TolA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8osRecsjyGw1CYAh4AaABAg,I have tried your recipe mam it's really delicious 👌🥰,7 months ago,Naro's kitchen,UC88b1oks089FVwIs4ZVYQtg,0,https://yt3.ggpht.com/kIRwvkhaN5mSGawvcYD8d-FZQtaoffbAujzheIKfid58X0loeqkIBiDrdHfRnBV76r8DEXSlCYg=s176-c-k-c0x00ffffff-no-rj,0.0
