cid,text,time,author,channel,votes,photo,heart
Ugx9X7TXKFZT4FILnCx4AaABAg,Mem mene iftari m dhi papdi bnayi... Mere ghr walo ko bhut hi psnd aayi... Thnxxx mem aap aesi hi easy recipe dala kre 😊😊😊😊,5 days ago,Aamir Arab,UCEnzdCsjFy6KpsbhWlKyvog,0,https://yt3.ggpht.com/ytc/AKedOLRvlvZKIkRXFbUzy8eM-SJjJ97gl2bUoYCgUhNIOOukc02hYoVfQh8WiQO5Rsu9=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzk9GDs4p3yZZTwrnB4AaABAg,Bahut bahut achcha 👌🙏,8 days ago,Akhtar Sheikh,UCIFDoZCShiGfBqfyrrzA37A,0,https://yt3.ggpht.com/ytc/AKedOLRB1JiCPhHoi13IyNqzk1Gk59jBgMeEKPE_Gw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7cfIsar1AIVYnAw94AaABAg,"Bht hi anokhi recipe h ,thanks mam",10 days ago,ayesha Hassan,UCJJyiVpJR7I47QPO1SiGbUg,0,https://yt3.ggpht.com/ytc/AKedOLSH_hUY211plxt5sMkRo-qwlft_TpaMg5UrQA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWy7vdw9HZdm7YvlZ4AaABAg,Bht khoob madam,12 days ago,sheema nazeer,UCNbr5qKnLm7nUtaP0PQzv9g,0,https://yt3.ggpht.com/ytc/AKedOLRGarxxMxubUOMEHy499jDOxXFAvRYqzX8YhHoqIaw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzU_eDf9MpWj0PWOIh4AaABAg,Wow bohot hi tasty bana tha .Maine aaj hi try kiya,2 weeks ago,Almas Bijapur,UC5vEWSw-diwozGzGZmFqF5w,0,https://yt3.ggpht.com/ytc/AKedOLRfy7LeBwx77TGqAZ2agyE0BlpKJs6ja26cw8gwl3VVnjw6LNSuOXRnrkLipg0u=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxq3RzFmfZdqSeJ28N4AaABAg,Wow delicious,2 weeks ago,Divya Sagar Stories,UCRORbHp0T_991KiRJajjKXA,0,https://yt3.ggpht.com/ytc/AKedOLS6Y1olwOnX1tG2FZdRlZgyptGvKQx9U789AmPjSA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxJ28U8zjgekj8JLOd4AaABAg,👌👌👌,3 weeks ago,Asha Majagaonkar,UCGOJvU-FZ4dwlrXE1x9RYBA,1,https://yt3.ggpht.com/ytc/AKedOLQSo_ZQNlvz-9AlernB2hbzFSRQF_CyGvb3Ug=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4ajmXmuDdCBpVpQV4AaABAg,Thanqu 🙏mam,3 weeks ago,Surabhi Rai,UCtkG2X4gCvHhjTv5nnS9KIA,0,https://yt3.ggpht.com/ytc/AKedOLRfsHJ5I_tq6L24Tef62mo86vMN266E5Nfkvw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzR0h-ZzzGuTUzizlJ4AaABAg,So yammi,3 weeks ago,Anamika dixit,UC46x6-SArRf50FoJcfUDtDQ,0,https://yt3.ggpht.com/ytc/AKedOLS7kgkT_AeOz13o-L82QBe3FTh2Tuu6lWjNrg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1yqhgSzlpSfwTqVV4AaABAg,Bahut badhiya mam,3 weeks ago,Luxmi Devi,UCh31kMlJ-dVCq3Icx9h7ZHw,0,https://yt3.ggpht.com/ytc/AKedOLTU47OBlRK3E2YIHA6lsdjF499hnTZC7w6-iA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaguTybkV7mTx4IhV4AaABAg,Wow so yummy chat mam,3 weeks ago,Keshav FF,UClel6MAzf9_dTpWpxRklOrw,0,https://yt3.ggpht.com/ytc/AKedOLRWlXKuGysLl2r8YRvKPO-CEM5XZoogLxmVa2pVzfw0nkNK7C-JFyQW5GcEfKta=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwz-Kkg4hFAcs98h4F4AaABAg,wow,3 weeks ago,Anchal srivastava.,UCF2ZjgEcoG4P6WsUfGglbUA,0,https://yt3.ggpht.com/ytc/AKedOLRL02U5w9ZFjBYzqvPQg8IYaGidlxhRbME6HQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9-g3zIVHOLcoaYwR4AaABAg,I am from Agra thank u for information ma'am,3 weeks ago,shubham kumar,UCbc1hu17m13SO9C1zGRaGtw,0,https://yt3.ggpht.com/ytc/AKedOLSntgWF3ZGzUllhk_fF6vTaTebQ9vSPqbwBJWty=s176-c-k-c0x00ffffff-no-rj,0.0
UgylEOk2bQvpXy3KEqJ4AaABAg,Shree Ram Ram ji 🙏 🙏 🙏 😀 👌,4 weeks ago,sony yadav,UCEoeLDMv6m9UfJKNu7UBRnw,1,https://yt3.ggpht.com/ytc/AKedOLQd8RGEf6nfim_upHyrJdz-95R-Cple4c2oBA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-AsRIBrqJZ9tGv3x4AaABAg,Papdi chat banane ke liye meethi aur teekhi chatni kaise banaen,4 weeks ago,Sushma Upadhyay,UCCiaEZE59njxKr0K0xn8HYA,0,https://yt3.ggpht.com/ytc/AKedOLS0g4NJbSsKJ3n4lcF732J0w6bsSvcXDclkvw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3sqVOSS6yR_sEHfx4AaABAg,Very nice and mouth watering,4 weeks ago,Madhu Sharma,UCTds33zOqTI7ruzxqnMnJiQ,0,https://yt3.ggpht.com/ytc/AKedOLS0vR63cuTsvtKl1IwsWokuyU-w5kOpuH0SloOhWsL9DEVhcO66Qb9KOLk9P35F=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW0RX07dj83Cdqzoh4AaABAg,Ye agra me to kahin nhi milti aaj tk nhi dikhi,4 weeks ago,Deepu Kumari,UCj6TCMPnzRuvt8jOYJ42ggg,0,https://yt3.ggpht.com/ytc/AKedOLS4WP5k6AwLM9bE3dZUVHYcY6I-oCk0-bA54g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZF3sUJWFHfFeUnu94AaABAg,Wow looks yammy .aunty,4 weeks ago,minal bora,UCaOr14y7K5yDRJqeEvsEZvA,0,https://yt3.ggpht.com/ytc/AKedOLRYXD95lwAr4xOB4X5ybEE_fH6PPCCGTlSnNRW7_g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7kAJuTr-g4UdNhCN4AaABAg,Bahut hi chatpata papri chat banaya hai aapane,4 weeks ago (edited),Namita Pandey,UCvfsRoDgNDLikTtXSNPfXgA,0,https://yt3.ggpht.com/ytc/AKedOLRNCDbkGS760FchNNBmJJqUskgNFCtCVd0J8f3s=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMuvs3rU82Ll5K1ct4AaABAg,Happy Holi ❤️❤️🙏🙏🤗,4 weeks ago,Kalpana Solanki,UCJjvQc-8NkqAY_WNW5SGvkA,0,https://yt3.ggpht.com/ytc/AKedOLSRlzgYs11oe8TCTtaYWhe0p8N6IGZVVTnAvQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9X7TXKFZT4FILnCx4AaABAg.9_gCI0uEZrH9_hx_kmiIYJ,Thanks a lot Aamir Arab ,4 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzk9GDs4p3yZZTwrnB4AaABAg.9_ZiUrCqtYb9_a2EoSUA7-,Bahut bahut dhanyawad Akhtar Sheikh,8 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7cfIsar1AIVYnAw94AaABAg.9_TPW4UvWhJ9_TWmVMMZDw,Thanks n welcome  ayesha Hassan,10 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWy7vdw9HZdm7YvlZ4AaABAg.9_Os5nP6LVp9_OyyW12a5G,"Thank you very much,  sheema nazeer ",12 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzU_eDf9MpWj0PWOIh4AaABAg.9_9Lmo0qQXu9_9Tk6fRwCt,Bahut bahut dhanyawad Almas Bijapur,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxq3RzFmfZdqSeJ28N4AaABAg.9_70qCpYiYH9_8iqiTZYGG,"Thank you very much,  Kanha g ",2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxJ28U8zjgekj8JLOd4AaABAg.9_1WAp1-qzw9_1W_NmV5zN,"Thank you so much, Asha Majagaonkar",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4ajmXmuDdCBpVpQV4AaABAg.9_-1232iA4h9_-3Z4QebJz,Thanks n welcome  Surabhi Rai,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzR0h-ZzzGuTUzizlJ4AaABAg.9ZzfZXK-0zL9ZziClNeaJk,"Thank you very much,  Anamika dixit ",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
