cid,text,time,author,channel,votes,photo,heart
UgxZqAzInxgAaul9gHF4AaABAg,Mouth watering 😋😋😋,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgzA3ywV1psXTqCFs1h4AaABAg,Nice Recepie 😍😍😍,7 months ago,La-Dish-La,UCOMzNsIHZ4QJg9awmGnHx_A,0,https://yt3.ggpht.com/6E9H72ECWmv2MxT1NsnxIfmF9a-vk3A9sbTu0aGIJcaV0Kt16Fw50QgGMTVScNWcAcVP6I-kpA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4uZS4MqjXpWqVqAl4AaABAg,"Thanks! 
कल ही बनाएंगे",8 months ago,Dinesh Vaidya,UC8Rb_GEQVi19tlyJ5hnzYtA,0,https://yt3.ggpht.com/ytc/AKedOLT7x_AlPIGCep3PBBKWkwqRAGKYngxgIGAy0A=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhRe0Ub3Uljn4iYUt4AaABAg,Love your videos,8 months ago,Nitu Jha,UCvtnUCynihyR4M92gO2816w,0,https://yt3.ggpht.com/ytc/AKedOLRp1adWpi49jYzS2Y5pTa74IeW35Wo_uecji07uMg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNhWsYiSy_fDSv2z14AaABAg,मैम मसाले में प्याज नहीं डालनी है,8 months ago,Bam Bam,UCF8n1Zf0JcfLYjPb1MUZQXA,0,https://yt3.ggpht.com/ytc/AKedOLS0jcJt9N_-zSB-5KnudTPjPsicgRA2ZFsCeQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEan50ACgI3fzyy2p4AaABAg,Nice 👍👌😋,9 months ago,Memuna Pathan,UCj9CG9KOpMNWZxuYIk00Ikw,0,https://yt3.ggpht.com/ytc/AKedOLSx5HRRvBLxOvbxovK4lW8n0ne47Gmtl0dpGA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqJdq7bkF9cTrP22h4AaABAg,"very nice...hum banayenge...
mam sezwansause ke link dijiye plz...mujhe apke link mile nahi.",9 months ago,Susmita Pandit,UCreM7t1OH2cwRDWwv2Y_ztQ,0,https://yt3.ggpht.com/ytc/AKedOLQ1nozUrye9jWrquuqL83CLUyYnNrSmdqnGnOy8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdIS-RAjj5FZkAnk94AaABAg,Yesterday i tried this recipe my mother love it so much thanks for sharing this 😊,9 months ago (edited),Jiya Chandel,UC1ULTjWdoyFvV-q7Q5R1qYQ,0,https://yt3.ggpht.com/ytc/AKedOLTrvpvrf1eOGsnocAbE1FWYmyzmbSVwnDXDLlJh=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZv40FcbIMAV890b94AaABAg,maine ye sabji banaya....etna lajwab bna ki sub tarifo ke pull bandh diye ...thnku so much,9 months ago,cook with hub,UC1lCgt2KXvxsml993778Dqw,0,https://yt3.ggpht.com/t0p9B5IGp9OGc1nizPFdMOoSEg0SHrUAm6SkeR922moPjA7wT6VRQ1tS52oajIFmVWcJD41l=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwj5BLuCz8MfubJkWt4AaABAg,Looks so yummy 😋 drumsticks curry share kijiye please,9 months ago,Waheed Ali,UCMI--YTkiZzzphjjHnP66VA,0,https://yt3.ggpht.com/ytc/AKedOLQZz5U_vhoqUhIR0SVI4c9eObEjYPb44CuTRsvDvA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzETkeityD7uOM9YRN4AaABAg,Thank you for sharing this 💞.  Dekhte hi iski craving hone lgi.,9 months ago,Niharika Kashyap,UCSoKzMQidd3T1WDGu2YqWUQ,0,https://yt3.ggpht.com/ytc/AKedOLQ3vI1369PNU1hc8ia6eLC_I0VKL3wj0cpvikMhYw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxJ2C6mcNbmbzGY7N4AaABAg,❤️❤️❤️😋😋😋😋,9 months ago,All Types Recipe vlogs,UCphPUHAcaWLYodqCpX_JZOg,0,https://yt3.ggpht.com/ouapw1tnzko3CTx6hkT3mSK1Geo3tSlUBWnfwze8cOl1-5aRgeoajK-5TIwDiqLICL1H-sr4MQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsM_0m9O-EGrse3xd4AaABAg,"नमस्ते मैम, मैं ने आज बैंगन का रायता बनाया। बहुत स्वादिष्ट बना। thank you mam",9 months ago,Monika Bansal,UCfp4TFAoaOq1gDpadHWDNEg,0,https://yt3.ggpht.com/ytc/AKedOLQrxmPhyBqyyALyngKEv-kgXeVB_1-DqoKkIQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxz9whvgo1_EyM1YHh4AaABAg,I will send try as I love brinjal,9 months ago,Arni Canteenwalla,UCyCsFIkdhZGNhADODzOMSxg,0,https://yt3.ggpht.com/ytc/AKedOLShDCocr90b_5x0sllRGfVyl99M3hLNsaeipA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQtEIlT4XArWPokCV4AaABAg,Lajawab recipe mam mai zaroor try karongi inshaAllah,9 months ago,Rubina Mahin,UC9eECD2gLRQJ7-N3VaaSX7A,0,https://yt3.ggpht.com/Hw7rrHAS_VJleZ__3so7rIbO7a1r4XqbhLlIV-UA1wU-EO3k2en15FpcierYEJIZK9JXhiz0qA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLkEYWyNULOcwljvh4AaABAg,Tasty.      Tasty 💖,9 months ago,Sameer Bhardwaj,UC_6zUG3zPxAq4R0BEMah-fQ,0,https://yt3.ggpht.com/ytc/AKedOLRScJXPBSIV4n-WSiFK4-QZl9M1MVpBzPTiDQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvydxsRVWP-bWc-ih4AaABAg,Nice Recipe,9 months ago,Devi Gheewala,UC0oQtCq-UIGLJZz2M4VgR_w,0,https://yt3.ggpht.com/ytc/AKedOLQ8YO2lS7zdil4W9F1AOQMlUCrYhf7rZyZ6Cw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxplnq-BmTmkq-42Ed4AaABAg,Mam aap kaunsa oil use karte ho,9 months ago,K,UCLz41KPeBLFz7Qfip3PBrmA,0,https://yt3.ggpht.com/ytc/AKedOLSIJ9d1EGogdp-4Ujjqu1_Bc6pcexXqahElKaxNqQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxhhgrGdyvkmbXYCth4AaABAg,Mem tme bdhano jvab apo cho thank you mem tme time Aapi bdhane jvab apo cho,9 months ago,Vadhiya harshaban Harshaban,UCagehvCjh4tbSUx7ozAUAhQ,0,https://yt3.ggpht.com/ytc/AKedOLSpmWIozJNWbcGPEORLOfCqg5lw3XOqASuT7g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuzlrmTiS6-Rw1Snp4AaABAg,Mam ap bahut he acche se smajha ker batate h.....thxx Mama,9 months ago,Neeraj Kushwaha,UC1bDBKff_Va27jXxkie8QYA,0,https://yt3.ggpht.com/ytc/AKedOLSHZ6ha343iPXYQDOIZqBx1C_JiUHpNzZkKOQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzA3ywV1psXTqCFs1h4AaABAg.9R9naNK9QP-9RA_Ot0Mj8z,"Thank you very much,  La - Dish - La ",7 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4uZS4MqjXpWqVqAl4AaABAg.9QdGVOngUXw9QdzRtuD6_J,"Thanks  Dinesh Vaidya , aapki dish kaisi bani, hume jarur bataiyega.",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhRe0Ub3Uljn4iYUt4AaABAg.9Pzb04NlUwb9Q-nIyLgeSy,"Thank you very much,  Nitu Jha ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNhWsYiSy_fDSv2z14AaABAg.9PvkU05f6I29Py7v2JTFeN,"Bam Bam , mere anusar onion and garlic mein tej mehak hoti hai joki baki ingredients ke flavor ko achche se ubharne nahi deti. Mai isliye inka use nahi karti lekin aap chahe to meri kisi bhi dish mein apne swad ke anusar inka upyog kar sakte hain. ",8 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzEan50ACgI3fzyy2p4AaABAg.9PmZhHzJui19PnuOGooZEv,"Thank you very much,  Memuna Pathan ",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqJdq7bkF9cTrP22h4AaABAg.9PK0Z32USWU9PK71WdJf4J,"Thanks Susmita Pandit , ye recipe mere youtube channel par pahle se hi available hai.  Is link ko dekhiye..
https://www.youtube.com/watch?v=Fn-lrWBx8Fo",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxdIS-RAjj5FZkAnk94AaABAg.9PEaNrHIEHc9PEt-jwvqxt,Thanks n welcome  Jiya Chandel,9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwZv40FcbIMAV890b94AaABAg.9P8SPohRk559P9hByPByZ4,Thanks n welcome  Kalyani Patel,9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwj5BLuCz8MfubJkWt4AaABAg.9P7Oh0ZifCT9P7UOEhXUm7,"Thanks  Waheed Ali , for your suggestion. ",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzETkeityD7uOM9YRN4AaABAg.9P5cHVxwBAW9P7CtXMq3rw,Thanks n welcome  Niharika Kashyap,9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxJ2C6mcNbmbzGY7N4AaABAg.9P4oer6Zwow9P7MoEw7iEN,"Thank you very much,  All types recipe vlogs ",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsM_0m9O-EGrse3xd4AaABAg.9P-m_DjPbAj9P-oznc-3iO,बहुत बहुत धन्यवाद Monika Bansal,9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxz9whvgo1_EyM1YHh4AaABAg.9Oyn6wRfVET9P-eUvOE3BG,"Thank you very much,  Arni Canteenwalla ",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQtEIlT4XArWPokCV4AaABAg.9OyJYE7MpkS9OyO4K7m8ut,"Thank you so much, Rubina Mahin",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLkEYWyNULOcwljvh4AaABAg.9OvVUd7JsWr9OvYSSFN7BI,"Thank you so much, Sameer Bhardwaj",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvydxsRVWP-bWc-ih4AaABAg.9OvBSTKN0sf9OvKifEBNnL,"Thank you very much,  Devi Gheewala ",9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxplnq-BmTmkq-42Ed4AaABAg.9Otlcl37-EP9OvIgDlH2uv,Mai peanut oil use krti hu  K ,9 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
