cid,text,time,author,channel,votes,photo,heart
UgzBsUhaICI6QJvQNqZ4AaABAg,"Mere chips red aur hard ho rhe h, after frying, pls tell me what is the reason??",1 day ago,Sunita Agarwal,UC1zc64dzPwI4u68addSe2Rg,0,https://yt3.ggpht.com/ytc/AKedOLSxAT1F_O53pYNTFsbUcN1bFWttfZiSWhcO_w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHc7QDP5NQ3yK5bTR4AaABAg,Simple and Tasty Wow wonderful 😋 👌👌👌🙏🙏🙏🙏🌷🌷🌷🌸🌸🌸🌸,2 days ago,Parkash Saroy,UCSRaxR4HIX5pYxXvIp5E5iA,1,https://yt3.ggpht.com/ytc/AKedOLQPe6ZxCouPeQNngDk1JK5bnPAk4dhWW-LS8Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgzT66jeyganTp8FxuB4AaABAg,Mam Maine aao ki recipie try ki it's awesome mam I'm biggest fan of you mai aap ki saari recipie try karti hu mam I want to meet you plss mam bataiye na kaha mil sakte hai aap se plss mam,5 days ago,Rubi Singh,UCrF0WJ0XSD0i6TO4zuZgJ2g,0,https://yt3.ggpht.com/RY3D9MlXqp4vpDDvpPXgvL02DBzDrMprfoFIrZPZ8nhtNzGotga8gOawRWvor_Y1EFOXT7Es=s176-c-k-c0x00ffffff-no-rj,0.0
UgztCB6LfYFiI9ZJsLN4AaABAg,Nice,11 days ago,Nancy,UCyl3rdNMNYYRbtswPkrbxgQ,0,https://yt3.ggpht.com/lOXqNHbtjG53_L0q-S7IhPz9CRcZzAj0ohVpUGl6e31ws4seUKhDYv9t66PVqgpzB_9cuIc1Cgs=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNb8o56Phj8bOERfN4AaABAg,Waw very nice recipe Nisha ji 😍 thank you so much,13 days ago,Shakshi Patidar,UCieb2PaaU4kD11adyVV8ibw,0,https://yt3.ggpht.com/ytc/AKedOLQHAQXxLrnPIuSgl_Y6x_e7O-M2Mh4W8gipFg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6K3s8gJiYczMATOR4AaABAg,Mam jitni bar chips boil karna h utni bar paani change krna pdega kya or everytime fir se salt add krna hoga ya fir same panni me bar bar boil krna h,2 weeks ago,Prerna Yadav,UCDOGujpHrPxIw_qTsbjdfDA,0,https://yt3.ggpht.com/ytc/AKedOLQFdCZCXwtSUOa-qXFR61GhAThGU3cJooyg0rs2d1_hCB55hz5kuRDrzWMGVZmU=s176-c-k-c0x00ffffff-no-rj,0.0
UgyO23Vi8ClC2LGhBDx4AaABAg,Need easy potato papad recipe if possible do show that..,2 weeks ago,Hari Haran,UC6-18A3AEW0P6IC0K6pWmFg,0,https://yt3.ggpht.com/ytc/AKedOLSAbp7F6C1X3b_fF4lB4O1KCp8g-LvOKjJLjg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNqYMdsfvObyclCQ14AaABAg,Thank you mam,2 weeks ago,Sachin editing video,UCBcU3KdMZcd5GAVXnSZZaWA,0,https://yt3.ggpht.com/DS2CwQh6JVNoVz31NA161rceN79wD-ISqdkDbcmrHlNKgmMdHgI1vhfXhcXtgFQoAbFQPmGr6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcvrPd-jUNIpzqi0p4AaABAg,"Thank you Nisha ji, I will definitely make these chips . So beautifully explained.👌👌",2 weeks ago,RADHA LANKA,UCy89NEk13BWyd_LxYmERC2A,0,https://yt3.ggpht.com/ytc/AKedOLSEJikoRlH1IBUWXuGyurAnJ0OqJ3trGGX1wQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgynIpQC9CWTz4fxAaR4AaABAg,Nice mem,2 weeks ago,Geetika Bhadhoriya,UCR1YouD9br3Q37vz3pcd29A,0,https://yt3.ggpht.com/ytc/AKedOLR9APJFOCOP0ZCdjS8OtORYhG85B0lzztAkt2eXET14nyJjunMoauAo683DXmj3=s176-c-k-c0x00ffffff-no-rj,0.0
UgysZllRHLW4smP0FFR4AaABAg,Great 👍,2 weeks ago,Chiku Behuria,UCSlai8A2hA7UUbGuwLiu32Q,0,https://yt3.ggpht.com/ytc/AKedOLRb9vwSSNisdkBuqmYavLCtUym1rP-bzgkR=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLB_ITiQy1CoJ4Te14AaABAg,Very nice,2 weeks ago (edited),Mom's Kitchen,UCBNbkh_XiC9stE85akKIhyQ,0,https://yt3.ggpht.com/ytc/AKedOLSfw5qMEfsBW8LIGS-NFzbaiHzoIRCuhj15EqiV=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5xc4a3Hd3osCNwjl4AaABAg,"Nisha ji...i tried these chips,comes out very well bt ek problem ho gyi hai ki unme salt jayada ho gya hai...koi solution milega??thnku Nisha ji",2 weeks ago,achyut Sharma,UCEALwzTeHSzoO3A4JCUOlXA,0,https://yt3.ggpht.com/ytc/AKedOLT2L2xTKZ7kwLxR0bzcIHqBe1uLQB8nJufzBQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLIBvkiu8RH7DhOSZ4AaABAg,Love your recipes mam ager dhoop na ho tu pankhe I neeche  dulha skate hain hum flate mn rahte hain please batain hmn y chips buht pasand hai,2 weeks ago,Happy Home,UCBNzAdNYciT3thb9KCEdFGg,1,https://yt3.ggpht.com/ytc/AKedOLR3GLDUt5P0xrvAd8PLwMDutB1mCtyFU0uU1w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwpdu-ke4rTBOwtHv54AaABAg,Namaste Nisha ji. Agar fitkiri na ho to kya kare.,2 weeks ago,Ananya Sahoo,UCCG7KEuItZir6-YjOBtlk1w,0,https://yt3.ggpht.com/ytc/AKedOLRW5CTCo2gX4zmDRBeW4HYucnICKw-SefGjNVcOpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLOBdXjSI55A8cP_Z4AaABAg,Mein bhi ishe kal bnaunga 😀 thank you aunty,2 weeks ago (edited),Akshay kumar,UCL-eHmYB8N9HBRCuMWE0E6g,2,https://yt3.ggpht.com/ytc/AKedOLR6h219XSBoOXdeSUQZYwTaWu2D9A_9TVX64fX9YA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFa5QmWn52E6xk2CV4AaABAg,Mam ghar par besan banana seekha dijiye...,2 weeks ago,Mahnoor's W0rld,UCt5toUsF2e4Y5arMFrOBHEQ,1,https://yt3.ggpht.com/ytc/AKedOLRnfNaR66uXp-Ij3HuMdefZw5khG5VsLdqVEan0-Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKgnFdwG6KS6xjuhp4AaABAg,Mam mene chips bnai pr ye ptly bahut ho gyi aor ak din me hi Sukh gyi mene to jyada ptly bhi nhi Katy thi kya wjah h es ki,2 weeks ago,Faaz khan Faaz khan,UCbsbmRYB7wqKQcMNnxXjuBA,0,https://yt3.ggpht.com/ytc/AKedOLSI8Ii9JA-BtMAxcvolTd9Zl9MMsm4udnUtWY2Zl0YcqPqasusdF1y23IioICqI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy7bB9OGg9k-vTn3VN4AaABAg,Mam kuch navratri ke liye vrat vali recipe banaye pleas,2 weeks ago,Suaye Rajput,UCKZovQehhnVgR3Wt6OcysPg,1,https://yt3.ggpht.com/ytc/AKedOLSWyJpLLBLoZ-1nvwhPUVXMELgtDubcK0VK2btq_bzj4KpmpLIoFUWIkaU9eD0b=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcHPK4Ir1EAw83ocR4AaABAg,Punjabi Achar ki recipe please make video❤,3 weeks ago,Abdul Khalifa,UCZDg1-uxYHSaxWYlYLohQeg,0,https://yt3.ggpht.com/ytc/AKedOLQSY8D3sAEce9k_lIoLPqEy8quuRGXZyzGiihI1fVyKpTZO4rX1zxNupdqVdv2c=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHc7QDP5NQ3yK5bTR4AaABAg.9_nKg9hIOJx9_nSDmLJhhx,"Thank you so much, Parkash Saroy",2 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzT66jeyganTp8FxuB4AaABAg.9_hUieiw6Ah9_htF1FZ0wX,Thanks n welcome  Rubi Singh,4 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgztCB6LfYFiI9ZJsLN4AaABAg.9_R0F9cVkZi9_R3KTzCewL,Thank you Nancy ,11 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
