cid,text,time,author,channel,votes,photo,heart
UgzuVW1s8tbde0Inolh4AaABAg,Very tasty 😋,10 days ago,Jyoti Sinha,UCkFbdFU_HiGQZ71rgY5pG0g,0,https://yt3.ggpht.com/ytc/AKedOLQKiHH7_mhIBcz7BTS2eZCy1_9Voa3BnUbx1KtZrQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwsYtRtqk97XdXAFy54AaABAg,Your recipes are very helpful in navratra as you don't use Onion and garlic. 💝💝,2 weeks ago,suzena obama,UCZsisZLkOAJQOinO3q9GRjQ,0,https://yt3.ggpht.com/ytc/AKedOLTQwlqZQh_unAbnzNIg_i7xbjyCbPNseyPMjjx9_w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwaVKicm8YWjaTJqNl4AaABAg,Nice recipe,1 month ago,Pooja Devi,UCJnYFAWyzjhErI2YNa9N3Pw,0,https://yt3.ggpht.com/ytc/AKedOLRxB6LyGEOQIR_fG0UKVAmsGmgffPNvJR0DzA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxg2wXYfzYHl7643gF4AaABAg,Very beautiful 😍😋👌,1 month ago,P  Vekaria,UCSs1HRKWsT6A2m3lCN10lRQ,0,https://yt3.ggpht.com/ytc/AKedOLRVLgffhQRmWrL6OYoctugP9mRxP57pqmnfIv1k_-upWnCm1x37F3VbzdbGsLt5=s176-c-k-c0x00ffffff-no-rj,0.0
UgwSwXykqzVV6JMUeNZ4AaABAg,"Madam
It's so amazing",1 month ago,Chirag Gyanchandani,UC_hqInvkpwnurLCtvN7GWMQ,0,https://yt3.ggpht.com/ytc/AKedOLRRQtru-b0Hdx0RrOwRpHnTNYZo27D-2-VdGCHTpn1hX7NITvc0tx5QiFnb140m=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0q9Ry5T-AEvtLHvl4AaABAg,"आपकी खूबसूरत आँखे जो मेरा कमेंट पढ़ रही हैं, आपके घर में हमेशा खुशहाली रहे, आपके घर का हर एक सदस्य स्वस्थ रहे, सफल रहे, ईश्वर से यही दुआ है मेरी🌹🙏🌹",1 month ago,Ghar Ka Halwai,UCcmRMvx2urTgCCW-irxK4cQ,0,https://yt3.ggpht.com/BZLn3YMy7_d_WJesvwF3kMurBsrxxoAIKWtVOLVUfn972J3Iui9S6jpYetLWreC9lSN2cOKMJ-c=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMMpMLBilC8dbjBEh4AaABAg,Nice  did,2 months ago,Pushpendra Singh,UCVQGaKcLq5B92zcNVCDOFxA,0,https://yt3.ggpht.com/21mCytC7ULbShKI-FUrHEsVVgPD1zbDI64MpOjTwsgWQOaLdFmiCuHxS6PabO33NdVgFVn9-pZ0=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRuLmOQEK3nU7pIMB4AaABAg,🙏Nisha ji. Today I prepared this recipe. It was too tasty n children liked it very much. Thank you for beautiful receipe 🌻🌹🌻🌹🌻🌹,2 months ago,Tapasi Tripathy,UCsJneL_y9yRCaYtYpCZYGew,0,https://yt3.ggpht.com/ytc/AKedOLRvhOm3kapFYdAqjt67gC1zbKKSYX1gj-9DZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwAmJdmCWnkwDrZf1J4AaABAg,लाजबाब रेसिपी 🤗🤗👍🏻,2 months ago,Janki Singh,UCLoeTPYfQxqGKpAhoMjnv2A,0,https://yt3.ggpht.com/9xRj_-xcWx0KNhgpPsy3jUQP2ZoBBNhJ_rGJOpbowCnuK4v8N86UCsdsPNAu9d8DqUmbm0V4uw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVdq5owex5Tb6kthp4AaABAg,👌👌👌😊 Thank you,2 months ago,Yogita Pardhi,UC17xhXfEjD_JySFB2dRSigQ,0,https://yt3.ggpht.com/ytc/AKedOLTox9_Ehh0rbjlyChQorNMAX3Nb6qcHxpNs20Hc7MPWc_KacUmVXEoNOWaWbhCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyuqvCmoOVumqwTOAl4AaABAg,Good afternoon ma'am. Kal mene ye nutri matar ki sabji banaya tha . It's was v tasty . Thank you,2 months ago,Arpita Dutta,UCc6gSZL8dFgtQTn3tQ-7YoA,0,https://yt3.ggpht.com/ytc/AKedOLRtzVt1He6fzas7QDK0ZfjYvQgWA9myeRolOQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEqYdT5qHjiV0Ia994AaABAg,Superb,2 months ago,Sweta Khan,UCHbaFAFaRjp-jcwsOP53yWA,0,https://yt3.ggpht.com/ytc/AKedOLTOk5DQEeQWR7uXeyL_o7bO4payYs8t0u8bEOtyKswKqzCUaqziutBWBPJ4aT9M=s176-c-k-c0x00ffffff-no-rj,0.0
UgylBzW8DlZXWLvoKRx4AaABAg,Bhut hi testy 😋😋😋😋,2 months ago,RM vilog,UCI1CZUSoWaFwzTKWeTpXiYw,0,https://yt3.ggpht.com/yU3WSP-f0zckz5FnUVAZiJ63h39b-mAB6CBnYlqYl1tJ8YQbmcLh0KqncJOi68NyCh9JVbzIBQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9OMNftQLJAAaDLTZ4AaABAg,Wah...👌👌👌,2 months ago,Sunit Vadgama,UCowMbrrWO0smxM9CT4eF4Og,0,https://yt3.ggpht.com/ytc/AKedOLR4420F1aLNJkaAVtoatbtAfLVNGLmzXVpZZLO2kg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwggv3EzAq4cNl4T7R4AaABAg,Very clear xplanation nice Nishamam,2 months ago,Narayana Pavani,UCum7f53S9nkQ14frjw68nag,0,https://yt3.ggpht.com/ytc/AKedOLR6L4rq4WsVY3H3cHHG39BtLnq2MwGhHVMyZFqS=s176-c-k-c0x00ffffff-no-rj,0.0
UgzyNtjyvsvdgrWk0J14AaABAg,very nice sabji maim,2 months ago,Cregi XN,UCNPmAfN91tlADr3JCqOzlMQ,0,https://yt3.ggpht.com/mKKFpr0u0ocCEZhmklw9zIcIZmXVGbmKODKURuH9ArLreFod3twM_d-IUIOL7Rqyu7wb8YKS-w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbZaCvx0BuA5XJI-B4AaABAg,"Wav maim so testy &thank u so much,ki aap humlogo ke liye etne testy helthy recipe lati hai thank u",2 months ago,Pinki Dubey,UCWzEbvO0iHsNZeO61zJDTAQ,0,https://yt3.ggpht.com/ytc/AKedOLTYS5wBdED_AIne0wnVSWJuu-Yz71PdMzXmNw=s176-c-k-c0x00ffffff-no-rj,0.0
