cid,text,time,author,channel,votes,photo,heart
UgwuAQe5w9_j-5YwdRd4AaABAg,Mam aap mujhe dhuli urd daal bnana sikhaao please,4 hours ago (edited),Deepa Singh,UCFCYbi8uPxBS9GZegppeYzA,0,https://yt3.ggpht.com/ytc/AKedOLTChmC8BvMZdjxcilpJSEO3qNwJRtgTMDs6Fw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzna8YnRlabcB-32TR4AaABAg,Mam u explain superb,14 hours ago,Priti Davi,UCCeGPSg_joyeXeoy2PSvQgw,0,https://yt3.ggpht.com/ytc/AKedOLShTPEV90rc4tNZJ7U22X6FjtgYc1BgUuxbPw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzknfBzLXcwg6ZiBY14AaABAg,"धन्यवाद, बहुत अच्छे से समझाया आपने।
मैं पालक के साग को तड़का लगाने का तरीका जानना चाहता हूं",16 hours ago,Raj Kumar Chadha,UCH65axLXb-CXKCFJmyzDwRQ,0,https://yt3.ggpht.com/ytc/AKedOLRTJ9l8-7Cv7mSLt-vgj0jdRlY5HXUQnrhprA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw72o2mChbmlM4IiAN4AaABAg,Love u so much mam ✨,1 day ago,Divyanshu Rawat,UCwbOfcc8E71iTzAyinCx1jw,0,https://yt3.ggpht.com/ytc/AKedOLTNyg482CfbEOEF1oKlN774-fQ_PkWyBileQ-IZ5g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxiRK0VE0kqBAFt-8J4AaABAg,आप भारतीय हो रा और कोई और देश के हो,1 day ago,Anurag Solanki,UCpjbLzjDLlOVmQZPhtdJKbg,1,https://yt3.ggpht.com/ytc/AKedOLRryBxvlIjFKm6AzRov11-m64swiEHN-g5-CQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBD9V1e8TT8De0kit4AaABAg,Wow,1 day ago,Baadsha Gaming,UCcYP44nAHGiaKBSoAteYf1g,1,https://yt3.ggpht.com/n4QRANMf4SP4RVvsDYBJJMz1f3YXG6PQsI1MwQo0rdP-UDWN8shyPiUs-VbzossLTSPnuGY-mg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyM4xjVaSi4LsokYfd4AaABAg,👌👌👍👍❤❤,1 day ago,Opinder Batish,UCR9MZWLazPNsgAhutWn6-aQ,0,https://yt3.ggpht.com/ytc/AKedOLQK4-5wqrRHA7WUrz0hAyl8VEGJjq9YiRMefg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3-l2gyG1ywqCuUO54AaABAg,Madhulika mam it should be grated ginger but in English translation it's written grated garlic,2 days ago,moana tirkey,UCikMkgDtq2rKZTqFQVVACnQ,0,https://yt3.ggpht.com/ytc/AKedOLSdGr2VamMD52CyunI8rL54-YaKQwRwiji8YaTCCw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhehHPL9cAQDrmcDt4AaABAg,Sahi kha mam basi kadi such me hi tasty lagti he 😋😋😋,3 days ago,Indu Gupta,UCM2YUA1uVIRp5ly9RvhzK0A,0,https://yt3.ggpht.com/ytc/AKedOLQ2Sy2SWm5aPb-WPTrMXv7QS9L_WkDtlFj_QA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyC8rEibJ_4_BKVdE94AaABAg,Thnku so much mam... Apki sari recipe best h... But kadi meri favorite h.. Bhut testy kadi bni... Apki recipe se bnai.... Aapki lmbi umer kre bagban.... Good job 👍👍👍,3 days ago,Aniket Saini gaming,UCfs9zjTX9YYwoc3A5NuwXJw,0,https://yt3.ggpht.com/uTooeqpBVnFVMWJgiJ8fJo7hFaB3BGsAQsv5G3P7rALnmSxSJL5d_MpC6gI_EbYnIVnT9hUY1A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4MHFw6uXkqC_pY2d4AaABAg,Ma'am kabhi kabhi kabhi phat kaise jaati hai,4 days ago,Neha Sharma,UCkUiywQnOAM_H05qDpoVqrA,0,https://yt3.ggpht.com/ytc/AKedOLRFgkHmE6SISeP6TXf-MJMxQKqsMdUp4EhaRTItIA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSIN2JIuf9cSrl5fN4AaABAg,You are my favourite homecook chef. I have been watching your videos since 2015. YOUR RECIPES ARE ALWAYS SPOT ON 😁.Thank you SO MUCH FOR  sharing delicious and easy recipes that taste really good 😍. KADHI PAKORA BOLTEHI MU MEIN PANI A JATA HAI,5 days ago (edited),hafsa sarker lira,UCY-uUI5CT3AihEOQgCY5CfQ,0,https://yt3.ggpht.com/ytc/AKedOLRO09hLYveAJbqFrBZtEMx3WCw761iC7nWktan0=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx09wt6PfT7jXfLU1N4AaABAg,Superb mam apki har receipy ekdum perfect hoti h,6 days ago,The cute Shivansh show,UCz-KUA-9mwg1l92lKxGTbEg,0,https://yt3.ggpht.com/ytc/AKedOLSTy0e_ybxbJS3jnWoYD4QS8-SA0bMNCOYesJAQ6A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsYRdCxhMmKhaOp214AaABAg,"Fantastic,superb mam",6 days ago,Sanjeeb Chaudhury,UCncHmRs2TjgXg5cypvJ1xFA,0,https://yt3.ggpht.com/ytc/AKedOLSt0zl5b5btTxhcpX24xjRi0w3WF9fmsZj56-5O=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVGeru9O9FJKwTxKB4AaABAg,The recipe is perfect. I made it for the first time following your instructions and it was super. Thankyou ma'am. You are too good.,6 days ago,Sanchita Kar,UCDwiMKr5HdDdfGirxv9eibA,0,https://yt3.ggpht.com/ytc/AKedOLQWFjbaDwSnP3vDWGSUk01sr1YMyWdMR2bWzQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugysy13bafJ2xmQG7KF4AaABAg,Bahut achi bani hai kadi...thanks  Madam ...bus ek baat puchni thi ki kuti hue red chilli kaise hpti h,6 days ago,vanita sharma,UCWymqlh-Xk9J4CpW8CvmBUw,0,https://yt3.ggpht.com/ytc/AKedOLRaM0QnG7zYVgYAPnlX_UA1qrfoJIBYUL5hmBamNb9zHQGgckHy-WiDOhT77dKb=s176-c-k-c0x00ffffff-no-rj,0.0
