cid,text,time,author,channel,votes,photo,heart
UgzDLkTefKGDeHYQokF4AaABAg,Chi paneer dhoye bina hi use kr liya,14 hours ago,Manju Tuteja,UCWGxaN0YW5YRxPwFT4SCLaw,0,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHp5dgQf133RghePZ4AaABAg,Mam apko sari resipe nice,21 hours ago,Maya Agarwal,UCEyO3ozT2L_VJjSfgzMhTzA,0,https://yt3.ggpht.com/ytc/AKedOLRxlVqZAjOGYSgABk5Azuw6RuFKcc7oubWX7_c3cPOWiABqFTppwFyyysmZUsW9=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyKqs1OR59xs4jBFV4AaABAg,"Superb and delicious mam ♥
Stay connected 😍",4 days ago,foodsbylucky ,UCoA9WHkR15R9Nz9f0QG_s3g,0,https://yt3.ggpht.com/l-7NHBr-f4wgp61W-BPhH7QIPq-BZIJcCzms6Lmd-R9qMrB_zXkNJHTSEbjhxkEfJFG0erlLiO8=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcbqVULxABGOm5TCh4AaABAg,Delicious recipe,6 days ago,Jayashree Sengupta,UCrnWd9t5taSmFfh_V2jTHYQ,0,https://yt3.ggpht.com/ytc/AKedOLTCP8mlVybTHGa7qyJqXwK3bpPK-58FNgmSUg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzolbFBgxpqZwR2aLp4AaABAg,"Bahut achhi re.cipie hai zaroor try karungi.
Aapki recipiebagut achhi hoti hain.",7 days ago,Keya Sarkar,UCO6LVt0t-tL8kffFM0W-gVA,0,https://yt3.ggpht.com/ytc/AKedOLSvLlHt5HV2RHvhTFsyLLuC6AIQJkCMV5iMJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnI_nsvYq-f53iEDp4AaABAg,Looks delicious I will try it,10 days ago,Mousumi Saha,UCmi-ppvn_oR3j6HZ3nntncg,1,https://yt3.ggpht.com/ytc/AKedOLR8QCAUpyJVj_HAJexLSUx8qFyRUyICM-wPyw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6DF1y3UeV7m9owBB4AaABAg,Really nice recipe!!!,2 weeks ago,TheVideomantra,UCRz7AR7n_zpToj08Choz7wA,0,https://yt3.ggpht.com/ytc/AKedOLQd5RC8VzW3YdlHjVbpzMhJS2Z1wKJ6-133eQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSCpwkrretQmNOq4Z4AaABAg,"Today I tried your  paneer kalimirch reci Madam.Taste was superb ,delicious soooo simple easy to make.Resturant style.Thank you Madam.",2 weeks ago,Jyotsnarani Mishra,UC-jAs_VisSuxLMFAp4KS9CQ,0,https://yt3.ggpht.com/ytc/AKedOLSfTvfhiIAhUAvFWXDX1RtBS_W-_5QzbzBbJQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNN3ktVIlto6S02jV4AaABAg,मकका का आटा है कया कार्रफोर्र,4 weeks ago,Shubham panchal,UCqNCNBkf4Egk5viRQvwVYaQ,0,https://yt3.ggpht.com/ytc/AKedOLTP-0fp9dTxJElMq31kfaDr8UEpbxf_m7jVpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwGY9o8gAS86HYcH214AaABAg,Too good recipe madam👍,1 month ago,Kamla Kaushal,UCarHLGDs1VEO1egK6r4DFRA,0,https://yt3.ggpht.com/ytc/AKedOLTqA4T_UfgJHAdqjeMt4q9XgpyIf6XpLfyKhg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwfH889hlcsH023X-94AaABAg,Wow  madam aap bahut achcha banati hai aur bahut acche se samjhe  hai,1 month ago,paras gupta,UCSUsusSnM8biKbFis8JXzYw,0,https://yt3.ggpht.com/ytc/AKedOLTVsy9cOSRN_-2PztaXhk5lviInJWW7kiYAJOTmsXnoPdVKupIKSsn95B-MRulD=s176-c-k-c0x00ffffff-no-rj,0.0
UgxM4Dg9K9iGxSvbWAd4AaABAg,White vegetables kurma without onion and garlic,1 month ago,Kasturi Rangan,UCcXnS0GI7Cxpzu-r8zPx4gg,0,https://yt3.ggpht.com/ytc/AKedOLQLHAteocjXbAjRlhaEUw3ga8xuVHVM2j1iZyAwSg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJscD6spmkfHgdkF54AaABAg,Really Didi I like you because all items are No Onion Garlic So I am Soooo Happy Thank you 🙏🙏😊👍,1 month ago,Rameela Patel,UChiP-WdB4YM2uTaiyYfrOeg,0,https://yt3.ggpht.com/ytc/AKedOLSW0E80UKLGBxRFSlto0cVupQhDsbf2TzyiFA=s176-c-k-c0x00ffffff-no-rj,0.0
