cid,text,time,author,channel,votes,photo,heart
Ugw7x0CWc3OZ2PdbZiF4AaABAg,"It's my all time favourite from Santosh dhaba, Hyderabad",3 weeks ago,Prajna paramita Jena,UCJQJHOYcCpdleof-fUT7DJg,0,https://yt3.ggpht.com/ytc/AKedOLRM7RpZvy2xeAwzaph7J-TDYRVCVsMt6MJlh4Bydg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmH8RPdRM_Jtcjx6Z4AaABAg,🙏 bahut testi lag rahi hai jarur try karenge 👌👌👌👌👌,6 months ago,parsuni kaur,UCXJaheLCCWymStjCL_T1g8g,0,https://yt3.ggpht.com/ytc/AKedOLQDdJ7zfv05s1R1Tj9ZGTqh5ti41Q0henUqIw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPXF_DY4oFpdqpzi94AaABAg,My sister made it first time and my husband loved it and he ate at her home.. Now I am going to try it for him.. Keep posting such recipes 👌👌,6 months ago,nishi gupta,UCmvmJZtWR3ac_eIZweffXBg,0,https://yt3.ggpht.com/ytc/AKedOLRWmxgxsq8i_bXaW3f4IUY9bdUgyZXwLJWB44JCkw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIUbHDLJtW_oIFGZd4AaABAg,Panner is my favourite mam !! Thanku for sharing your wonderful recipe 😋😋😋,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3jDVAB2e5rHMTEAl4AaABAg,So nice,7 months ago,S fOr SuNiL,UC0CysCSbPKXR5zjyDJ04Qsg,0,https://yt3.ggpht.com/F-JpdRTyXc0RhUUY7RUqp6_Z7d46sFMujPvMRuXeJ-VWwkCkvEMhVKZFGiY1Pn0sOnkqG6dj=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlKSiYiM0vZy67f5l4AaABAg,Delicious recipe 🤤,8 months ago,Love Of Food,UCrtPtpY2dc5BXabhyDZP7iw,0,https://yt3.ggpht.com/ytc/AKedOLST-AykPCdPxSNOxnYifJOUPCtjlggZFo8j8a19=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz49Jt2_HzAuP3eBy54AaABAg,Bina onion garlic swejan sauce recipe,8 months ago,Manoharlal Motwani,UCs07pkphrPwAWKR8cGsKsbQ,0,https://yt3.ggpht.com/ytc/AKedOLSrCviIJlyZV_Z5IpLqUJmHUhbLdrDYZnLzPw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxEId2qPq9vac4cLA54AaABAg,Delicious😋,8 months ago,SUKANYA NASKAR,UC_Mei_tV_5ulgvjrGOOs_qw,0,https://yt3.ggpht.com/ytc/AKedOLSFYA1aqiXCvQTBKWzQkUeIb0isrPpLa1m4Gr-5=s176-c-k-c0x00ffffff-no-rj,0.0
UgzSPS0OqxnrBu-XyzJ4AaABAg,Thank you so much Nisha ji...looks so tasty starter  !!!,8 months ago,Keshav Murthy,UCZaI1gaKu_PVH4JpD1G73Eg,0,https://yt3.ggpht.com/ytc/AKedOLTau7eoiASmd7bIl-wi20bSEQcuE8gXGjGI-nrI5g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZdNInV8BWzDdQr2p4AaABAg,Amazing recepie👌👌,9 months ago,Trisha Paul,UCmZ0BloHM6EcsVOUY62TBiA,1,https://yt3.ggpht.com/ytc/AKedOLRzEW-yklbYdJQ4pnmeNqJ1YZ2QCE3iI3Ia-Q=s176-c-k-c0x00ffffff-no-rj,0.0
