cid,text,time,author,channel,votes,photo,heart
Ugwxa6LkYvu_1M_Es914AaABAg,Nice,1 day ago,Sunita Singh,UCQaELd1SGLCYTjhPstopV4Q,0,https://yt3.ggpht.com/ytc/AKedOLQDnm-CSdW45gz3TaeT8rqI22vK7Y5F7Xmndg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzA0Zw4FfoDdH4rBod4AaABAg,Mai student hu patty khana chahta tha....lkn isme Mera pura din nikal jayega 🤣🤣🤣🤣,1 day ago,Priyesh Choudhary,UCDLdYLm0hEQTxf0t0mEqERQ,0,https://yt3.ggpht.com/ytc/AKedOLSg0q712gJX67tr07r3C2Oze4PWmUQ7_nSXt77G1Jw_HTFIIjRQRmF-qpHbhQ0w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxfgn3i2veIAXTYolV4AaABAg,Very nice recipe😊,1 day ago,Payalvipin Gupta,UCERCABa0t2EvWhNsyiF-lbg,0,https://yt3.ggpht.com/ytc/AKedOLThHMV903zjCI-ZS1WYTYKHGNjE1H3euH_UxQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzc4d0Ly_rzGtJrXLZ4AaABAg,Nicely explained.. But if someone don't have oven then what will the option.. Plz tell,3 days ago,Monika Mehta,UC0hhEh8bCXcy1qU9oMQd3bQ,0,https://yt3.ggpht.com/ytc/AKedOLQXkQI_78FqOm-wu6Cse-HlOhFmqVG0tWHQwA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoKB0Z9F4u2-c1Vt54AaABAg,please teach us to make vegetable pasties.,4 days ago,Jas Baht,UCMZD6tGMlp3QRaWCeueQqnA,0,https://yt3.ggpht.com/ytc/AKedOLQVMSFZOd66TRxye9tm6Nuw7Cap_AUEZw1vHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOW06aDi77SnsKTpl4AaABAg,This is perfect,5 days ago,Ten Den,UC1a7ghrNbUkRv8Bd5gQQJsg,0,https://yt3.ggpht.com/ytc/AKedOLRWtAJKGRzyB2odlwFw46o_w4YoLaaXRxQ7TKMgAg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxcLjhxyzB0Dzfj2W54AaABAg,Oven ke konsa burger on karna hoga.,5 days ago,SARLA AGRAWAL,UCBkyZWKGdRRmc587JuYpeEQ,0,https://yt3.ggpht.com/ytc/AKedOLSP4hV6V0GUuwPUGIYzn6dfweudAZ3HuIBATA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXzBnroeQ0Q6ZvV0l4AaABAg,Pura din shirf parat lagate lagate hojaiga,7 days ago,Neha Boutique,UCesR72N5dFP280aipZmVP3g,0,https://yt3.ggpht.com/RQrqSvNnwWYnjC-u9-fpNgomxXGHt-zgXIbfD6Ys_SWaYX8ms1YH6oLYYG6bmnXVfb0k3nwEarw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzskkUbhrswr5JfTx4AaABAg,👍👍👍,8 days ago,Hiral Shah,UCXBZ-1D3r-KR7c55LjdX_8w,0,https://yt3.ggpht.com/ytc/AKedOLRSL8E4GzZSpXhRj651REqpQk5LOlrJ7SN0M4AykysbuS1R6i2RfqRw8cj4dhSr=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyv_afRszOYEitVBd14AaABAg,Frees nhi hai hmare pas,9 days ago,sps gamer 🏌‍♂️,UCgCQi3vsw-jhnBa3SHC4cRg,0,https://yt3.ggpht.com/5z9XaC5E4N34t9tKkcObfqUg3yUF3rOE3qGo5u15FkywDQblfLUuYbc8tpWeEG3hKj8uwitI=s176-c-k-c0x00ffffff-no-rj,0.0
