cid,text,time,author,channel,votes,photo,heart
UgwLtZEEsb_FbMsYLvt4AaABAg,Very good aunty,3 weeks ago,Mahesh Sahu,UCchd86zJgyO6pGgbcbkrWYQ,0,https://yt3.ggpht.com/ytc/AKedOLSOEazMx0yzUFTBKF1Twzh2rj4pBbLCZO9D7pXO2_EJTSzTHMt1Ops-ngzguAQr=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7b5fhhsDNLOclYmV4AaABAg,Aap ki recpi bahut achha lagta hai hum sab recpi banate hai,1 month ago,Priya Singh,UC4nM3wS_jOCT6_9lPu1K28Q,1,https://yt3.ggpht.com/ytc/AKedOLTQK_6JVDMJ1zds_q1b5qCq1gyPIC_K6GYAdB-dZLgHUERJGw3kCXzhMxfQCwTr=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWc1gmCQoG6KaM4wN4AaABAg,😋😋😋👌nice mam,1 month ago,Priyanka Sharma,UCiqy7YAOX9ikCU39Z5tkD9w,0,https://yt3.ggpht.com/ytc/AKedOLQlgtrmLzha-aEkh8we5gHgMofT9u6iuxSJig=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlXc6DsU06eReZqWx4AaABAg,ਬਹੁਤ  ਬੜੀਆ  ਟੇਸਟ ਦਾਲ ਸ਼ੁਕਰੀਆ,2 months ago,surinder kaur,UCNhAqeKCT5IWoFvkFGEa2Dw,0,https://yt3.ggpht.com/ytc/AKedOLQJAWaXVi2nATZg_tkk0oL3gNr1h8njEDhzJQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz-Tn4HaVOs4H2pVrp4AaABAg,Thanks mam share this recipi so heldi 😊 mai aaj hi banugi,2 months ago,Tej magical world,UCtHOBSicPKrYsLDl5Stevrw,0,https://yt3.ggpht.com/wizmy19RyTArr0Jh0d9b3LylToYJGdjI1ixvDSjFenS5T_w3MDaEjO3vxMHA5GNqXsEbKTiK5Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw20XWQip0FZVADYER4AaABAg,Amazing video I like it,2 months ago,LRAMA SINGH,UCe8HB3ojz5ysCEM3olvf7yg,0,https://yt3.ggpht.com/WfJGcSxX7uCgNZSghzsCSOLdvgvsGk9-Q-t73b7_GDHprjOZHeh6p04IgE588tWzAG6NFdVaRA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBhmUAjIXbG3S3KT94AaABAg,Mam ap bhaut  acha video  bata  very nice iam big fan of u,2 months ago,LRAMA SINGH,UCe8HB3ojz5ysCEM3olvf7yg,0,https://yt3.ggpht.com/WfJGcSxX7uCgNZSghzsCSOLdvgvsGk9-Q-t73b7_GDHprjOZHeh6p04IgE588tWzAG6NFdVaRA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9KhqSFuKFii_mwsp4AaABAg,"U r so nyc, Ur recipes r so gud",3 months ago,Honey Pie,UCDvWPsxDiGf-Qaj92273CWA,0,https://yt3.ggpht.com/ytc/AKedOLTpHfTFgZttSQldcIpQY2mKMVwRvg6Mu15BOQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZQ442MBOIPtxRQ4x4AaABAg,good recipe!,3 months ago,Poonam Gupta,UCizGUwQxEdd7fdWQVlPBJtw,0,https://yt3.ggpht.com/ytc/AKedOLT31LmYDSGzJGiVHn5XZ-ySQypPVNPd0HfA1OM9qw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_-iPLHqUeLeOXOhd4AaABAg,किसी का भी रेसिपी विडियो देख ले पर आपकी विडियो  देखूंगी तब जाके विस्वास आता ही की रेसिपी सही बनेगी,3 months ago,Sara aart craft,UCCTjxWdMU1_Y1gB3zruAfQw,1,https://yt3.ggpht.com/0SQp_L5H37Zl2qy6G5Gvq6va_Jgs_InalMJjSoWyG5tE8DpSf25CNkcpisTVhSUBXweflOIixA=s176-c-k-c0x00ffffff-no-rj,0.0
