cid,text,time,author,channel,votes,photo,heart
UgyD5KliPiGf7J5MvwZ4AaABAg,💚💚,2 months ago,Aparajita Chakraborty,UCuJQj2Fsuk2npkFHivpz1Ig,0,https://yt3.ggpht.com/ytc/AKedOLT_eqAKW_xSUpk9EUGTBD-A44TUqyvxKBLGpsm63Ls=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxx1JOXJR4yj2SdTfl4AaABAg,What should be the flame of gas while frying sev,5 months ago,Aditi Konde,UCOHeAWttDMwJSDTDu2RN20w,0,https://yt3.ggpht.com/ytc/AKedOLTOyCYGlshbUcB8myRQxGP0V7kIxZLv-KoRbw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_lRgRNsTxjkZ-9WV4AaABAg,"Very different & tasty sev ma,m ❤ 👌👌👌👌👌👍",7 months ago,Irfan Sheik,UCV_OV2lFiMbbAAO_lLtqT4A,0,https://yt3.ggpht.com/ytc/AKedOLRccwdlD2jjuIQTepaewxRYlC7PwYnnBE8NeMSp=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2rNWDtUIegf4VrAx4AaABAg,Sev dough kisme Rak diya..woh kasa se kharid se laya..mere ko chahiye woh machine..,8 months ago,Vijaya Mooli,UCQQSfdHNQpwKZOgF4q2KD2w,0,https://yt3.ggpht.com/ytc/AKedOLQxu1gRijm6r_1hK6BwiU52Pd49QZNMlw5z6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzKY4FqZJ2KKG5HMQF4AaABAg,"Mam please tell how to make special masala for this namkeen ,ghar me market jaisa swad aa jaye",9 months ago,PARAS ARYA,UC5AgZQb_XXMGN13Bsgj5nBg,0,https://yt3.ggpht.com/ytc/AKedOLQKaskBW4ei5I14zr28tmHOf30zR3ISS1OOYQmxZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxbTTWfdFEXVq6q-F94AaABAg,Nice,10 months ago,tasty food and arman chouhan arman chouhan,UC5ruf_kI1tE7RDW2x0CVe8Q,0,https://yt3.ggpht.com/ytc/AKedOLTDWncmkmo4SCXy7T4DLMeyAgUO8lnT9975dBmh=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHMnidXq_sMhkRuVt4AaABAg,Nice,10 months ago,Nirma Jangid,UCJwkB8CPXV_d898AW1Q4EVQ,1,https://yt3.ggpht.com/ytc/AKedOLQ7TyLiqSMHtfPlXc9XacjN7zszlsIex1hIVw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyZvDf3La1lHSgRk6N4AaABAg,Thanks a lot mam,11 months ago,dhirendra chauhan,UCJFIVzhtRpiCbEl2GkT_QtA,0,https://yt3.ggpht.com/ytc/AKedOLTF4yC523u3VRc3ka8meK1Hjn2wGK-nobxkh9qETg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0NJ4ONFDin8moN754AaABAg,Very tasty n healthy,11 months ago,Cook at Home with Shikha,UCooNIgxMqBEgjkEEs7EZ9ng,0,https://yt3.ggpht.com/ytc/AKedOLSQ6BrB5uNNLEKdnKwRI9zAFyD5qYAjp2cL8bX6=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIwtt5OfaUrc2Z6aZ4AaABAg,Wow so nice,11 months ago,Navjot Singh,UCjkpQzIJlKFfBUR3Q-ErF9Q,0,https://yt3.ggpht.com/ytc/AKedOLR4-BFdaMyrcQ6HA-imVTGlkQFoCDIIO1tkkg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxXPe2L5mvABjyvcV4AaABAg,👌🏿👌🏿🇨🇦👍🏻👍🏻😂😂✌✌✌🙏🏻🙏🏻👍🏻👍🏻👌🏿👌🏿,11 months ago,Parkash Rarru,UC9fHJRNFWtcrPu_KZLoSdJQ,1,https://yt3.ggpht.com/ytc/AKedOLRtyUVgbECT_BirBQGD0HZI8U3F-PUootMOnw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBSdWLDIDhKjDJ32R4AaABAg,Very nice recipe mam. But can we make it without mint leaves?,1 year ago,Janhvi Duragkar 8C,UCUgq9pLM-fQnTfB_f6VhgOg,0,https://yt3.ggpht.com/ytc/AKedOLQwrQhMYWUtKzA5u82Vy3V3oFUGoRduoXXqzIkG9A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW0TRqq4HDPLxi1th4AaABAg,"Awsome mam, u r really inspiring..",1 year ago,Gharelu Bhansa,UCggAr1jARvWSfLJsapwLDkw,0,https://yt3.ggpht.com/ytc/AKedOLRvSMMON6Zozh9vvg4jzlTb6weg_ooHTiGe2nUp=s176-c-k-c0x00ffffff-no-rj,0.0
UgxluHSrgOoIpcpo0MR4AaABAg,Wow itani crispy namkin 1 like tuo banta h,1 year ago,just subscribe for free,UCgyQRVOColHqP9ZbpaEmmFg,1,https://yt3.ggpht.com/ytc/AKedOLQFgh0XRiyJ1Hkw6IQEyVwlV235wB9ktmSI3NiJ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNChZCpc52L35WpnF4AaABAg,Mam aapka bahut bahut dhanyabad yeh recipe maine Bazaron mein bhii doodhi par nhi mili,1 year ago,krishna Sharma,UCJYthL0sLeGhDAgm7oUu-dQ,1,https://yt3.ggpht.com/ytc/AKedOLQKqsYuZEA42i7TEbLw1BAAMYx4bgnqPiKS3qScsw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw9b8ER6Ywt9ESWjvV4AaABAg,Thanks ma'am.,1 year ago,Soni Kushwaha,UCFYRHWdts1VracImFt45miw,0,https://yt3.ggpht.com/ytc/AKedOLREXTs2yTldHuCJzMzxKPTz6nm2JQ51Tcv-dw=s176-c-k-c0x00ffffff-no-rj,0.0
