cid,text,time,author,channel,votes,photo,heart
UgyyFYWyS71Qw1OVF_F4AaABAg,"Hi auntyji bahut din se aapko badhai dene ke liye soch rahi thi. 
Aapka sab recipes bahut swadist tareeke se aati he.
Pav bhaji to super hit ban gaya aaj. 
Color,taste perfect !!! 
Beetroot ka idea tho bilkul awesome he.
Thank you so much 🙏🙏",10 days ago (edited),Shamya Gubbi,UCtmNWoCbIrkoac8KcMpFTNQ,0,https://yt3.ggpht.com/ytc/AKedOLSmEu1PjNr5_em5n2PqAaMa2Zq0Y3iiQ_BZON4uSA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxTsxxF7U4qRH8gQ7h4AaABAg,"Thank u so much mam.
For such a wonderful recipe 😋",13 days ago,Ranu Sinha,UC_nQksmk34Rvo20Ipeb4Xag,1,https://yt3.ggpht.com/ytc/AKedOLTg5w7slsz7jTtIsjRTG6W5-F0va5LmjQqPGA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmyPN_YAe1jSpFafd4AaABAg,Very nice Nishaji 👌👌,2 weeks ago,Vandana Pandya,UCV51Ca8jGLHBRetYoFmDdYQ,0,https://yt3.ggpht.com/ytc/AKedOLTUAukKnJFFcvi5xW45dgR-trUTi3YSWHy5YnsDwbJcquTnOeiffpkOqVkAW_RY=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgBi04dXuaaJmfvOF4AaABAg,City Aane per,2 weeks ago,Mahima Saini,UCiCWCjWCVBSygN0iyFj_NHA,0,https://yt3.ggpht.com/ytc/AKedOLRWBPBFRuPWps-Y_kH1bOgKhC0EYrOwAcGt4g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxUH5Zo7ie5yxGM-jt4AaABAg,Thank you Nisha maam🙏🏻,2 weeks ago,Seema Singh,UCJFUZUcXlSYsnFett3MsJLQ,0,https://yt3.ggpht.com/ytc/AKedOLR9DLr9GmSX20u5S_zbjRnN2I0ZVof82U7wFA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRffbOFGtFnhlGpBF4AaABAg,"Best Chef in the world,❤️❤️",2 weeks ago,Pari Chauhan,UCuiqNkCmbCev1AVVdW5EmYA,0,https://yt3.ggpht.com/Mi7Mh7CpAdCnus3C9XverZmnzNEt3stLe65LQ7IDQ4fQ4wWlhQfgkoFoA5p483cAyh8-ESW1gA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEZjiEZx6doOosDSN4AaABAg,Mam nice,2 weeks ago,Vanita Karotra,UCpDN3d4SLhH3Nr716PJ2aJQ,0,https://yt3.ggpht.com/ytc/AKedOLQvTEsNaaUKc19T7GVro2ul7DU_2jnwmBl1Y9qeLQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9w3pUlr89W7cB0oF4AaABAg,Are mama are mama bahut Achcha Pav Bhaji banati hai,3 weeks ago,Pooja Singh,UCpkVpXE2Lir8cp-ObGyI9XA,0,https://yt3.ggpht.com/ytc/AKedOLTv5VTEJqjde9rKRTF2SNxSgcprP1g_rEsDDw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwv0sp0Jvd2kwgkXOh4AaABAg,Share karenge,4 weeks ago,Mahesh totani,UCWTLaVhZL9eWUDHiQ80egYQ,0,https://yt3.ggpht.com/ytc/AKedOLQQ-5dCYDkfTX_kLprAg2QGn11uPcYeKzWOBp2zcKcxbXJyIEDDMA6tA_3n9iR3=s176-c-k-c0x00ffffff-no-rj,0.0
UgxGzU1Gpp8Avm-z95F4AaABAg,Mam five star chocolate or dairy milk ke recipe,4 weeks ago,Mahesh totani,UCWTLaVhZL9eWUDHiQ80egYQ,0,https://yt3.ggpht.com/ytc/AKedOLQQ-5dCYDkfTX_kLprAg2QGn11uPcYeKzWOBp2zcKcxbXJyIEDDMA6tA_3n9iR3=s176-c-k-c0x00ffffff-no-rj,0.0
UgybrIWy5DYMmaLRNMN4AaABAg,Thankyou Ma'am for teaching it in an easy way.,4 weeks ago,Bhavya khanna,UCXuLdiiEh8chSzisBFm7hgA,0,https://yt3.ggpht.com/ytc/AKedOLSvUYniQ1dR5RKSNXkfSo5ft4Pv513vpDuSP51KPtU=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQh1yNKNpfaxtL7ZF4AaABAg,Coolz nd yummm.. 👌👌👍👍,4 weeks ago,ANSHA SHARMA,UCnUcr3ttMsAhsm83V0Tt5lA,0,https://yt3.ggpht.com/ytc/AKedOLS7YrnVoIqhO0lybErqg4Yi7M6zn2dOlEi0cQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzK1nTOqLsYOSyzCKJ4AaABAg,Aap bahut hi ache se batate h,1 month ago,crazy Priyanka Chaturvedi,UC90k1IvzfgijVBiFpM7pkZQ,0,https://yt3.ggpht.com/ytc/AKedOLRLQ7kGU5SWHak2GfKw85JtDPvYR6eO9m6ImE4CPWo=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRoHTkFNmlmB-k48h4AaABAg,Thanks mam 😍,1 month ago,RUHANI THAKUR,UC8ZpsxxJoFnmpsXOmCjSpsw,0,https://yt3.ggpht.com/yrK_6ubzDw5OGmirk-uZ-eUgr5k8rX_6tJjnqvOORXtVbdTtgsbZlt9jd536apVxdxf8LKPiWQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWdQfDPolgrjdMZet4AaABAg,Mam kya home made pao without yeast sikha sakte hain?,1 month ago,Nidhi Jain,UCkHG_-6F6BkUIwZgwbbtttw,0,https://yt3.ggpht.com/ytc/AKedOLTIPOXuJ0JqP2arpe9lzptTHTutVpdmXQ9d9g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyW9GO50m7oRkpy7NV4AaABAg,Very tasty pavbhaji,1 month ago,kamlesh Panwar,UC7q-SxNewqoQ8O6dXmAbFyw,0,https://yt3.ggpht.com/rqLT8qJDZWXEdwKgrsLFyUu-q51yfBdzrE4Hh7HckdJ8i70URAJG0ugSW_dVJz2_eKgTc-PErA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7lBcULJbbSK8eyxt4AaABAg,"मैने अभी भाजी बनायी ! बहोत सुंदर स्वाद !!
धन्यवाद मॅडम !!",1 month ago,Gaargi Ganbote,UCBVctKZatrBgiVIXDFV_BWg,0,https://yt3.ggpht.com/ieXZtF8_Uk-QXrLdjJq3752JS_RWgVNX-vqVwtAHH5AllbMenwPok3z0u0nJjgXr2i4nCl9UCz8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvjBDvtn_p-lNBuGV4AaABAg,Plz avi dekhe to reply de abhi bna rhi hu mai,1 month ago,Setu mintu,UCOLbE8leU3mFweSFZT4r3lg,0,https://yt3.ggpht.com/ytc/AKedOLRioJMaIAtAehhvTwx6QHsMojlDSWJe1qwZDQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzAwF6Kd_UR2mzOGzh4AaABAg,Kya hmare pas pata govi loki  ae sb vi h usko vi daal skti hu kya,1 month ago,Setu mintu,UCOLbE8leU3mFweSFZT4r3lg,0,https://yt3.ggpht.com/ytc/AKedOLRioJMaIAtAehhvTwx6QHsMojlDSWJe1qwZDQ=s176-c-k-c0x00ffffff-no-rj,0.0
