cid,text,time,author,channel,votes,photo,heart
UgxSB4iLGjoiyEOKzTJ4AaABAg,"Very Very Super Good, Thank's",2 months ago,Tour Today,UCp6qlZ4u0vmhqQn-pwH6ITw,0,https://yt3.ggpht.com/ytc/AKedOLQEx6cwAusdmG5g2SrJ2BzM7GNZ70edwm4gxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwYJ11GRTZcT6JUcMZ4AaABAg,Mam besan ki jagah or Kya use kr skte h,2 months ago,priyanka agrawal,UCy34SgLZwvep9D_IAvS0FoQ,0,https://yt3.ggpht.com/ytc/AKedOLRTz4dO2m0Jd0MYxjpCY7ZIfw5NvxzloYOw6w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxaqfg8drIbdMVeM4l4AaABAg,Very nice mam,3 months ago,Aashik Ali,UC3U-jjHONgNkCbRT76E7j-w,1,https://yt3.ggpht.com/ytc/AKedOLQSY8D3sAEce9k_lIoLPqEy8quuRGXZyzGiihI1fVyKpTZO4rX1zxNupdqVdv2c=s176-c-k-c0x00ffffff-no-rj,0.0
UgznLCc1uVscqSYsOlV4AaABAg,👌👌👌😘,6 months ago,RajMohini Ransom,UCOaoNEkUQBtJAF8UjCiWBcw,0,https://yt3.ggpht.com/ytc/AKedOLQBH4YKnuLcGwVB0BY9K112b_sQwp4C0V4G=s176-c-k-c0x00ffffff-no-rj,0.0
UgwiFCMKAHxhij3PR1p4AaABAg,Madam aap garlic aur onion ko use Nahin kartee. Please aap bata Diya Karen  agar koi garlic aur onion add karna chahta hai to kis time aor  kitna  add Kren .Thank you. Aziz Burhan from Pakistan.,6 months ago,Aziz Burhan,UC2SNPK6khZOspvlSlhI8TnQ,1,https://yt3.ggpht.com/ytc/AKedOLTpssmfqH9YXKeqIPao-0syUkdOtX1h9CEvPg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzqoT-b8gWQz2l8ZoZ4AaABAg,Peheli bar suna he aunty kitana badhiya dekhata hai 😋😋😋,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKlxOBjfjOh7xNQmp4AaABAg,Bhajiya ki recipe,7 months ago,Sandip Mistri,UCOs4_T3ecdXHlx1xUOpy34A,0,https://yt3.ggpht.com/ytc/AKedOLQS3smCt7UeEd157YIa0zggJhk1FRXeeYuaQuJWXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaQJktGRZu-iZsnih4AaABAg,NICE RECIPE,7 months ago,सईज् रेसिपी । SAIJ RECIPE.,UCucXIKaLqHvyQgp_HzU0QOg,0,https://yt3.ggpht.com/D2IEtGhUoezzcLaTFAFQTcNXRcL2mQGc2SNNPC1nA73CMS8fbmvn6Kc_o59dtLUqwrGorpbI=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzI585Iw7NlSFeVsx4AaABAg,Mam.. Thank.. Ur dishes r really amazing.. As we don't use garlic n onion... Ur dishes have made my cooking amazing as well as easy... Thank you,7 months ago,kunj Gosrani Art,UCc3d6NTrqHBpNI8YbiRFM1Q,0,https://yt3.ggpht.com/ytc/AKedOLQF3otnlWc_5lk7RMBlDVs9q9CB6wgNovnW3w1dlA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwBsEctPI2Qchqx28R4AaABAg,Hii mam me assam she hu.,7 months ago,"Bike point Assam,অসমীয়া",UC8f0bVRjJmW350jmcPjbuwQ,0,https://yt3.ggpht.com/LZhEVayzNTkllh5NP1FKwEw2g_8W3Cuacc80fzZgfq9b__UI1RWGF-PPj0MIWBXlqybvlnNP=s176-c-k-c0x00ffffff-no-rj,0.0
