cid,text,time,author,channel,votes,photo,heart
Ugx1739nRtyyZuhzJsp4AaABAg,Nisha ji Moin ghee ka laga sakte hai Kya?,10 days ago,Anju Mittal,UCf6_OtTdtfhDUCeyC_Z2V6g,0,https://yt3.ggpht.com/ytc/AKedOLRzrEl2qXUsUjIuoWW8x4_TOAYJpkeNIQFybg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLKFbtxDAiMteMdrp4AaABAg,Nice recipe,1 month ago,Akhilesh Mishra,UC8xsmdFDfC06uSf1lwWlzOA,0,https://yt3.ggpht.com/ytc/AKedOLQL7ZHKiv6CE0YMJ-rNTCsw1O1u_tYSuttTkJ77vIioD7brTE17oWVIOCq7pgIn=s176-c-k-c0x00ffffff-no-rj,0.0
UgwNNK_EuZ9SFG-6RE94AaABAg,Very nice,2 months ago,Shravni Mistry,UC89DSJtXHTpni_fZyllmLyQ,0,https://yt3.ggpht.com/ytc/AKedOLTr6XLVBMhKB-NKgu4T7rO72fAIC78j8mbGWg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdkoykjCTXeMXhnP94AaABAg,Very nice recipe how many days can we store,2 months ago,Sesaa Tha,UCm0CxlMU2e48jsFshVDBntg,0,https://yt3.ggpht.com/ytc/AKedOLRl2opFEU1jkt-pOCT0rrFFRatS0ugdKULCLw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyF0fKABITUz4Ll3WR4AaABAg,Can we freeze these before frying,2 months ago,Usha Raina,UCpPlMwK1qTBaix_1LNTjZcA,0,https://yt3.ggpht.com/ytc/AKedOLQeWMZ22hWRSrQjBgyCbOBMNQlbI9hCifxEHQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw35KiOo00atcXks6F4AaABAg,😋😋😋😋😋,4 months ago,Sudha Kumari,UCTKAweOduoFbVdqf4mC5_Og,0,https://yt3.ggpht.com/ytc/AKedOLQxWvqJF1N9ozezk3VuKyWzfUal0yWeunRMXzu3qA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_YMi_OEw7ObCVdeV4AaABAg,Good luck,4 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmPLqRdcbMYg2nCIt4AaABAg,"Mam, I have tried this and it came so tasty and perfect.. Thanks for making video for this recipe Happy Diwali to you and family💥",5 months ago,renu zodov,UC98Xh89WJJZkxQJbH6oCZMw,0,https://yt3.ggpht.com/ytc/AKedOLSE5WpmeD9oKMlHDMgmkRHsXZU0h_rzwAjSAycJ6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwX9o1_vr4WoZQePMJ4AaABAg,Delicious 😘,5 months ago,Neelam Vatsyayan,UCPPHAgaZudFnR7KD6i5ElHQ,0,https://yt3.ggpht.com/ytc/AKedOLQJySZL6DFbUNPOQMQXDs0YBv5SmfHYW0TycQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwifqbevvBJ6wOHyMh4AaABAg,looking too tasty....,5 months ago,raghvendra dwivedi,UC3QE3BGmwse-KCotKhvFeig,0,https://yt3.ggpht.com/ytc/AKedOLQ_kjCCOh05HILf6Y0rlo-_vmj1sgK_Na9X5g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxwJrq-WrVSfM_3ngJ4AaABAg,Tasty and delicious 👍,5 months ago,Gautam Dhangar,UCoccxHkzUGwCPW3giiZxbMw,0,https://yt3.ggpht.com/CvRcZ71iUZ40bjThK8vA8TOneXhB7aafBDo611eC5MmaEwN-pLOLZVf66RKlAfxK4ogrT4Q_WpY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMBSqYHzGdLQDMfS14AaABAg,Testy and yammy dish mam👍👍👍👍👍👏👏👏👏🌟🌟🌟🌟🌟👌👌👌👌👌🙏🙏🙏🙏😋😋❤❤❤❤❤❤❤❤❤❤,5 months ago,Juna Bhatt,UCIUBCmeZkAQBq_XfXGxxbng,1,https://yt3.ggpht.com/ytc/AKedOLQNZTo9ZlO0iDl_gVNM_lzWPz0G-lIjBhoV7Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8l1H7xRmkSpBwlQ54AaABAg,बहुत बढ़िया है जी,5 months ago,Namrata Dubey,UCaTTi3lTABD5wMb9JeMJx2A,0,https://yt3.ggpht.com/ytc/AKedOLQmRVTqFsWEm-LtoKGpofoBrr6AA6rcUdXp98Ex89vuZLpX3pmbVgi9i3boIqYO=s176-c-k-c0x00ffffff-no-rj,0.0
UgxY7QcsI7rJUl9SNHJ4AaABAg,Aap ki farsan kachori recipe maine banayi bahut achhi aur swadish bani hai thank you mam,5 months ago,Nisha Thakur,UCizAjxCThe4ce6njMF2hdRA,0,https://yt3.ggpht.com/ytc/AKedOLRj1MrUKHIzRM6or8FDd8_BjRZZhL2ldkz6fgGl5KFafGZSR3oZqUSRrgDMSrHM=s176-c-k-c0x00ffffff-no-rj,0.0
