cid,text,time,author,channel,votes,photo,heart
Ugwpj67JyQrU5D6NldN4AaABAg,"Very nice
👌👌",3 months ago,Aapka Pyaara Kitchen,UCX3x0k1KYFWCNlS-MQcFkFw,0,https://yt3.ggpht.com/ytc/AKedOLTJTjNMU00Jw3nwRH-Bpw08Stc1VLuDVfiiS-_l=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw02U93NlJBXrIhVfZ4AaABAg,"Love u mam 
Aapki batai recipes try karte hu
Ghar m sabko bahut pasand aati hai",3 months ago,INSANE GAMING WITH D.J,UC7p_nqL7Abv_fReE75RnxEQ,1,https://yt3.ggpht.com/AJJerWRBn7W_lI-H7dLCjHnBrtvQaaNQA5MAKARcqpfj2RRFbm5WOwRyUwDBiYrzn1aLCVff=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy043vBawUQfTdYmHt4AaABAg,Amazing recipe nisha ji,4 months ago,Upkar Kaur,UC23uQDuYD3BCztNVXuPRTeg,0,https://yt3.ggpht.com/ytc/AKedOLRlv_L-vHBJOlgt4SxieCLVIUMNADRcV-tmVA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxejwu_kJmeQEmBQTN4AaABAg,Very nice,5 months ago,Majid Ali,UC7gGvn28hQXx8F04HXDInDw,0,https://yt3.ggpht.com/ytc/AKedOLR9C5DfUbAgG2wpJQRl0wmRj-X88L4w5KURig=s176-c-k-c0x00ffffff-no-rj,0.0
UgzTikVlyCiQec3_Stl4AaABAg,Mam agar ate ki panjiri ka atta hlka kacha reh jaye toh kya karein pls jrur btana,5 months ago,Bhavna Goyal,UCvPm49PH4j-b2SbE_m26VOA,0,https://yt3.ggpht.com/ytc/AKedOLRdmTfj6RC2iaXLQTA41kni0cyB0NFZBRWYuw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCHRatCrRQKcnIWzx4AaABAg,I make it today for my fast and it's tasty and yummy 😋😋😋😋😋,5 months ago,Pooja Kumari,UCq9tlurhgJ1uiJ__FgXY8Rg,0,https://yt3.ggpht.com/ytc/AKedOLTZTvFIvtnSqEsMbXzXnHUtzlMgqiTCwwTVNQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw4h3gCbt3UEiLpNSR4AaABAg,OMG... excellent 👌👌👌,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwr0hN8XpzOgAtq1_l4AaABAg,Hi,7 months ago,Khanish Kanotra,UCZOqHjP2Nq7eVL56HH_NO4g,0,https://yt3.ggpht.com/EevhL5OvmDlT26h6ummnQkaiCYut5ESZdV2TeTzdHMU-_Oo8YepPux0dhPvcjQSbFb-NJjgT-_8=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8ZhLfcwCtja4mrx54AaABAg,NICE RECIPE,7 months ago,सईज् रेसिपी । SAIJ RECIPE.,UCucXIKaLqHvyQgp_HzU0QOg,0,https://yt3.ggpht.com/D2IEtGhUoezzcLaTFAFQTcNXRcL2mQGc2SNNPC1nA73CMS8fbmvn6Kc_o59dtLUqwrGorpbI=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPCsfgLdP9Xzzu7iF4AaABAg,Nice Nice,7 months ago,Babita Deka,UCJZwFnR4_X-pdxQUkVq6Nqw,0,https://yt3.ggpht.com/ytc/AKedOLSQhXfM7lZNvj-UpSDMDuyZpbXhPbTwDin5YGlSug=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPC7lkFm7F8XUQQK54AaABAg,Mam...how are you doing ?? Belated RakshaBandhan and Krishna Jayanti wishes to you and your family.Mam Panjeeri is also made in our extended family in Bangalore in jaggery.🥰🥰💖💖,7 months ago,MORE N MORE FOOD FLAVOUR COLOUR CELEBRATION !!!,UCSCI09As66OmiUxg4zQbSqQ,0,https://yt3.ggpht.com/DJKiEGkP279g7svKsCOebC7-eQ_vP-dmrVvn6A5XEgSjtyAFZmN9FAkrM6WUclde0ItODiQ-=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx06Mm8kGTdrFLFwYB4AaABAg,Mam Janmashtami ke din try kiya bahut tasty bani thanks,7 months ago,sharad tandon,UCMV7XpGSiVbpQHinaan3dHA,0,https://yt3.ggpht.com/ytc/AKedOLSJuTmmP6mZIhUuRUlSdT2dvVJ7PwJTsS6YBcvct40=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWADLR8uFWNSs-3p94AaABAg,Thank u so much ma'am. I tried this recipe on janmashtami. It turned out very well.,7 months ago,Mansi Singh,UCNnm6gjiDn-LpX8IO2D7ZCw,0,https://yt3.ggpht.com/ytc/AKedOLT9IPm06qAr-d0ljPOvnqRe9ITv_MAmYw9vqg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx6x6JrA8oHl2vlqBl4AaABAg,Amazing recipe  ye meri mummy bhi banati hain...,7 months ago,Afsha Shahid,UCt5miu1ojI9VBCszGf9v3YA,0,https://yt3.ggpht.com/ytc/AKedOLR5GDxjXZdozosFYPJiFV_9Uxg4Iol1MTyTsg=s176-c-k-c0x00ffffff-no-rj,0.0
