cid,text,time,author,channel,votes,photo,heart
UgzX4gC7btyqten-L0V4AaABAg,Hello  ma'am  gulag gaaman tut gay how to solve.,4 weeks ago,khyati Sharma,UCpnEd4d3UtaPBvT6TnfUJeA,0,https://yt3.ggpht.com/ytc/AKedOLTLHHdfllv59No8rUOV5TfjxoAprVw5hFiovw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyG1RiPn37QOpkHbOp4AaABAg,humare bangal ke garb,2 months ago,SS BRoTHER,UCcUkOtLAf7ptDtEi91e_r6g,0,https://yt3.ggpht.com/SvmsLjoq0Zn5NHZ0aEE_wmeoopk7QFDqY-SpLv2gb-HU3t-FVn3eMrscOCi1hyfW9OeUzIz8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxHdr-PaG-k-xaKSQ54AaABAg,"Thankyou ma'am, LOVED THE RECIPE 😀😋❤",2 months ago,Harpreet Kaur,UCjfBGGMRlp4Oq7cSV8wLZaw,0,https://yt3.ggpht.com/ytc/AKedOLShnHlsG6AMEkbHq0NdNXuuuVpbRyWT9fasySfylw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOBucfXmVwEb7IeNN4AaABAg,"You are my best chef mam ❤
I like it😋",2 months ago,Srishti Choudhary,UCNp9xxuFyCXRwd51k1X9FyQ,1,https://yt3.ggpht.com/Xsuxa7Mus828V5p5Hl7tNmrVycCjr8CSs7rdIszLM8I7Ll4SnTEUFMYWreY7mFc5Y8r7dcBBgJc=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMEQGlVTcLYOpnwxV4AaABAg,Namaste Nisha ji next recepi aap chamcham banaiye,2 months ago,Mukesh Gola,UCL3a4oVvVluPwOtcEIOdlEA,0,https://yt3.ggpht.com/ytc/AKedOLRjxjSzJrbmq94QltXnWQdaJyOrTwzU8jYoXUmP=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBOA4t83B2amsBgJp4AaABAg,Yummmy,2 months ago,Pooja K,UCnWWk0ifRvEuntyveelsyQg,0,https://yt3.ggpht.com/ytc/AKedOLS066-VMyQLYLf53k3vSvA5WxmYIeSCrG7h8w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugww2ltt62zYM42QWjF4AaABAg,Mam 10.12 saal pahle me aap ki Google par recipe phadta tha. Aaj you tube par dekhta hu👍👍👍👌,2 months ago,Aasmohmmad Abbasi,UCpBPoK7JkFjCS-q7b9lzhpA,0,https://yt3.ggpht.com/C3yMQcF4ekJBoL7RKKYxTjZa9d71BcjPkpYgjUSOqWSJt2wAf_LRwSwm29uLYouC3wUAZ4Chhg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwUimVYauzQKbvKqQR4AaABAg,Thankyou mam ❤️,2 months ago,Md Shoaib,UC4wxnf8A6PironvTCf8jpdA,0,https://yt3.ggpht.com/ytc/AKedOLRZv3tSVcVCYnlq_b_JJjVuU2LCmrjxXWX8ww=s176-c-k-c0x00ffffff-no-rj,0.0
UgwDX9We-Cgrqk4hUnd4AaABAg,Thanks mam,3 months ago,Banty gaming,UCMuMS7TBPnjTVqHkJhbnXeA,0,https://yt3.ggpht.com/ytc/AKedOLTxukbPKqka0sr8WKRvGBnSxGxS_ZfwNErxQH3F=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4JD1kSSpQW7i26Il4AaABAg,Mouth watering😋😋😋,3 months ago,pushpa kumari,UC0jDC5r0bJPdDrH7MXJsuRA,0,https://yt3.ggpht.com/ytc/AKedOLT7rFmC_ZAbg55YIFeQ_fiIciSdckxL197fghTO8DaNpmoV2Xmgf0i3t9pMZlAq=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZOU0ioap1_ka02NJ4AaABAg,Acha hai Madam,3 months ago,AERO BEAST,UClnRAk8at-h0-aKLh7bAozA,0,https://yt3.ggpht.com/ytc/AKedOLTket4_1h918DSyUNtGp9GONv9oCQydAlQupHb1=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvBGiNH0GxFYUAbU54AaABAg,Main v try krugi .. soo nice 👍 yummy,3 months ago,Babli kaur,UCoLfAeiyI112FE_ttn6C5Qg,0,https://yt3.ggpht.com/ytc/AKedOLRYrBNsiR6DOUsThRNcIkyNwUR8pLa9LposHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyGxZDzXMltBCzQJx94AaABAg,Bina mawa k nhi ho sakta kya,3 months ago,Bhavnasah Bhavnasah,UCZZubRTTA4HhfZ_s7QlJnDg,0,https://yt3.ggpht.com/ytc/AKedOLQjhCAZbh1EmRfBDQsRuijWATeDO4AWSi918Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxFXLT10cLh_BEpFp4AaABAg,"Your recipe is absolutely brilliant and you share many great recipes, thanks for this.",3 months ago,Jyoti Kumari,UCAw6xcPrvh_IfB7OkvQorNw,1,https://yt3.ggpht.com/ytc/AKedOLQGxuLhLtePt0tAUVvRiybiOKHOB2v5frc5yudy=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx7rxn8jaB0NDOjHKl4AaABAg,Nice 👍😘😘🙂,3 months ago,Madhvi Tiwari,UCZgYYj4svGDbxudbJTQz0xw,0,https://yt3.ggpht.com/ytc/AKedOLQ881b7XScYk5juU5HQNOx5gTHlPowXBn_Hq4aN=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz7dS7e-RP1ZHY5rtZ4AaABAg,Nice video 🇮🇳🇮🇳🇮🇳,3 months ago,neeru Singhal,UCuHgnVeIxOXLZMihJP9pGmw,0,https://yt3.ggpht.com/ytc/AKedOLTsMmA8X3l7OsWECZdbkwimIKaenxZlE-D6ZA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwhfW5Q7BEQSWtbXGV4AaABAg,Mast recipe 👌👌👌,3 months ago,heena bhatt,UCFnfB-OTQf2S9UR3hF_13gw,0,https://yt3.ggpht.com/ytc/AKedOLSxrOVmCTyNt0Qi2lNFmHVXDGkglau0yMTxOg=s176-c-k-c0x00ffffff-no-rj,0.0
