cid,text,time,author,channel,votes,photo,heart
UgxSNitLtKWFa-YG-mx4AaABAg,Bahut badhiya ma'am,3 months ago,Lets Cook 🫕,UC6vqvS_CG1B3_eWLtKzVTAw,0,https://yt3.ggpht.com/PpxSKqz1Bs8fNR-uN4ftsuifP_LjjUo8E2N6Ece5jpi4Re2XyHoIcDDYbTuYYOExsXmkbebb2g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwmFkCdL32nul02grh4AaABAg,Bahut hi badhiya receipe....aapki sari video bahut acchi hoti hai...m your big fan of last 5 years 😊😊,3 months ago,Mithilanchal Khana khazana,UCYR1-NucqA9w7rtpBV_Q1JA,0,https://yt3.ggpht.com/Ket9v-35LjUFL3Ujpu-Lf-XTeyClu3UxDtGZ0EC3F8B1SX6Miuu-CeYKw_eAyN9p4Im8nVwp3QY=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2GuZOqZjt1P0emZR4AaABAg,Very beautifully explained,3 months ago,Khushu cooking Channel,UCjYys-WP0kWApknUetibo7Q,0,https://yt3.ggpht.com/ytc/AKedOLSjAobgX73o-opBMhhioalzvc9ML56wpXlLup9XPbXQVAxJ_G1NZEtN6EkXznYV=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHbuXfOvErqhCOHAN4AaABAg,"Mam. Adding chopped onions, ginger while sauteeing and adding a pinch of hing in the curd will enhance the taste so much.",4 months ago,Srividhya Rajesh,UCA1-WPEGPctbI52IVKTjxOA,0,https://yt3.ggpht.com/ytc/AKedOLSWC7o2zmhBF6V3_m9Ibbr-Uxy_guVsTEMEjA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEVU9IigB4R1vOvkp4AaABAg,Best recipe mam,5 months ago,Jyoti Tiwari,UC-ODy2PLVAa3fYBxCP_ZB_Q,0,https://yt3.ggpht.com/ytc/AKedOLTb5SaZ2ToSozgG98y3EEJxqP9UoRJvMKzxFw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBuNRzpaFJAKc_9RZ4AaABAg,Kya baat h mam,5 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwm5zrCmF8WoE9UmrV4AaABAg,Beautiful  recipe,6 months ago,Jyothi S s,UCCpzDvsaCrDfd3lj0HDRHPw,0,https://yt3.ggpht.com/ytc/AKedOLSNQFoPCpue_GBrZsOE_e0XSrf2K5heM5KpFQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRvgOGtTAgpufc29l4AaABAg,Very tasty!thanks.,6 months ago,R P,UCHHejcOIYJCEbbQp-fE7yqQ,0,https://yt3.ggpht.com/ytc/AKedOLRW_eEUyL4falzN5e_QX9Vvftegahh67Ba7qw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQ9x6hnklIvn0Ty7F4AaABAg,Mam you are so geneous 🥰🥰,6 months ago,Shubhi Tiwari,UCntDsuO5kY_4sUxxsfKaCzg,1,https://yt3.ggpht.com/7LBOHSdSPOO2DEnz-im2VgLyrthbCEdHzaT-FzgCIHYPDBZtnetG4nYEllZIfu0wejaS8WTFmf8=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfKvycEJT6TG4ndeh4AaABAg,Very nice recipe mem 👍👍👍,6 months ago,Shital Shailesh,UCvJHWT36n0yS_m1JOvfv0eA,0,https://yt3.ggpht.com/ytc/AKedOLQvajt5jCir5EMQ0_5gM7FDhEZd77XL-f9gAA=s176-c-k-c0x00ffffff-no-rj,0.0
