cid,text,time,author,channel,votes,photo,heart
UgyVp5dt07fv21WHkeR4AaABAg,Inko kitne time ke liye store kr skte hain ?,10 days ago,HOW TO..??,UCKAIQw2-L18mPGCw06DmBkQ,0,https://yt3.ggpht.com/MdafHl6ARoaFc4yYLKICCXOb4eLEsr5sZgdeYqXQMl7w0d_xy2rjOmy1Lh5qUqKFj5QUK9At=s176-c-k-c0x00ffffff-no-rj,0.0
UgyqfFiqh_m0WCU6Vst4AaABAg,Awesome,4 weeks ago,Divya Alok,UCd7um5BJATQBvTfNAPGvRhQ,0,https://yt3.ggpht.com/ytc/AKedOLSdPQCvWlpTyjAMBiFtwKUpzIurV9ddwd6u4MNVPg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8BFH9xabwNEcKi9V4AaABAg,Jamnagari ghugra recipes sikhaya,1 month ago,Shreya Mehta,UCRiyhIghBLcCMuFfT-X5nug,0,https://yt3.ggpht.com/ytc/AKedOLSdIwPWV1Vo5qvdQRh4vV2lxUjH9vBZpnLpow=s176-c-k-c0x00ffffff-no-rj,0.0
UgzFN2RWQpJtkspahXd4AaABAg,Yummy 😄😄😄,1 month ago,Shreya Mehta,UCRiyhIghBLcCMuFfT-X5nug,0,https://yt3.ggpht.com/ytc/AKedOLSdIwPWV1Vo5qvdQRh4vV2lxUjH9vBZpnLpow=s176-c-k-c0x00ffffff-no-rj,0.0
UgySlYDVWySf0MKELkF4AaABAg,Maine pani wala gur use kar sakte hain? Nalen gur khejur gur istra,1 month ago,Babla Das,UCpEmxHWQ3JQFNHwbIHbKYew,0,https://yt3.ggpht.com/ytc/AKedOLSlvGpTYjLuCZPXwKtA_9GIeg6uNLaj3pAESQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxWN_YlglTtlJyYZoJ4AaABAg,🙏🏻🙏🏻💐💐 mam chini se bna Sakti hon...,1 month ago,Kerti Mishra,UCiUQnGLB6w6eSyyyIZvVuWA,0,https://yt3.ggpht.com/ytc/AKedOLRRQvPDNtQ9A7Jm4aeAsRJcjKMoSpZZ-OiEUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyptTPwGXmmGUYxPDJ4AaABAg,Maine try kiya test like wow and easily ban jaate hai thnku mam lots of love 💓💓💕💕,2 months ago,Komal Shukla.,UCy1Ar_szkU3_OF1c56sva-Q,0,https://yt3.ggpht.com/ytc/AKedOLTwplz5IMdMCVKIyZ7nrXio04FPGnUqPbxrolx9eA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBuCkFGnDOysU6RAh4AaABAg,thanks  mam bhut ache h dikhne me or khane me or jyada ache hongye😋😋😋😋😋,2 months ago,Mansi Bhardwaj,UCK9qQj91cdg1PV6l1FyyBBQ,0,https://yt3.ggpht.com/9Pd1yAkuX3zwY6vBsoYAJKxcvc5A5aoX9myU6V7kJ7229GHcmQbpGVkqMpZR0zqVW_ADuJ4eeg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-f0cDngVZYivg6d94AaABAg,Wow ❤️ you replied to each and every one on comment section 💛💛big heart,2 months ago,Shaurya Mishra,UCgl-OjkBr64YXXWdX9DeOKQ,1,https://yt3.ggpht.com/OsoMtmv9ZqGvRQ3xGK_gXC7tjoO-B43BBEwGvZdFWZaUB0U8xuKex9ga47K4536WadPVp9yGww=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKUPpj_xnX4XolQQd4AaABAg,Mast receipe mam 😍,3 months ago,Dolly Shrimali,UC-POGNjpvVCxtDINVX1R9wQ,0,https://yt3.ggpht.com/l9dJP5XX_VhWDo-kvsZFX8U90x7y8YyV2y1UDgT8916HhAqBrd_esMQxIGuwHRqD5hSN1LMaBA=s176-c-k-c0x00ffffff-no-rj,0.0
