cid,text,time,author,channel,votes,photo,heart
UgygGfgi_MwZqgh-LCB4AaABAg,Nice👌👌👌Thx Aunty❣️❣️❣️❣️❣️,5 days ago,Kalpana Jawale,UCSWackRujTaZCzZ2OrHqgxA,0,https://yt3.ggpht.com/ytc/AKedOLRCxNLlGw_llg8gakyZ5vMrksnBqvceIY5DGQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxlu-YZmoUTVYVx64p4AaABAg,Mam kya ham kharbuje ke beej ke badale tarbuj ke beej used kar sakate hai kya,11 days ago,Puja Ragit,UCFXq8tTok_FgkKFYMNKPj3w,0,https://yt3.ggpht.com/ytc/AKedOLTV2EhjBhRIxWidTQzJ750UPtxNSz1Wdl_qK-TF6Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwex0bYGSHu21tG1Hx4AaABAg,Nice,11 days ago,Nancy,UCyl3rdNMNYYRbtswPkrbxgQ,0,https://yt3.ggpht.com/lOXqNHbtjG53_L0q-S7IhPz9CRcZzAj0ohVpUGl6e31ws4seUKhDYv9t66PVqgpzB_9cuIc1Cgs=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1at7UbDG8qUDlTv14AaABAg,Yummy...,2 weeks ago,Mahnoor's W0rld,UCt5toUsF2e4Y5arMFrOBHEQ,0,https://yt3.ggpht.com/ytc/AKedOLRnfNaR66uXp-Ij3HuMdefZw5khG5VsLdqVEan0-Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz_jMweob88aW1xmNx4AaABAg,निशा जी हाय मुझे आपकी जैसी भी बहुत अच्छी लगती है वह बहुत पसंद आती है ऐसे ही बताते रहिए धन्यवाद,2 weeks ago,Ashok chaturvedi,UCdSoFcsRl4EmPNT5EixXvwA,0,https://yt3.ggpht.com/ytc/AKedOLTwOVpa_Bzss9n7xZ2GOKQGB17vFCKR95nmTdOGfF2jnIgH7KMNiexKrqhl94EN=s176-c-k-c0x00ffffff-no-rj,0.0
UgzY3x_tA-2FGvpjCTt4AaABAg,Mam 👍💯,2 weeks ago,Devil gaming 777,UC5GnpAMOuW_yWlvb4WdFKNA,0,https://yt3.ggpht.com/ytc/AKedOLQtzmEgCGqg5aWUAGt2GOaOgWdwSwCImQpSKJIJ8HMRLmWOhUfHClrAQ7l4cqyw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfzxF9qJXxocT042J4AaABAg,Looking yummy,3 weeks ago,Bilal salik,UCsyOom1RI9wydQpt4f5wFpQ,0,https://yt3.ggpht.com/GTiZl9hzOU7WSzlQbmRZkP2kdwQv4tp33So8CWhg8Zd1JE7rJIgBM_Z78_67YgT3pgDt3DDI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-fpKNkfRzOI_Jofd4AaABAg,Bhut hi badiya ma'am ji 👌👌aapki vidio har roj dekhti huin pl ma'am mera beta( suraj panwar blog )ka यूट्यूब chinal pl laik share or सब्सक्राइब jarur kigiyega 🙏🙏,3 weeks ago,Tyson Vlogs,UCp_N0KSGYvO9cur6RXF4kDA,0,https://yt3.ggpht.com/ytc/AKedOLQAu7QOssr2Ghh8I96TxRJvqJ4Z38i3vTe45KVevQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzaq6sF2ESEWKfBaZR4AaABAg,Baht accha laga.!,3 weeks ago,Adapa Varalakshmi,UCO2613UX3h4Ji_6KO8abZzQ,0,https://yt3.ggpht.com/ytc/AKedOLQ1G7nAPO8Ljc4pVOWWYatLPyGfJD8GdX2hgw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwlKD4m1xOhlj8JyYZ4AaABAg,"V nice n easy method. Thank you, I’ll try it",3 weeks ago,Manpreet Singh,UCYuWjm0i-oyZR512DiICFnQ,0,https://yt3.ggpht.com/ytc/AKedOLQD7ahiU3PA-_ENtiptoNfUPfLHt47y_XLmOw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyPpxzUUrROFlhEwOl4AaABAg,Very very yummy delicious 🤤 👌👏👏😍😍❤️,3 weeks ago,Hamida Patel,UC9SmOV4JJsyTOPkcdpqcy9g,0,https://yt3.ggpht.com/ytc/AKedOLTNHrJgUObi3c1gzCn9UtuwAtjOm7QGFHk0zw=s176-c-k-c0x00ffffff-no-rj,0.0
UgysiyLFAozB7-pULSB4AaABAg,"Aap ki saari recipes badi achhi hoti hain, mam",4 weeks ago,Anirudh Mahajan,UCS2qoSPBXBDefDUM2xf0BJg,0,https://yt3.ggpht.com/ytc/AKedOLRA2CFkhR_VwJlsLIwsoZ7qPJWvrALfn3PfCQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZPEhrX7ECfjgr1D14AaABAg,Testy,4 weeks ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzmfS__4k3ozF5XoNB4AaABAg,"Wow nisha ji bohat hi tasty ,or alag recipe thi ,v nice yummy yummy 👌👌",4 weeks ago,Archana Mukherjee,UCmmo4PShlcepUK12KAxT4qw,0,https://yt3.ggpht.com/ytc/AKedOLSpr7KY_DqJ3jTS2oBN-TFs7uyN_F6pWdTcx2pRmg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx3Uc9LA29yXPUPQOR4AaABAg,Thank you mam Besan ki Barfi perfect👍 Bani hai❤❤❤❤❤ so yummy😋😋😋😋😋😋 Thank you mam,4 weeks ago,Archana Heera lal,UCJyae4LBscV7M_D9f6krvEQ,0,https://yt3.ggpht.com/ytc/AKedOLSf1SaChmKd0twC7AuRD0k1MzRkJVAv_KwzfQO2EEjHMCQXknLPhYCTQcfTaVOx=s176-c-k-c0x00ffffff-no-rj,0.0
