cid,text,time,author,channel,votes,photo,heart
Ugyvcc0cXV5LErRrYzl4AaABAg,"वाह सिस्टर बहुत बढ़िया तरीके से बताया।
आप अच्छे यू ट्यूबर बन सकते हैं।
लगे रहिये।",8 days ago,Pankaj Bhagat,UCtt2x6pqFj9KfHL8NJZgpIg,0,https://yt3.ggpht.com/ytc/AKedOLQXiVD7HTKllPLerqqh_DU95zDvA-Jj2f45wx5ZXw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugywr-ZG3Xb7fmVA79V4AaABAg,"Namaste mam
Kl mene aapke btaye tarike se bharwa parwal bnaye the jo ki bhut hi tasty bne mera fast tha or mene bhut mushkil se apne ko roka husband ko bhi achche lge
I will try again for me 😊",8 days ago,Shalini Aggarwal,UC2mo-lo4arHMdkoMRymaOFw,0,https://yt3.ggpht.com/ytc/AKedOLTPdKXRd7rYmgxOQb4uqOWV9dMKTy1q335lUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLluB_tbdhUdHqJE54AaABAg,It was Okayish!,8 days ago,Chetana Agarwal,UC3awQDS-oD8bhE1L60K67vA,0,https://yt3.ggpht.com/ytc/AKedOLSfI1HCGE0wD_phPDAGB9bqE2-BM7UEOWX4YNjmgHk=s176-c-k-c0x00ffffff-no-rj,0.0
UgyxbuzrVoN4L8lDpzZ4AaABAg,Superb,10 days ago,kirti bajpai,UCUQSQClG5WHv2Z8Y2-a11jg,0,https://yt3.ggpht.com/ytc/AKedOLTrV68GrmKP4FkIMb9536c22Mn_ARuUiphNqsO7Tw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5Qq9wbhqRhoB8wrR4AaABAg,Mam bhindi ki racipi bta dijiy,11 days ago,Chhaya Singh,UCAygfBGrwGNODQVDNBvNm3Q,0,https://yt3.ggpht.com/ytc/AKedOLTjvM6hqgsLh3l-FCy-Uej9ZPC0DjW0odRvo0VKQQ6O-rNMnVAtkURRx12JyS6r=s176-c-k-c0x00ffffff-no-rj,0.0
UgxsrMjXEg8Xry7_sC14AaABAg,NYC,2 weeks ago,MD ZAHID,UCaSW64NUN33scbA4TKomg1Q,0,https://yt3.ggpht.com/ytc/AKedOLSg4XTaWCaGzH72AEQTBPJlTthV7TrWO57qYdxNErjZh7Kar2saPGDpJOvgzY1g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxOGEmT9OOr4OcZakd4AaABAg,Good recipes thanks neesajee,3 weeks ago,jigyasha kiri,UCGpgbFhn9bClA-TxskbHwGQ,0,https://yt3.ggpht.com/ytc/AKedOLS8lKbv5mScEowQ3c3iayLryX0aRMrweIRaB1X9VgFOyua6EvdhUfUlHUMiTXTU=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaTfDewQx-7k_v5qV4AaABAg,Lajabab,1 month ago,singhusha Singh,UCRXgNer8rMcUJycgk3W35nw,0,https://yt3.ggpht.com/ytc/AKedOLRtSihQzeB1NH6thR6lu8QS9Xa_oqmIma70nQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2R0Yr8eO9s25q-wB4AaABAg,Mam apki har receipe bahut lajawb hoti hai parwal bahut acche bane hai thanks mam,1 month ago,Manju Srivastava,UCFSDizWnTTiL7xY5W2eVGRQ,0,https://yt3.ggpht.com/ytc/AKedOLSm0XTX0MrRU84eGxwMvuVgMLQveD1H4NongA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyX_EDsx4t7UpSKJQ14AaABAg,Happy republic day,2 months ago,Shobha ki Recipe,UCnODis25Wa24_BYsDx2K_QQ,0,https://yt3.ggpht.com/ytc/AKedOLSNzqilbExwl9mzhwoDTEswaO07r7BhFCe6V7LI=s176-c-k-c0x00ffffff-no-rj,0.0
