cid,text,time,author,channel,votes,photo,heart
UgyaviLacp5OKgbUtPl4AaABAg,Aap kaha rahti hai,5 months ago,BTS ARMY IN THE WORLD,UCiqJR6lG7TUD6CadtyKVJnA,0,https://yt3.ggpht.com/uTvgjsTiYKZLDm4sisUzV5r9cZ19J6CkcBet5nTdim9odMRToCVPBh0tuBi6GhB8XerCESeorA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzyg3_QWlZC5ZOxjH94AaABAg,Mam khaskhas kya hota h . Iske jagah aur kya use kar sakte hai ?,5 months ago,Ishika Malpani,UCALoRfrIw8d-81KtE_9Pl4A,0,https://yt3.ggpht.com/qRogX0StV87xvrArwgtUHxXABs3w6Q-3Mf8aZt0nD6yCHlXdPWeXKlau1KdHMGtUAnBybkpyQoM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2dW1cYYLo-6M-LNR4AaABAg,Wonderful ✨😍✨😍✨😍✨😍✨😍✨😍✨😍,6 months ago,Rajni Rani,UCwf7l2zm812nbY_xxeY2e9Q,0,https://yt3.ggpht.com/ytc/AKedOLRpYFMeufDg5gkEMFM1ga-Jq8Cc7MjMOO-N8A=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqIqBrUs1QJvtsACd4AaABAg,Mam khas khas kiya ho ta h,6 months ago,Rafika Nisa,UCQXcht7rpBXB_evy8ZTfepw,0,https://yt3.ggpht.com/ytc/AKedOLQo-vyCwOA4l-I_eLYp3KtkO6wCfh7RnNZ01A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzy2-baAeOZ_HSC5Cl4AaABAg,Wow thank you mam,6 months ago,Yummy Tummy Cooking class,UC4-ti34PDkhzc-Uf_dM5sGw,0,https://yt3.ggpht.com/jx1Ejo6eeYi2UHGm0Nm4zu7kM4ckAQrww__GRqO85QyRFkSZZiu3JANtgH5W8qpD9pHK5tdVKg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjfXBzwHVvy1H3csx4AaABAg,"Wow gazab👌👌👌👌
Stuffing ke sath modak,,,very very amazing♥♥😋😋😍😍",6 months ago,SONAM SINGH,UCz-GQFrZHDhh6zMlyaFz-xg,0,https://yt3.ggpht.com/ytc/AKedOLSRAjE_lk3p9QBVQFgkRIakM37Vgqwa_N8YuQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyEdZ7-d99UWhg9tNZ4AaABAg,Aapki sabhi recipes best hoti h,6 months ago,Shaheen Sheikh,UCASjFpNJDJxuSW1EfAiShxQ,1,https://yt3.ggpht.com/ytc/AKedOLSdu3LRQc4Txk-fGaXM_BrdAHCQAll__rWqaX0G3OrRVtvAGcSQanU2Y14rHP0A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-62oyH7t-minc22p4AaABAg,apke videos se inspired ho ke maine v start Kiya h .. thanks mam👍,6 months ago,Tanu Manu Style,UCw9yHIGYRUwsInSyz6tINlQ,0,https://yt3.ggpht.com/1dPrYCmT77Te2h9fZvrlyOZiXx5yyA96gpQgQPi4NwDlJywQ_7ALBjpHrUzQ0fzCLFsHwl4cxVY=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDD-8RuzaY8s-Zdxp4AaABAg,Kya chalni jruri hoti h kya eski jgh koi or opinions nhi h bhap me pkane ka,6 months ago,Deepika Nayak,UCJxES1i1SD_pQHOQ1D0JERA,0,https://yt3.ggpht.com/ytc/AKedOLREd_i1Kmq9hQ3D1LED65T96b8h7jWS-MzXhQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaYWB5liKblPKEGax4AaABAg,Very nice,6 months ago,Anuradha dixit,UCyK5qXCllNFcebZX3u6Xn0Q,0,https://yt3.ggpht.com/R-pZiA-tnC5nxuL6ZiyMgtZMUuvYrXkYJIV2vS5rqXJ4mq4Mi-b6L4nT3kHlgedt_zV_GcAp=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgTQsgGfW1rY0n0MN4AaABAg,Mam sukha nariyal le sakte hai,6 months ago,Cook With Akshika,UCWf56INTD3RV5JRzWH63K2g,0,https://yt3.ggpht.com/DOalXcXMPGhcounkYDM73koOtxF-DJ5JoXcr8ljwu-sx3GW9bPxQz1GuM-SF9MzDxgocxIZ_zmI=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHq8WjSgzBTcIsgVx4AaABAg,Very nice,6 months ago,𝐒𝐇𝐎𝐑𝐓 𝐌𝐀𝐒𝐓𝐄𝐑,UCwlUywpFDgwOKu1v_qaK-wA,0,https://yt3.ggpht.com/M0F0AoUBzcgeix_n0Wy2UKOc15iYn8pRu6R7ofVt_NCPuRhYiUR__vvQYE295VMm0Yyvzc96=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLjyIrRkznIkTba6F4AaABAg,Aap soan papdi bnana btaiye,7 months ago,Ritika Srivastav,UCFA2o9jBv5SdYCiO7zr42ww,0,https://yt3.ggpht.com/ytc/AKedOLRYgACLjMlkOXaqeE0x2Edj2AN_01moowXIDA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9s4DFIbsSCrw3LiR4AaABAg,Very nice,7 months ago,Kamlesh Chanda,UCZ-r2mB3jsYRMyVQUwnCJqA,0,https://yt3.ggpht.com/ytc/AKedOLSQhiia83iWuFl2RSu-s9XwJtqrm2t7K7JiaQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwslScy3QjFksOfnwZ4AaABAg,"My modak got dry the next morning 
What did u do wrong ?",7 months ago,Madhu Uberoi,UCf9xVUfBkvEKo61pNypQRzA,0,https://yt3.ggpht.com/ytc/AKedOLTXlOmoFydZaX75TiUBK148MbCFLrUKHLwWdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMog7o0mKBVwprhqF4AaABAg,Thank you mam,7 months ago,Chandan Pradhan,UCRAeovYA_leZCanij60VQyw,0,https://yt3.ggpht.com/ytc/AKedOLSW-jyKpeg4Put9sVenx65RmFz06g2Bc_ykFKTNCA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzi9xdvtfkEt4-2fhV4AaABAg,NICE RECIPE,7 months ago,सईज् रेसिपी । SAIJ RECIPE.,UCucXIKaLqHvyQgp_HzU0QOg,0,https://yt3.ggpht.com/D2IEtGhUoezzcLaTFAFQTcNXRcL2mQGc2SNNPC1nA73CMS8fbmvn6Kc_o59dtLUqwrGorpbI=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhgF07vBpMN5KJ76R4AaABAg,"12 minutes tez flame pe..
Tez flame pe burn nh na hoga maam❤️",7 months ago,Gunjan Singh Rai,UC4z7FMjwaj7A207UUUm1fUg,0,https://yt3.ggpht.com/ytc/AKedOLSKqRWmq7I9C9cA8u1ZI1fmJJyMsxCCPnGslA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxtNT2n6LpmjCI47zZ4AaABAg,Yummy,7 months ago,Veena Devi,UCB9rCjVk1SAFvo6njbg7dCQ,0,https://yt3.ggpht.com/ytc/AKedOLT2o46yZjCv3CeHDA2D2j35PUzks9do8iKJOBoVttI9mLjqB5LPKhxeS0tS5I7r=s176-c-k-c0x00ffffff-no-rj,0.0
UgwzFP4JllAMx7Ia0WR4AaABAg,nice,7 months ago,Gharelu Khana,UCZeLuUEGhmTH6Ok-xIopoXg,0,https://yt3.ggpht.com/ytc/AKedOLTerIRh_kNqozQO5Q-Z6pti7nO2jhYKSiik-jaT=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaviLacp5OKgbUtPl4AaABAg.9U4xUdkvK0s9U6Q1cBmvHs,"swami Aarti  , Main Noida NCR main rahti hoon.",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzyg3_QWlZC5ZOxjH94AaABAg.9TsH3Zp6gH_9TujVo3Xqzf,"Kiran Malpani , khaskhas Posto, postdana, Poppy seeds ko kehte hain. Yeh grocery stores par mil jata hai. Online bhi. Khaskhas ke bare mein humari website ke is link par article dekhiye:
http://nishamadhulika.com/1916-khus-khus.html",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzyg3_QWlZC5ZOxjH94AaABAg.9TsH3Zp6gH_9Tv05kh8fnc, @Nisha Madhulika  thik h mam ... Samaj gaye,5 months ago,Ishika Malpani,UCALoRfrIw8d-81KtE_9Pl4A,0,https://yt3.ggpht.com/qRogX0StV87xvrArwgtUHxXABs3w6Q-3Mf8aZt0nD6yCHlXdPWeXKlau1KdHMGtUAnBybkpyQoM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2dW1cYYLo-6M-LNR4AaABAg.9T9jJkUtavS9TBEYOGLdIH,"Thank you very much,  Rajni Rani ",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqIqBrUs1QJvtsACd4AaABAg.9T4S4dWOVi49T623iBS3ii,"Rafika Nisa , khaskhas Posto, postdana, Poppy seeds ko kehte hain. Yeh grocery stores par mil jata hai. Online bhi. Khaskhas ke bare mein humari website ke is link par article dekhiye:
http://nishamadhulika.com/1916-khus-khus.html",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzy2-baAeOZ_HSC5Cl4AaABAg.9SrtHhWiBt19Sru9LYK2yP,Thanks n welcome  Yummy Tummy Cooking class,6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjfXBzwHVvy1H3csx4AaABAg.9SbgOQlpPGX9ScDUIBW33i,"Thank you very much,  SONAM SINGH ",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyEdZ7-d99UWhg9tNZ4AaABAg.9SW9NlzINpT9SWDdeuNkCO,"Thank you very much,  Shaheen Sheikh ",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx-62oyH7t-minc22p4AaABAg.9SR-H49j3Pf9SR-WbLUsRl,Thanks n welcome  Tanu Manu Style,6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDD-8RuzaY8s-Zdxp4AaABAg.9SQlbYKJDGU9SR6k8vzU52,Yes Deepika Nayak chalni zaruri hai steam krne ke liye. Ya phr ap steamer bhi use kr skte hai. ,6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxaYWB5liKblPKEGax4AaABAg.9SQcpr-X9eZ9SQdY_OEfp_,"Thank you so much, Anuradha dixit",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwgTQsgGfW1rY0n0MN4AaABAg.9SPLEU6Vu6h9SQHxubwXJ7,Yes Cook With Akshika le skte hai ,6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHq8WjSgzBTcIsgVx4AaABAg.9SOTvIPIfLa9SOUTyaJW4v,"Thank you so much, NIRANJAN GURU",6 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
