cid,text,time,author,channel,votes,photo,heart
UgxZ6-62SaUyoVFwh_F4AaABAg,Like  very nice yummy Tasty Recipe stay connected,4 days ago,JYOTI KITCHEN,UC9ol2OV3T1GSvYsP6uKhCOA,0,https://yt3.ggpht.com/ytc/AKedOLS5S_yk0neLNf4TGH5bQy_fuTKjCY5VwHoCGN9-=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz2OO8yW5N6OhvnXG54AaABAg,Good👍💤🙏,4 days ago,Asha Sharma,UCnUjKUfFB5Ivm7Y-u6KqrxQ,0,https://yt3.ggpht.com/ytc/AKedOLSoox5JiaoRm8OtE0F3CD3fRzltKRv_NZof4g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxy3afET_eGYTc592N4AaABAg,Just now I will make this. I did not want a besan or maida namkeen and found this video. Lovely looking sev. I will update comment once I make it. Thank you,6 days ago,Sonali Pal,UCyXMzESCNkc4skaIZo30Xxw,0,https://yt3.ggpht.com/ytc/AKedOLTowTySmEv6PJ37mqn0KP-inMzOMteZiWyF0v5dULk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyiearz2c7fHjQGaE14AaABAg,Mam ghar par besan banana seekha dijiye...,2 weeks ago,Mahnoor's W0rld,UCt5toUsF2e4Y5arMFrOBHEQ,1,https://yt3.ggpht.com/ytc/AKedOLRnfNaR66uXp-Ij3HuMdefZw5khG5VsLdqVEan0-Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwfbss996HwLQHmuqF4AaABAg,😋😋😋😋😋 love you maa,3 weeks ago,Jyoti Sharma,UC5Tevwf56kXnhImACe7jRmQ,0,https://yt3.ggpht.com/ytc/AKedOLQ4i9uF92vb-BttzgDSVRLtGwAEwYvQd8d9Vw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5nrWFw1Fo32TH86l4AaABAg,Very nice 👌👌👌👌👌 mam.apki har recipe bhut jada achhi hoti hai ap samjhae bhi achhhe se ho Thanks mam.,4 weeks ago,Rinky Nirala,UCcovFv-P9vvGp_-twrOKMwA,0,https://yt3.ggpht.com/ytc/AKedOLTmBIBi9v8kVE-UEvEBb0DfDKF68YiytIzO-g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwbC3weOPv4136yY694AaABAg,"Turned out to be tasty and crunchy, but their texture is oily :( how to get rid of the extra oil?",1 month ago,Megha,UCoOG4iStd7wTyzFIanlxZZw,0,https://yt3.ggpht.com/ytc/AKedOLTc9tffjVB5up1pAnQY1BtsisqZPIEOJKWGKrkaXw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx5Mt2V_I4C873wiqR4AaABAg,It looks very easy 👌 and tasty 😋 like it very much,1 month ago,Sushlia Mudaliar,UCC0mXuGO5rtMXYCpkgZd2Pw,0,https://yt3.ggpht.com/ytc/AKedOLTC7liL7TgRO4Xbc4pdREtU93n6IbxxUXANJzwi7xPdaMYk700xU5Ee7SmhuhB1=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4Y_UsxbURu54UDrl4AaABAg,Very nice recipe mam,1 month ago,Namrata Mishra,UCJEpBoH07Tx2eHrjB9oW8NA,0,https://yt3.ggpht.com/ytc/AKedOLT9X_coyxBW7tEkX9EDT55KcFugectqVw5qpQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxP_rp6Mzct02TdlSF4AaABAg,Very simple & teasty recipe 😘,1 month ago,krishna behera,UCg_jhdnW7WXuqHqbvFPmInQ,0,https://yt3.ggpht.com/sylbWbwPe7GMuvlyWJG32flfTgYqNjUAA5V9xHXGrIG4lZNgABsxSClJhupB2DCeZHWHUy7JaA=s176-c-k-c0x00ffffff-no-rj,0.0
