cid,text,time,author,channel,votes,photo,heart
UgxfQ2rV3eaKu62o0Ip4AaABAg,Thankyou ma'am 🙏💖,5 months ago,archana pal,UCZbxbBl8Ykqkj_MTPmamApg,0,https://yt3.ggpht.com/ytc/AKedOLQ61WhRip2-tOxpDKUvXsEGfJm-RjbULdZIHg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwXpvPLKcdMeop6Y1h4AaABAg,"Tussi great ho ma'am 🙏
Yamm😋😋😋😋",6 months ago,Shivam Shivamkashyap,UC4kdNQtXNJT01YL5wpqlaFQ,0,https://yt3.ggpht.com/ytc/AKedOLR2RdWCS3mEv44VxnxONh2d38yIJ-Kzxn_Xvg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz76psJsvdyYQbE4sp4AaABAg,Yummy &Delicious,6 months ago,sunil shelkar,UCuxBEU1roYxsUC-CGuGPPJg,0,https://yt3.ggpht.com/ytc/AKedOLQoMEPKn4pS0CTY-7z1D874kosDFLWG19PKNA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjC90RNYncMlXyIa94AaABAg,Wow 😋,6 months ago,Sociology Super MCQs# Digital#Basics of Computer,UCcwYI1SA52IKZWSkMiluDSg,0,https://yt3.ggpht.com/IBgyWrwfftrqXuOLUSMkPlnfSXHNaKZDhQevfT6VglmI_6SUPasnX_Q_mxvDlKx6GMlTAa_K0w=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYUGAufNUbB2YyFdV4AaABAg,👍👍👍👍👍😋😋,6 months ago,Sultana Malek,UCDk3npt1IFZfgzjNAj72q-Q,0,https://yt3.ggpht.com/ytc/AKedOLS4sattCJEosVVzaLD_Dsp1srEKmo5Akf9ElA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuBIOS1tS7ffrqKyl4AaABAg,Really nice recipe! Thank you for sharing!,6 months ago,TheVideomantra,UCRz7AR7n_zpToj08Choz7wA,0,https://yt3.ggpht.com/ytc/AKedOLQd5RC8VzW3YdlHjVbpzMhJS2Z1wKJ6-133eQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqtpNhiYowsWKB1sB4AaABAg,I'm your big fan😍mem,6 months ago,Ritu Patel,UCYVEHC-ijmftazWIAhgPxkg,0,https://yt3.ggpht.com/ytc/AKedOLTEM5He1Tzf1RaWMqyCMM-aHSJWDq66fRFqbQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyidAxInc2zWN0SaON4AaABAg,Vary nice modak receip 👌👌👌,6 months ago,Shilpa Bhaiyya,UCVwMDbFvQw7c1qFFlrl0_MA,0,https://yt3.ggpht.com/ytc/AKedOLS2aQLkvTS0cHW7wRLATSjkzAQQayMQx6arkA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsjuegMs2fk12ee294AaABAg,Thankyou mem aapko bahut bahut danyvad,6 months ago,Reena Ahuja,UC60CD00Q7Q8F0biIKGGuAFg,0,https://yt3.ggpht.com/ytc/AKedOLTv9BsXrhKrBQj7uUPfhEtepTCCYbddTlQleW_5=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyH67a0rcunMBjXqd4AaABAg,Bahut badiya idea . Great mam,6 months ago,Gunjan Tiwari,UCrwfyBwD3Ly19Aot4J_PAIg,0,https://yt3.ggpht.com/iEDsNXsjUoHnWYsDGrZi9TytLuRnnACjK9ARV2t_KAcaylmOb-4yaaWwyU3XKHCEbAW-IweQlg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwwuAAzluZt2c56km14AaABAg,Makha na kisko bolte hai,6 months ago,Zala Ramdevsinh,UCkAQFJr__rHIxQaDvIUsOCg,0,https://yt3.ggpht.com/ytc/AKedOLTiqrYUzsZAT86CjmK_jtWk0Wlj_lS-WwRI_g=s176-c-k-c0x00ffffff-no-rj,0.0
UgztvWqSwf8VsgU0Hdh4AaABAg,"Peheli bar sun rahi hun mam makhane ke Modak,I love it 😋😋😋",6 months ago (edited),Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgytuyEV80OdOJ-PZ-N4AaABAg,Wow 🤩🤩yummy 😁😁,6 months ago,Animal sael parchage,UC79Oubc6pTYktRmWmGI22PQ,1,https://yt3.ggpht.com/2mrNqMcR1uLkAzs96C9721kLDIzpzcv5p3hrCVz8eiTVfaSqA95MrrRptxl8w3YYdIV9QVLU=s176-c-k-c0x00ffffff-no-rj,0.0
UgySVrL3580uhT-gPH54AaABAg,Definately made it tomorrow.,7 months ago,Shivani Patel,UCf25kMVgvTp91Os2DVL2SHw,0,https://yt3.ggpht.com/ytc/AKedOLRMl2t6u9XBZa_DpXDXst3EgFkMNEweCsKorJh39w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy2Enps7M4U2BSCoYp4AaABAg,hello mam aap soan papdi bnana btaiye maine 3time syrup try kiya but nhi bna please jldi bta dijiye ga🙏,7 months ago,Ritika Srivastav,UCFA2o9jBv5SdYCiO7zr42ww,0,https://yt3.ggpht.com/ytc/AKedOLRYgACLjMlkOXaqeE0x2Edj2AN_01moowXIDA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuDjTSQqjZtf7cVCZ4AaABAg,Mam me to aap ki fan hoo....,7 months ago,Minakshi Bajaj,UCjmqgYsj8A-ph_XqqKainUg,0,https://yt3.ggpht.com/hZENVgva7RTLWAaMK0y2FgXBaAmAR-9_G4JtXiEYSs8qPidYZFXvh2wl4zFT7FrtCcP1O5bWOQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzDe5REKjSkXJqHMkJ4AaABAg,Yammy very tasty Modok recipe😍😍👍👍👍,7 months ago,KITCHEN QUEEN,UCZjwU161PS2E0Y5oI9lK-Cg,0,https://yt3.ggpht.com/ytc/AKedOLRamm0V2CXfAeKTJ75m7ajOclAEcGgtdV_Hrx3Y=s176-c-k-c0x00ffffff-no-rj,0.0
UgzhuxAn3CLaRUNshIF4AaABAg,Thanks Nisha ji aaj meena modak banya hai modak bahut tasty baana hai. Meana chocolate drizzle kara aur bhi accha aur tasty hoo gaya hai.,7 months ago,Anila sikka,UC_DrMaBWRHEhqXbNgyZbgww,0,https://yt3.ggpht.com/ytc/AKedOLQbw77ajAMfjGJjOvzHaWqgiWM75kveSp0DJw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzzaKzpax4FZCr3D-x4AaABAg,Modak toh pyara hai aur appki recipes bhi...amazing mam,7 months ago,Shiekh Rafiq Ullah,UCMbhpSsFiKvgdJPL_pwyM-Q,0,https://yt3.ggpht.com/ytc/AKedOLTaSVWykzbvAfRpnAGzn5rgcWPiRQ7wIEk5rkc0Cw=s176-c-k-c0x00ffffff-no-rj,0.0
