cid,text,time,author,channel,votes,photo,heart
UgwRAvf3eleunCDJI2x4AaABAg,Very nice recipe,13 hours ago,Pooja Gurnani,UCV6yN5RsFo8jR8QmJ_SgC4g,0,https://yt3.ggpht.com/ytc/AKedOLTHa4SfKcTzh4Ll6YWr2odOSY1OEnjTR9wQlw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugye33XhWXlMlyOUY5Z4AaABAg,Bahut sundar hai,3 days ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOnVhIUETxjJ8GMs54AaABAg,Tasty 😋 matar 🙏,9 days ago,Simranjeet Kaur,UCF_nJsgdcCcCk3ULjXIPdtw,0,https://yt3.ggpht.com/ytc/AKedOLTzXqP0WoV0nDby1QTanguDkMzNKxtYwmkuNyrPLuBSOzNe1BB1Hd_yG8yLwfHb=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLjzARNhgr0Q_joAx4AaABAg,Superb mam,10 days ago,Shivani Dwivedi,UCIkvh6S5FrrApjsZ98tXgew,0,https://yt3.ggpht.com/ytc/AKedOLRg4SK5W8urPne0YlOHCLNhw8jHzOXH7Rp8jSBVSYfUOjWSNDUBQDKzcXkl2eaD=s176-c-k-c0x00ffffff-no-rj,0.0
UgzBbRpRL0pGpINb0s14AaABAg,Aap ne onion nahi daala ??,10 days ago,Sarwar Jamal,UCZa1J-oFz4byTYwPQge5vjA,0,https://yt3.ggpht.com/ytc/AKedOLRatuv29gVCmFK4QPMFxLr-FTu00P1Pie9UCarMgA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwuHfcbdKRGkAyofrt4AaABAg,Wow mam you are amazing namaskar,4 weeks ago,Puja Kumari,UCZQF9Sk2eds-w0XMTBq2EQA,0,https://yt3.ggpht.com/ytc/AKedOLQ6DUF186IaTcAYHWrX2oxh4cH6rY_n2gEtCFLV3ZfOIYkRt47vJL6m9vp8V7GR=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz8MX3bu9ZcYK9IV7t4AaABAg,Very nice recipe Ma'am,1 month ago,Magdelene Masih,UCWsb5H3s5gyApy32xUR_IVA,0,https://yt3.ggpht.com/ytc/AKedOLQqaEC34m-c7M5xGAzEPAD_wqqncnFiRA10cQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwxTSDQrpIEODE-Idp4AaABAg,"बहुत सुंदर रेसिपी👌👌👌 मज़ेदार  तो है हीनः , बिना तेल प्याज़ लहसुन के बनी होने के कारण सादे, घरेलू मसालों से बने यह मटर छोले अति सात्विक और स्वादिष्ट हैं..बहुत बहुत धन्यवाद ! मधुलिका जी !!🙏🙏🙏",1 month ago,Mishra Kutiya Prabhupuram Swami Pushpendra Swroop,UCEoKFq7wEi1FAsaX7fE0v4w,0,https://yt3.ggpht.com/sfbduivdJOqBCTH4bSmtYrXfw_YHhiE_gPPbBYUJ1LVrpAYgjmTUZ-NZD6BgEuyKQuVgSwubAw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVtNtApzasTNHyC_h4AaABAg,Thanku dadi,1 month ago,Vipin kumar,UCHFv2KVnCkbuJwXlBYgs6gQ,0,https://yt3.ggpht.com/ytc/AKedOLRRi2bf4wwyz9eBeqOqsGGE9ZRkcS-iwQN7jhipWesjISXLBBbYCbpnyrx_wUHj=s176-c-k-c0x00ffffff-no-rj,0.0
UgytZhEvYeGFEEogCFF4AaABAg,Onion nhi dalni,1 month ago,Meenu Vashisht,UCXZShU5epBsQ9UdpCMegYyg,0,https://yt3.ggpht.com/ytc/AKedOLTQXQvASsP-tPckdps4ullYngKXjpWG9_B8-vHbxYB05rXpnp5EOiRxqQeBXN_R=s176-c-k-c0x00ffffff-no-rj,0.0
