cid,text,time,author,channel,votes,photo,heart
UgwRDoR2yRoaj4bAait4AaABAg,Can I use wheat flour instead of corn flour,2 days ago,Sandeep Rakshe,UCkpCoqG9z1NB55RL3iwlF6A,0,https://yt3.ggpht.com/ytc/AKedOLQyBtHTxyKA59zCBzCTiJupwD8r1hD4JJuN6w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxSA73mYmmcf7FbPKp4AaABAg,Ghee ki jagah oil use kr sakte hai kya???🤔🤔,2 weeks ago,Chhaya Pandit,UCjRidO64y-tgtvg34zBSGOQ,0,https://yt3.ggpht.com/6hVAE8oZv_jF2Oh7c-BhU3yL1MPnquLMefxPMyJqLHl_vasKbvqGMTdmcjv4v4h_D3eLCEa8=s176-c-k-c0x00ffffff-no-rj,0.0
UgzYnCj6Jfjdvg0loKt4AaABAg,Malpua recipe bataye,3 weeks ago,Kiran Verma,UCMYNsJsks9qBWWZUM9GZClg,0,https://yt3.ggpht.com/ytc/AKedOLQHPTyzwbnMePBSnGwiiQYO0GTAYgSkUoLzpX1RRw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx_7kz-WazvcSe-ZUN4AaABAg,pushkar me milti hai 😍😍😍😍😋😋bahut gajab ki lagti hai  250 grm. to me akela kha gaya ekdam mast lagti hai kartik purnima  par pushkar gaya tha,3 weeks ago,Divyesh gurjar,UCsOhzR-8D3w-sPQRmIphQcQ,0,https://yt3.ggpht.com/ytc/AKedOLT804L4LtOG9qnQfxfZFvMTfkaKcPfEtQX621vP=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyo6u00IT2jgljbpdx4AaABAg,😍😍🙏🏼🙏🏼👍👍medam bahut jabardast mast super pushkar me khayi thi maine ye mava jalebi and rabdi ka malpuva ☺☺☺😋😋😋😋aaj tak itni tastey jalebi kabhi nahi khayi,3 weeks ago,Divyesh gurjar,UCsOhzR-8D3w-sPQRmIphQcQ,0,https://yt3.ggpht.com/ytc/AKedOLT804L4LtOG9qnQfxfZFvMTfkaKcPfEtQX621vP=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy_AEiSOOftW7LzLcl4AaABAg,☺️👏👏👏superb my favourite Mawa jalebi..TQ so much for the recipe,1 month ago,Veena Paul,UCX_Pu66dL1dUP5Vn7-frFAA,0,https://yt3.ggpht.com/ytc/AKedOLTc6TMvX7pr6V9idZpzRHT1bzXR8RbekVjjgf271g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1bMe4_DQBJBqBeLV4AaABAg,"You explain do well.
Thank you.",1 month ago,Rafia Fazal Sayyed,UCwsf7z7iIMN9gInYCL3yHbQ,0,https://yt3.ggpht.com/ytc/AKedOLStvuY3EtPdSLNct7HtYu5RLeLbRA5LQrQb7g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxe3qci7ckDDAtOjHd4AaABAg,Nice video ❤️❤️❤️,1 month ago,LakhanThakur ,UC6OWdqiSIWYxmgIf3_WL6MQ,0,https://yt3.ggpht.com/btz6bBwotEXK57eKTVOgJq6nqKDapG6YvalUoPCqTSloYEU24Nk3o52r5bndbJH6Ec3Jh2PdRw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRh_AQ6wu70iVYiGx4AaABAg,Thank you for recipe 😋😋,3 months ago,P.B. ki duniya,UCxnAaTmluiNUrvcxQX1n2-w,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpRrcxA--qzHhHqwl4AaABAg,Ymmmmmmy,3 months ago,Seema mehta,UCMx5Ai-gkzGO5fTBPqevEoQ,0,https://yt3.ggpht.com/ytc/AKedOLRp1Tb6altW221TmBQaaphXYYz7jvLjG4J-IcPo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw5ZMRko3Zc6Ey33YV4AaABAg,Thanks for the recipe,3 months ago,Mahesh singh thakur,UCf3H9sb8lDiAV7ttb9VFkgw,0,https://yt3.ggpht.com/NcIlMaAG1rbC3eRHLNHa9pKv0Y24ucc00Vgud19nfCTTR_POhtfcGwBJ2sKVnlJpamjclKTaZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxNxpX9Qv0dfczPxyl4AaABAg,Delicious recipe mam,3 months ago,Mahesh singh thakur,UCf3H9sb8lDiAV7ttb9VFkgw,0,https://yt3.ggpht.com/NcIlMaAG1rbC3eRHLNHa9pKv0Y24ucc00Vgud19nfCTTR_POhtfcGwBJ2sKVnlJpamjclKTaZQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwBRrOO8D_m23axTSl4AaABAg,Corn flour ki jgh hm maida v use kr sakte h kya,3 months ago,pallavi dubey,UCibXty6-VMRGf237_rHzBRA,0,https://yt3.ggpht.com/ytc/AKedOLSaUQtyDifXbWuTfBtoQsSrkbBgbBevUrsMIJD6r2A=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxhsy-4A7bYKBym3QF4AaABAg,Mam mene banai par wo ghee me hi tootne lagi aisa kuyu mam,4 months ago,Rinki Kawle,UCsv4jmoFGGYc8WpjjWYMxDA,0,https://yt3.ggpht.com/ytc/AKedOLQozCE3ijtFDygfYAgkpJFldzPfiZFdOtXJaw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8bpW2rIX7r8HCoXJ4AaABAg,Mam ham oil talenge toh chalega kya,4 months ago,Sania Thara,UCWBcCB3p6FPDWJzK-PX_e6g,0,https://yt3.ggpht.com/ytc/AKedOLTC7liL7TgRO4Xbc4pdREtU93n6IbxxUXANJzwi7xPdaMYk700xU5Ee7SmhuhB1=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVug5hmbPsF0vCXoB4AaABAg,Looking so good. I like it a lot. Let me try at home.,4 months ago,Seema Pagey,UCwM1_jJ1FykYV4024OfqPMw,0,https://yt3.ggpht.com/ytc/AKedOLTvyx50nJ_o4nRC00mph_tGGSMHYnozyEOPbOsarQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoFm9xyzERLbbmSm94AaABAg,Can't we use oil to fry...or ghee is last option,5 months ago,Easy cooking by Tabassum,UCYRcfBU8wkk9w7RtBx0mz7Q,0,https://yt3.ggpht.com/ytc/AKedOLSG6MSFkghny5Z1wJU7fn-vy7oWx903vG91dUhlatI=s176-c-k-c0x00ffffff-no-rj,0.0
