cid,text,time,author,channel,votes,photo,heart
UgwxOdeIADwaoDZuM6l4AaABAg,Radha Radha mam ji mobile nember,1 day ago,Pooja Bhatia,UCgiLCnyEi1PqDYyXRWHIKvg,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpemPnZbjTr4vWdFN4AaABAg,Mam isme koi espesial masala nahi dalna kya,4 days ago,Santosh Dargar,UCqH-Nnu_4hVxoMqXg7tYb_A,0,https://yt3.ggpht.com/ytc/AKedOLRs9bQcHanen8a6lUo3fCOeI5XB2ZXekib-kw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzapKtdaznsgnfHIyF4AaABAg,It has come out so very nice thank you,3 weeks ago,Kulpreet Kaur,UC1n9HbZKgu4Ri3AAFruwleQ,0,https://yt3.ggpht.com/ytc/AKedOLSuFh33QfG1xOynWXG_wYFrkUMORQgWAPLHkYOs7w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9SJVjZ3qG8of32pp4AaABAg,Mam ur recipes are too simple and good...very well thnk u...i m newly married n i following ur recipes 👍,3 weeks ago (edited),BHAGYASHRI AWATE,UCepYRvk5y135E5cCmujM13A,0,https://yt3.ggpht.com/NVj6bMBlIGcdqfZrgiRyZGv2RfTGc3WisUm56ehn1i1bQMuiS_kNRh5H8WLhDQfxDy_tLcyXAQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzbw1xIS-o4-g1In_h4AaABAg,Radhe Krishna,4 weeks ago,Manpreet Kaur,UC0Row7fwJT4lX2z4ekpGM8Q,0,https://yt3.ggpht.com/ytc/AKedOLTovYuKvrViTgm0Am3J_7QgOFSlMT6o9X7QAlP-U86BKI5cvkRVjO0nWxLDRquu=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPfFlOO5lIqGjoGKB4AaABAg,V easy recipes thanks 🙏,1 month ago,Aashna's Zone,UCdHlIiObmN45YlG5naEy2Xw,0,https://yt3.ggpht.com/ytc/AKedOLRly37ZkEZZ4ZHgX6hfJF15MUoKRKL6YLg2jfc9V2w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUxAGVHyqg1hKgeOZ4AaABAg,AAP onion or garlic ka use q nhi karte,1 month ago,Salman Shaikh,UCOVpB4WcrBwaMbg0of5MA7w,0,https://yt3.ggpht.com/ytc/AKedOLQMQSXPV-UF8JmBYhB8hDX2ukgznfEcVzcOUQaAltSPtEdt0zHysF67F2hkNLhz=s176-c-k-c0x00ffffff-no-rj,0.0
UgyL7k-584NDBCqrHIh4AaABAg,Wow nice n healthy recipe,1 month ago,Chanda Pujari,UC-vROfo-4_A2FDxDqE36iKQ,0,https://yt3.ggpht.com/ytc/AKedOLSqQBC0s8QLKymtw5uY76NChQQiZmKC70y4Gw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrehtWzswH9XFYkAd4AaABAg,Tried missal pav in your style. It turned out so well. Thank you so much for sharing this recipe in a very simple way.,1 month ago,Radhika Hegde,UCmfU0dxTCY3ALTflTK1IT-A,0,https://yt3.ggpht.com/ytc/AKedOLT5yVgpfY7kK2SqR0E_sE2rHJcUSk33mqpWIw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEAvXevG37AOX6Aq94AaABAg,👌👌mast,1 month ago,Radhika,UCLz4V1hUByC5r3tRtDSTSeA,0,https://yt3.ggpht.com/ytc/AKedOLQlW7G_J5861X8arsnrzonnWf-MptPsrzdKWqS8LQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqvpJOHzecQhRFAB14AaABAg,Than you so much 🤠,1 month ago,Arjun Kumar,UCzqkMEx8xwMijH7bTC0KN6A,0,https://yt3.ggpht.com/ytc/AKedOLTzXYRS263-4GHg03uWizDbxZ4KikhhnovzxNQUnQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyhXeKIQVjxz1Xb0F4AaABAg,Nice,1 month ago,Pallavi Chhabilwad,UCtNJn-XyICO6jesMXdDYEqQ,0,https://yt3.ggpht.com/ytc/AKedOLSBBPmjrhpgdi0-W9RxQv3G6d4HnKRdEqznNIcIq0oARtuQJqlPf3r_hi0lnHsv=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1zsysCtrljj_71-54AaABAg,बहुत सुंदर दिख रही है बनाकर देखते हैं फिर आपको बताते हैं दिखानें का शुक्रिया,1 month ago,Rekha Chandwani,UCh9eJ6LvDIDDKP2LVybxA8A,0,https://yt3.ggpht.com/ytc/AKedOLTUs6wXZIqSPqf2KUSd61P1cOk4UvZ5ULnrow=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG3o3jxxJ2zLQvHkh4AaABAg,🤤🤤,2 months ago,teju b b,UCIHPOE3EoVPfoOJwCsU_4hA,0,https://yt3.ggpht.com/ytc/AKedOLTgulYgi4nQ3PjYZzlGD6D6q2cvprB26PJCyw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0V7jvhl3ZUgbuzvF4AaABAg,Very nice👏👏👍,2 months ago,Meena Gidwani,UCaNgANnA1RCZWwdPwOm_4Kw,0,https://yt3.ggpht.com/ytc/AKedOLSgEoBvcShRAS48WQrRrrWsNHfUVwxL7Z41Lg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFnDsE70hIdNUU2G94AaABAg,Thanks mam,2 months ago,Rangnath Paralkar,UC_GBogH63R7Yfy-_Ay8qEIQ,0,https://yt3.ggpht.com/ytc/AKedOLSC5LiBxYJ3pA5FBBBntmLqbwFF4hOx4ZyY1w=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVenvXg6AjjnMh0ol4AaABAg,T q  so much Nisha ji main Jarur try karungi Mere shohar ko bahut pasand hai Misal pav,2 months ago (edited),Yasmeen Shaikh,UC-fcC4wfPedvojX6IRxG_-g,0,https://yt3.ggpht.com/ytc/AKedOLSeKqS9D6TbTcNr8FarENMOBabR5m1eMOwPvnxS=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzhy4PCAKgF1NcQBkN4AaABAg,Ma'am it's amazing and yummy recipe,2 months ago,Zaika Treat,UChYyCCUxZrm_b8SUu-WgODQ,0,https://yt3.ggpht.com/2R8SzcNyOXXB--Qc-1f6ThpL6l65h2dbvNH2wt3yh8XPWsP1ZrLrikNG8Yeqn5O5nQUqLjxGQw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDAz6Zec3RdSaQuPp4AaABAg,Love you mom,3 months ago,SAA #Creator,UCMEsN4dKOgOg5DVv5b8QWOw,0,https://yt3.ggpht.com/ytc/AKedOLRnljFkIYueCE8RLJDYuHjFCYXwJR5I4tlTqw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1jOrbvnSblPoHTdp4AaABAg,Not an authentic recipe.,3 months ago,Heena Khan,UCP-TFWxVFj2xmOJ9zpm7TFQ,0,https://yt3.ggpht.com/ytc/AKedOLTll6J8Epw97lnEia8QOwsMCwXo-HLvjr-1GFyv4g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxpemPnZbjTr4vWdFN4AaABAg.9_iIr6QvGec9_iVj8jZMSc,jee aapko agar jayda tikha khana hai to daal sakte  hai aap apne swad ke anusar-Thanks,4 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzapKtdaznsgnfHIyF4AaABAg.9_1HhjqJI3R9_1Hpkvj574,Thanks n welcome  Kulpreet Kaur,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9SJVjZ3qG8of32pp4AaABAg.9ZvJSU_CF-_9ZwzVZiGkpd,Thanks a lot BHAGYASHRI AWATE ,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzbw1xIS-o4-g1In_h4AaABAg.9ZfDXg_ELTT9ZfIxmBlgw9,"Manpreet Kaur ,  🙏",4 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPfFlOO5lIqGjoGKB4AaABAg.9ZRYaJRFwqM9ZSutEOHZ1Y,Thanks n welcome  Aashna's Zone,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyUxAGVHyqg1hKgeOZ4AaABAg.9ZJ-v89O6bG9ZJ0Mido3aX,"Salman Shaikh , mere anusar onion and garlic mein tej mehak hoti hai joki baki ingredients ke flavor ko achche se ubharne nahi deti. Mai isliye inka use nahi karti lekin aap chahe to meri kisi bhi dish mein apne swad ke anusar inka upyog kar sakte hain. ",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyL7k-584NDBCqrHIh4AaABAg.9Z6WclBZUOi9Z6WqAsb68n,"Thank you so much, Chanda Pujari",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrehtWzswH9XFYkAd4AaABAg.9Z12f3u4f2d9Z14MgRL5DB,Thanks n welcome  Radhika Hegde,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwEAvXevG37AOX6Aq94AaABAg.9YpQ1Gr-yFU9YpTN3pfFSn,"Thank you so much, Radhika",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwqvpJOHzecQhRFAB14AaABAg.9YknvzbpefQ9Ym8Hfbrl1T,"Most Welcome, Arjun Kumar",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyhXeKIQVjxz1Xb0F4AaABAg.9YfamoDMz7z9Yh-92fVRGR,"Thank you very much,  Pallavi Chhabilwad ",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx1zsysCtrljj_71-54AaABAg.9Y_2z-7-JXr9Y_E-MVRpoO,Thanks n welcome  Rekha Chandwani,1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy0V7jvhl3ZUgbuzvF4AaABAg.9YNBaFSW96p9YQ-iaQqigI,"Thank you very much,  Meena Gidwani ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxFnDsE70hIdNUU2G94AaABAg.9YJHD71_Rlu9YKp9KFIbRT,"Most Welcome, Rangnath Paralkar",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVenvXg6AjjnMh0ol4AaABAg.9YDCNdbdnjo9YDEc5GcHyB,Thanks n welcome  Yasmeen Shaikh,2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzhy4PCAKgF1NcQBkN4AaABAg.9XbkZBC8XtV9XblIk8pK_v,"Thank you so much, Zaika Treat",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxDAz6Zec3RdSaQuPp4AaABAg.9XE6pgHEkLW9XHsxLiPgye,"Thank you very much,  SAA #Creator ",3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyNbVjqSAYxXdDL1Xp4AaABAg,Thank you mam 💕,3 months ago,Priya Jadhav,UC-tkWe8Z29ZNlxFahWuqCgw,0,https://yt3.ggpht.com/ytc/AKedOLRaIkWOHIDYXd8_so8_bEJAtBJBD2HzrUlQE_6kuXLhwfSZDn7onh3cF7dd5cu8=s176-c-k-c0x00ffffff-no-rj,0.0
UgxmQyZXIJRM4KQUDP54AaABAg,khup chan tai mazya mummala aavdli tumvhi recipe,3 months ago,Siddhi Kedari,UCkH2L332owsHZsH5UlMxxrQ,0,https://yt3.ggpht.com/ytc/AKedOLRxYhERJTGme-kTKeYHPaq8Nr6Wk5VIiV_yoA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpmNX_CjNLCiQ2-PR4AaABAg,दीदी धन्यवाद 🙏🏻,3 months ago,Sudhindra Bukkebag,UCNXc8tUt8MImciByMEIwl-A,0,https://yt3.ggpht.com/ytc/AKedOLRFESQEtoD13sGx7Soj4xwAicqlGlEq1iqrrwfCvw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJ5-KKdr3S-l6h3_14AaABAg,Ma'am u look so cute🥰,4 months ago,Huda Khan,UCjf0HiBmhMfGiN4A1hNKXhQ,0,https://yt3.ggpht.com/ytc/AKedOLR4pOr_2eBK0EJvo3K7d6I3eRy8zcMKa-wVkP0WCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwrIKqs0JACSOwwkF94AaABAg,Mam nice recipe😍.mam apne ye pan kha se lia hai?,4 months ago,Sonam kumari,UC0LYtZZEIXPSpkXQgM89TZA,0,https://yt3.ggpht.com/ytc/AKedOLRSuU4BkWef6pJP0TD4PTfTVIR23CfmA-44Uw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRejsU5uRgd9irMm94AaABAg,So very much and very good cooking recipes so your thanks,4 months ago,MR.MOHAMMAD RAFIQUE,UCXW4DIEkxWFoSSM6D722yXw,0,https://yt3.ggpht.com/ytc/AKedOLQrQZv7wRtO5vkYZZMqtbIo7_UjC7g01Q6BGA_B=s176-c-k-c0x00ffffff-no-rj,0.0
UgyTAbTLdsFOebiTQgt4AaABAg,Nice,4 months ago,nakul  Joshi  special child,UColrQNaz9MgTY0vhl1e2x6w,0,https://yt3.ggpht.com/0bA8POenS9KE3tNDuxGAXtvRBcpTUP0jSxy2ydIPrrhwqdJZWEolbg4xQ8j0Be1k4_6qhYx0cw=s176-c-k-c0x00ffffff-no-rj,0.0
UgymSBeYsg_-1IbLsix4AaABAg,बहोत अछ्छि है,4 months ago,Vidya Ahirrao Patil,UCXoxwJY0zcihhg1UbWUY61w,0,https://yt3.ggpht.com/ytc/AKedOLTG5AIqkdoq6ZMvhMahD25-kYrvLAYsHuu_Bg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxA-9yxO62asmRs5aB4AaABAg,5 person ka misal recipes please,5 months ago,Arshiya Pinjari,UC2XiiwVS3w0dUPKZWOw_xPg,0,https://yt3.ggpht.com/ytc/AKedOLRh8wn8RlLsvYmDmT1CUcmNQyZimCENgdunjg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwntk5mLpM_iZAnKWJ4AaABAg,👌👌👍,5 months ago,gyan prakash,UC1tA2s18MyK8c3NY87QoZOw,0,https://yt3.ggpht.com/ytc/AKedOLRo58NaEefDaDP6DzX0xLlQdsf1Iv8ziSa75TRAKA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyRD3B0-t8EZ0OTG954AaABAg,Thanks 👍,5 months ago,Amit Kumar,UCusKb7UzAyd7UuBQPwN7MJA,0,https://yt3.ggpht.com/ytc/AKedOLTIgC65SD1B5IOJEnEFqBVxNTxJhYHzLuq1x-hb=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZkNb9FBZeA0w6GpB4AaABAg,सुपर,5 months ago,RIKESH MARUTKAR,UCNaz7XJ1J6i8z9ynihQlHlA,0,https://yt3.ggpht.com/ytc/AKedOLQO6ggZJzfERMGqTKy0zCC-R9l9J_Z4lIyXRg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2tzoAXqQ3b3gJDkZ4AaABAg,Misal pav looking mouthwatering and delicious .,5 months ago,Manisha kumari Jha,UCXjJX5omDqQTLzCxtxUjndw,0,https://yt3.ggpht.com/ytc/AKedOLSSyyb2tLpWC9lCfrcaYxJnQ9QsDJQye2LgDA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy97nfacgFdUO8gH4B4AaABAg,Nice explain 👌👌👌,6 months ago,jignesh charel,UCopdY61yH2BuF6V9CMbz46g,0,https://yt3.ggpht.com/ytc/AKedOLQjjRzds_ugZe7VNto30brC4CUd9m5Qad4njNMZqg=s176-c-k-c0x00ffffff-no-rj,0.0
