cid,text,time,author,channel,votes,photo,heart
UgyGBW5ivuLxZzCJ6t94AaABAg,Mam can we add chopped onion in this gravy reply plz,2 days ago,OJASHVI SHARMA,UCm1ArdtS-Qc-isB72MKaeTQ,0,https://yt3.ggpht.com/ytc/AKedOLRZTTcTBFjfpvgpXylt5qXTiCcgdwOY0SGGmg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwOQkc4AwPMC5c1CZ94AaABAg,🙏👌👌👌❤,2 weeks ago,Sharda Sharma,UCyC8-2XHGfPrmIYllWoM3_g,0,https://yt3.ggpht.com/ytc/AKedOLQ0soHghRbJVNNoS7IUzXwn7LJ7uDWiO0EnOoX-i-GaMr992pxBCSYj1cz-M4En=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaH98rzqUE10u3Xu54AaABAg,Wow very nice 😋😋😋😋,2 weeks ago,Madhu Shalini,UCTJzjR8c6DzTDAplm5B6KLQ,0,https://yt3.ggpht.com/ytc/AKedOLTGxTeXt2Et3vkvLGOgvCvwoNxzJELeNq9PvPMgajnRW12kq_snjqV7PqUxZE7p=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWjnaURxFofJ0l-Qp4AaABAg,Yami😋😋😋😋😋😋😋😋,3 weeks ago,Shobha bisht,UCAHxs4h1BYJ-VolCCCEayzw,0,https://yt3.ggpht.com/8xG4TJkkzPbcWyJP-xBmcrGS2-xawudB9DHoaM0pxh6t4JZLKim4OS0Pl1cieHERSMW1ROaE=s176-c-k-c0x00ffffff-no-rj,0.0
UgzI8ypHj-xKC-frRNB4AaABAg,Main to sabji mein hi Mila deti hun aalu ki stuffing,3 weeks ago,Priyanka Rajput Priyanka Rajput,UCYy8SoCr8cWymY9LnaboHZg,0,https://yt3.ggpht.com/ytc/AKedOLSBBPmjrhpgdi0-W9RxQv3G6d4HnKRdEqznNIcIq0oARtuQJqlPf3r_hi0lnHsv=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyhx335mF8S4KAQ0wJ4AaABAg,Bhut tasty h meri mom ne B'nai h 😘❣️,3 weeks ago,Kritika sharma Sharma,UC7detsWeYqmJ5HByCL6GepA,0,https://yt3.ggpht.com/ytc/AKedOLSoQHAgzko0l38JkYWIaQaGw7Lv05JOM9Nxvw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyM0Pc5tVjyAZ5dclh4AaABAg,Stuffing ke parantha banayege,3 weeks ago,Priyanka Dubey,UC5b-e0TxI24HESBXkTUKXmQ,0,https://yt3.ggpht.com/ytc/AKedOLTD-O0iMd_nyWpvtkJcyQ0ZLKA-GnOQ6BpiEA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8tvk8SNy8bVc3nXl4AaABAg,Mam mere ko aap ki raspi bhot पसंद है,4 weeks ago,Arun Kumar,UCCNSulznXjbLOt1vWnEOpYw,0,https://yt3.ggpht.com/ytc/AKedOLQ_EeH6kGDJoh8TSzKMlf8B8qtTNfDjJzkz3Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx9FGE2pH4NKtPDlV94AaABAg,Very very tasty 😋😋,1 month ago,4K STATUS,UCnplQvOx7w_e1VaOPwPv2SA,0,https://yt3.ggpht.com/jRdYidne5V_Li84OVf1id5hZpkiIbdWja2NQIFpFfNnoRTWgs7JxWWj4nfe0cqCYZAg130FA6Q=s176-c-k-c0x00ffffff-no-rj,0.0
UgyJ5KcrZ390b5AkapR4AaABAg,Matar dalne jaruri hai kya,1 month ago,ᴀsʜɪsʜ ɢᴀᴍɪɴɢ,UCBDI4HKOzfjQPTByjbp4jjg,0,https://yt3.ggpht.com/z7bqHDf1x2Iuo8m6cdOu4H_nV4gOhfu4YoDNGPR20eG5gpJ0ApUPl5KElKJ-zn1nuiYT-6mCC3U=s176-c-k-c0x00ffffff-no-rj,0.0
UgwoJmXkDDcooALeXrJ4AaABAg,Super recipe,1 month ago,Nitya vishwakarma,UCe6dqh9RLRzVIs5FkNAWtQw,0,https://yt3.ggpht.com/ytc/AKedOLQNQX78DtBx_LNvHGHdrRse4RhF8Oyq1s5lQw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyeg8k-9gz6I5gHw8l4AaABAg,Mja aa gya  nice,1 month ago,Jyoti unica,UCfccElHa9faxpIwp6VGbxBw,0,https://yt3.ggpht.com/NoeKVuvqeGsQrKekKZBYC2hcprcX73rSterNv785sU-KAz7tn-a8ycybGTVr3HSjw2alZMLOHJQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw7GpzuS8NGjP6FFzp4AaABAg,Very Very Tasty Recipe Thanks For Sharing,1 month ago,Cooking With Shazia,UCuLcj8HK4MY0VVkef_clOvA,0,https://yt3.ggpht.com/WO8sWwN4LRqDWI4J_nIeSEZIqsE4FHzHUbm275mR4nejkYs8aGInivQfXmaKjp5mBPQWELO16w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx0A3bH5rU9A3PGmhJ4AaABAg,Masi dede recipe,1 month ago,Rajkumar Chonhan,UCdgUBD8obSZEQ3pz-LI2wzA,0,https://yt3.ggpht.com/ytc/AKedOLRI57XwgGSIMXNZ0-TwxFLtkZ4fIWQrw0yPRQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyrqoQtY1AOJXpfMU94AaABAg,Mai jarror banawongi,1 month ago,Shanti Agrawal,UC5JZTri_54_pR_dVjPgj0DA,0,https://yt3.ggpht.com/ytc/AKedOLTjX0WiJO6AUFY1SYIDo4m3eTTrl6lfnlOsRK68=s176-c-k-c0x00ffffff-no-rj,0.0
