cid,text,time,author,channel,votes,photo,heart
Ugy4gCxofHnObIO5s7x4AaABAg,Ubal ke nhi bana sakte h kya,3 days ago,Parampara Paro,UC4VcwnHUmdlw_tB6cmiqI7A,0,https://yt3.ggpht.com/ytc/AKedOLQekggVfxRM9F3fGfIXO6KKt9j49kgaJT3nJ_AnxB1ZxPHQaHZm_vb9L3BOILcE=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxm9osmSoatt7bDGyl4AaABAg,Let  me know naan recipi,3 days ago,Anita Gupta,UCut70RcunvgnYh91F8Dxvig,0,https://yt3.ggpht.com/ytc/AKedOLScZplropjH9xu4TwolA4gg1AFo4pDE0buBBw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyIuhI869GW0sU1vUN4AaABAg,Thank you mam,6 days ago,Kiran Deep,UCk6-I0TVHYHqaUcTJdtOvCA,0,https://yt3.ggpht.com/ytc/AKedOLTkVMRiTBQiCNnpy7xuzlGnZSV-lK8cFcrdysd5JMv7iVUfPgNnRFuTj4delhfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHfOmhzEY7bW9y_DF4AaABAg,Maggie masala contains onion and garlic powder. Those who are pure vegetarian and lover of satwik food better to avoid using this maggie masala. 😊,7 days ago,Shekharendu Biswas,UCG4bMxzIMpHVmr9a6RVes5A,0,https://yt3.ggpht.com/ytc/AKedOLRt2ftXq94uwN_r8Be_U4RXmd0w69GXxw7vfGdnXw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXDJce101q8Zv2Rld4AaABAg,Apki awaj bhi bht sweet hai mam....😍,9 days ago,Bhawana Mishra,UCMVIHy-MD3CwSuXv2-RsBGg,1,https://yt3.ggpht.com/ytc/AKedOLTDV_v-q37VIkvgGVnGG2vS8xFd4mLWsKc_lw=s176-c-k-c0x00ffffff-no-rj,0.0
UgyKe-fStn_GmNiaKJx4AaABAg,Cooked rajma just now after seeing ur recipe mam.........thnx,10 days ago,Rajrani Dahiya,UC8UJ8DT6kH6kjZBxFtRQuBw,0,https://yt3.ggpht.com/ytc/AKedOLQTATtKF5LbSa-DSDdMBnpbSNBiiSBNhRjQ64WoJA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx8vISqTvDRd1cNW9J4AaABAg,Mindblowing recipe aunty I have prepared first time without onion garlic. rajma taste awesome thankful god bless u aunty❤️,11 days ago,Meenakshi Bhattacharya,UCY2-pYHuAyGbz7mdff32rbw,0,https://yt3.ggpht.com/ytc/AKedOLQw2U51eSWLXJpCYMvxOfJKW0XxrEYAlhSa3RbGJgYez3mPGT9EiOiWUnRDbS6r=s176-c-k-c0x00ffffff-no-rj,0.0
UgwkW2mpmvcoUzfH3zl4AaABAg,Verry tasty 😋 mam thanks for recipe,13 days ago,HEENA KUMARI,UCoSmh7t4Df1gCAToRPmUD_g,0,https://yt3.ggpht.com/ytc/AKedOLSjW9kNH1-NCauGuDs-tbafF1auGtG9FmWjvQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugztg2Ferrw4RS68Q2V4AaABAg,Supper 🍽,2 weeks ago,Harish Nayal,UCgWB9_jiVXi8wtv0yUbbrtQ,0,https://yt3.ggpht.com/ytc/AKedOLS0vu76Nh4wDr9BI6SMHY1aYuXx0d1c7UeK9kLZlA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyctZ0SjPr-XSJqq1Z4AaABAg,Didi really u come with easy steps of receipe ❤️,2 weeks ago,sanjana exhibit,UCzJZINylN26Jqae9pJRDkrA,0,https://yt3.ggpht.com/ytc/AKedOLSdoUjPINmrC58elnNY9-RAYycT_83iY3oVUw=s176-c-k-c0x00ffffff-no-rj,0.0
