cid,text,time,author,channel,votes,photo,heart
Ugz7bQRmDAEwPlO94vd4AaABAg,Too good mam👍,2 months ago,Shilpa Duparte,UCzlBy6TAZzqhCHZ1XMpu-Fw,0,https://yt3.ggpht.com/ytc/AKedOLSAJEtyEGPNvTyfxbGzDqzj7TS5ZFd2AulBGw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxgopoTRVdE22wIhQx4AaABAg,Hamare vidhrab ke rodge wow❤️🙏🌹thnk u,2 months ago,Shri Swami Samarth,UC2idN9cB8DtcGn7S5u-YxQw,0,https://yt3.ggpht.com/ytc/AKedOLRyRdak1yK_4jPilxPR8u00dCcZGpzED_q9MuuXPa-m0xp-5AOsHmUxIE0jYIOI=s176-c-k-c0x00ffffff-no-rj,0.0
UgyjIOVpy9fdYAjm3F94AaABAg,Excellent recipe mam. Thanks for guiding all of us. Thanks a lot😊,3 months ago,Shilpa Jain,UCS4BeKsLB5VJ6gxj7_dbFYQ,0,https://yt3.ggpht.com/ytc/AKedOLR3pGNLLVDxaR74-FfRyM3yYTzdJoiz7uMsqGzOUw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzISVa_35JY3DHrFL94AaABAg,"Wow,,,  मॅम आप रेसिपी बडे सरलता से बताते हो एकबार व्हिडीओ देखते hi समज में आता है.. आप तो अन्नपूर्णा है 🙏🙏",3 months ago,Meera Mate,UCeqcSckYnSbYZWN3KW620YA,0,https://yt3.ggpht.com/ytc/AKedOLQmPPtBNm3JYTlpHUHYJ4fTWMVXXaBdtkXnzUSo9g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0Z7fvL5d4qfHtivZ4AaABAg,Thankmam👌💐,6 months ago,Bishnu Priya Nayak,UCtcLJtRHGEnEzJ6VZUFsKyQ,0,https://yt3.ggpht.com/ytc/AKedOLRLgO9m14nITO8NzXBYD071OuCPSf86xF0EYg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzbC6Tlm89beMvYdxp4AaABAg,"Nisha ji

Thanks for showing the Vidarbha recipe. It's very delicious and is generally made in winters and is eaten with Aalu Baingan Rassa.",7 months ago,Jayant Vagha,UCXX3-ffU3eSLVgHuaCPKqDQ,0,https://yt3.ggpht.com/ytc/AKedOLTduyOj_imCXQWFTe4wTpcrBl8CsOZV61y4YQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyoGMhPzrBR1hcArcx4AaABAg,"Ma'am, love to watch your recipes and the way you cook. Can you cook vidharb rodge in bati oven also?",8 months ago (edited),Usha Daga,UCHSqMFI2iZhZ1pykIwCQotg,1,https://yt3.ggpht.com/ytc/AKedOLSR6yaFHLVT-2w-9p98duJSPw8S7IAWRwJaCA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxeYFveCT5C9mUsUEJ4AaABAg,You are so sweet mam.🥰,8 months ago,Pratit Jain,UC7qIQsJgjMaGOQxzk_pJlbw,0,https://yt3.ggpht.com/ytc/AKedOLQagiTEm-A1WbYs0B4ErDCcEzqsJ9-4SQor9g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2CqlIWnFbaohOFYJ4AaABAg,Incase we don't want to make in kadhai can we bake in microwave? If yes what temperature and time?,9 months ago,PrepCookLive by Mayuri Mudliar,UCQu3r4tPyoWmgUhlG60_wYA,0,https://yt3.ggpht.com/ytc/AKedOLQfaphBovGm5N13nYXcQYn0L2iNn54OmH9DuUm9=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzg6C2sm23_KHZGVYp4AaABAg,Mast hai mam very tasty 🙏🏻,9 months ago,Jaya 's Kitchen,UC7x7GqlTT3QdmM_5kTGvaVg,0,https://yt3.ggpht.com/zoxp-Ddj3DsggvXVot91WqmIX1MN1tFqAfHv7HOg1oMgQ44kbfHpB3dPosn_Zpm97pvt9iZ7jQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8wQ6KfmunmB2kDTZ4AaABAg,बहुत अच्छा बताया दिदी आपने मै कल बनाऊंगी धन्यवाद 🙏🙏,9 months ago,anilkumar umathe,UCQXsQ_v09RGtTlkFRCac9JA,0,https://yt3.ggpht.com/ytc/AKedOLSAGGAWOX9AsAZwcGAV2ekzyr4EExNPk-UPnA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz6_95T3WTmcljEoDN4AaABAg,Very nice recipe ma’am ise tandoori chulhe par bhi bna skte h kya,10 months ago,Dirt Gaming,UCAuzvmVSK7jIWkMTGv3hsNQ,0,https://yt3.ggpht.com/UHnBj8WtoPzYnKc4TaPa9Rc5SuG6MzKDr6YrPC1NEmVt2ueBbBWWyEPYXExROl4H5hLz1-zhSg=s176-c-k-c0x00ffffff-no-rj,0.0
