cid,text,time,author,channel,votes,photo,heart
UgxzoVrg3JZDDEWCKv54AaABAg,"Badhiya recipe.
aapka bahut bahut dhanyawad.",1 day ago,Shubha Varrier,UCP2zbTVlRF-uJt4_bVQRouA,0,https://yt3.ggpht.com/ytc/AKedOLR8yR0mff7QbDKVQ2DmtzliC0lhnv7LpS_w9kPf=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy9_79AkuI5jlI-sAl4AaABAg,V v nice dish mam,5 days ago,Shadab Khan,UC8juBiiLBhs9gkfq4Uc2crg,0,https://yt3.ggpht.com/ytc/AKedOLRyiv3AAR8L6XhKb29xruaMPAUb5poN_9CjeA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyj-7TM6hv4EzRhZZ94AaABAg,Milk powder tu btaya ni ap n,6 days ago,Devanshi Raheja,UCDKGefDoUxsqAY1QdzGJ5Mw,0,https://yt3.ggpht.com/ytc/AKedOLSFnZ8xXWq9gWMvVXzjLRchm0CKyeOnPX_k5g=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLawkJH3t0zIuHwEJ4AaABAg,I like your recipe mam,8 days ago,Vivek Kumar Yadav,UCJYDhB-H7c4XOpEBAFPYryA,0,https://yt3.ggpht.com/ytc/AKedOLS6RCMZTYPp-hBqhSMp-z6PkSAXjVo1Evcp6sKwcQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPZ9n28Ysh0WWOpHJ4AaABAg,Aisa krne pr bhi dudh ft gya,8 days ago,Priya Sharma,UCYRWQcRHBzfrjra23SL8EGw,0,https://yt3.ggpht.com/ytc/AKedOLQaZD69oGNrx-WWkVUTjySIZDxysbIqi3PFmA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxXu7o0SvGVt_ShEHd4AaABAg,इतना मलाई कहां मिलेगा,10 days ago,दिनेश प्रसाद वर्मा,UC1BI2Pnq3lqLKLO65qW0nRA,0,https://yt3.ggpht.com/3UHg9q0oAhZ2LAdakYKiOcYxcemWw1KVQPzYY-5NcXNDhBi4zw-6a_D5-fX7g8vbS6XMTLVv=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCWhjiPGI03MsJI494AaABAg,Dudh kitna lene h mam,10 days ago,Gourav Sharma,UCreb3F844GRROi0fB86nTOQ,0,https://yt3.ggpht.com/ytc/AKedOLSx1OJdJfnvzzKMlv5rwKKvPguz6zFUit_iow=s176-c-k-c0x00ffffff-no-rj,0.0
UgxqeGNwdQfa-EyelTd4AaABAg,Can i ise fresh cream insted of khoya aur malao,11 days ago,Khatija Kubra,UCX1E1rlmFMMapdRgaXrIjVw,0,https://yt3.ggpht.com/ytc/AKedOLSCf0dhPVaiaEXX2THw2N_ZtiaQUEmCY5aTkA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz28QkNqgtCJ0Pm0VZ4AaABAg,Testi,13 days ago,Babli Sen,UCa7A8Fb9rNo83biLqHc015A,0,https://yt3.ggpht.com/ytc/AKedOLTnjYOG1F_BeYSrD1PM6mI-gZ0Tm563kczvcw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzUZK0BxpC2jlPYRix4AaABAg,Nice,13 days ago,Ajaz Shah,UCpOF7J4IvWm6bzRTkZJJk3A,0,https://yt3.ggpht.com/ytc/AKedOLTn6wAFiWwlxLFK0Cj3SbXkE2j1rltC9anuJ_ELuZidiMAkwTR9kuDI1CL5UxR-=s176-c-k-c0x00ffffff-no-rj,0.0
