cid,text,time,author,channel,votes,photo,heart
UgzoxHgPT8D3dj_Vd4d4AaABAg,बहोत खूब तरीका 👌👌👌,6 days ago,Jayshree Mahadik,UChzrJe6bMn97ZCPpPwzvMvQ,0,https://yt3.ggpht.com/ytc/AKedOLRM5ZZn8WYhZmshsF-GpTJzu_-w2p-P5INV-Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy89UbNeEHk-ip9Rqp4AaABAg,Very nice video thanks mam,2 weeks ago,Priyanka Chouhan,UCrAwx6d8zBpxoDql8Ha04Vg,0,https://yt3.ggpht.com/ytc/AKedOLTjS-wyX6xp5lA7aNHAbRWPmn6TTFEZ_pbkhg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyaK3HQPp2jrPH-D6J4AaABAg,Kismis k jagah pista aad k le kismis acha ni lagta meko,4 weeks ago,Kusum Agarwal,UCqP-TvqnH6FII-m52TrOsFQ,0,https://yt3.ggpht.com/ytc/AKedOLTii-uN3EiaYj86mjS2mYHsdKp6-Jd3bbE8tRhyzOjQqJGq51WC1EzFOpV97oPN=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRFTYUgprlZTC7uSt4AaABAg,Super duper keep it up ❤️❤️❤️,4 weeks ago,Kusum Agarwal,UCqP-TvqnH6FII-m52TrOsFQ,0,https://yt3.ggpht.com/ytc/AKedOLTii-uN3EiaYj86mjS2mYHsdKp6-Jd3bbE8tRhyzOjQqJGq51WC1EzFOpV97oPN=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJV0yjvzlfRh6ikJd4AaABAg,Very nice,4 weeks ago,Shibani Mukherjee,UCDsLE5OJFYS04YvkvDfyR3Q,0,https://yt3.ggpht.com/ytc/AKedOLRCJIyLOeqs1eQrgWUyI8r6jRC1IugcO402MQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx193d_V1QQAzck6Z54AaABAg,😃 mai jaroor try karungi..mere ghar pe egg kari bahut khate hai..ye khilaungi nonveg chhod denge fir,1 month ago (edited),Jaya Murthy,UCnN61N1Mw0lZwQ5V_255mww,0,https://yt3.ggpht.com/ytc/AKedOLTTpncDsoCqZzV4BjPfafmW9FjZguAsc61sEA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyBRFFv9ako27aED8l4AaABAg,Corn flour na ho to kya use kre,1 month ago,Laxmi Sheeloo,UCrPODKInva5RkmZsL_sqqsA,0,https://yt3.ggpht.com/ytc/AKedOLTYI8HH-g0j3z3rQqjE6xEzCrA8CJCmLMaLXw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy8BM3fNis4zNobdP94AaABAg,"Really yummy, I will definitely try thank you ma’am",1 month ago,neeru dua,UCL8IOy898wEkzeIFDIlTmwA,0,https://yt3.ggpht.com/ytc/AKedOLThoG5e4KMi3wjFIkoPc6GYf-OMWruaeCrC1A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyOXfWYq_nhZRdh7iF4AaABAg,👌👌👌👌👌👌👌👌👌👌,1 month ago,Uma sahu,UCrq6DqmkWUShp41aNrUtZiQ,0,https://yt3.ggpht.com/ytc/AKedOLR_dZzFmfmqCqwvV8M9mYmTtKRotsaT0itdjg=s176-c-k-c0x00ffffff-no-rj,0.0
UgydJ5weEQjBB-KXdHF4AaABAg,Soya chunks ki jagah ku6 or le skte hain kya??,1 month ago,Neha Soni,UCwiHE7BZfp2vgwcFPK4JOKQ,0,https://yt3.ggpht.com/ytc/AKedOLTe1LdjztbC2bQU2ThzozUSDHsj8Ex4QNRviQ=s176-c-k-c0x00ffffff-no-rj,0.0
