cid,text,time,author,channel,votes,photo,heart
UgzCB4j_A6PogAe19Kp4AaABAg,It's really very tasty😋😋😋❤️❤️❤️,3 weeks ago,Rita Kumari,UCEJcWDhWh5qrEM12YNkh_Sw,1,https://yt3.ggpht.com/RMffG-msjVzQq7SnhaJWQ5wFrn3AY6AVB3vlUjEYVNhF2ytM9-3MDHDJAHSA4Rc48hD1_KuLtg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwF8VdX-bz2UUPmaxh4AaABAg,Nice recipe mam,4 weeks ago,SECRET_ARTIST_00,UCg8hL90TpIZJCcyqfV5CP8g,0,https://yt3.ggpht.com/J6gPWYSzYVDJQ42XtF0NQpWl-aqv3Rowx-nJ7mSm98az8vFsvytdOfHnSI9GMbZuPstVPqS4-A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxVhl440_yGOuig3_54AaABAg,It's super tasty 😋,4 weeks ago,Sneha Mohan,UC5B97dp5_JYBTKg6FEJhm_A,1,https://yt3.ggpht.com/jjCLR1uui4saevFdTAO0YeZ5ugnPRvv93PQHIQjZyLBk4bSvAdPVKr45Hlq97uuYx301bztX=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzs73DaMBa6rq-u1L54AaABAg,"Nice 
I will try this recipe today..",1 month ago,Vinod Gupta,UCbkcPrxl2ib-UeVBJajOY8Q,1,https://yt3.ggpht.com/ytc/AKedOLQFwXUprXukrcWNV6G87SKQzsXz2zH2Hp6auw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4CTvGqjY0-mjV64p4AaABAg,Aap kitna accha btati ho mam aise hi btaya aur anaya kijiye,1 month ago,Karishma Verma,UCGzQPKjnq9XKZIyKBpt21GA,0,https://yt3.ggpht.com/ytc/AKedOLQkx7C6g-Cl-KTmS8Vr5CbNunaT5Uj0g55RpkjAtU0jXKAlHQ-vLVIMh-tkIB2A=s176-c-k-c0x00ffffff-no-rj,0.0
UgySF3RtRIwIdWeSck94AaABAg,Thanku mam..,1 month ago,Nisha Agarwal,UCr_yY0x5hIccDXKpcNoqaqg,0,https://yt3.ggpht.com/ytc/AKedOLSue0tsVOewUbIiWpjoydXB_AIFskcDQ_-ucA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxn1oFhaC7kwk955y14AaABAg,Veg  fried rice 😍👌,1 month ago,P  Vekaria,UCSs1HRKWsT6A2m3lCN10lRQ,0,https://yt3.ggpht.com/ytc/AKedOLRVLgffhQRmWrL6OYoctugP9mRxP57pqmnfIv1k_-upWnCm1x37F3VbzdbGsLt5=s176-c-k-c0x00ffffff-no-rj,0.0
UgwRVJCoZcxZi94K3QJ4AaABAg,Very nice,1 month ago,Durga Samanta,UC3Uvm-Mp2lDj95J7AP8_wnw,0,https://yt3.ggpht.com/ytc/AKedOLQ0N3QGmAQ1RcSo1lsxORgW-DbrWfZIeVlaJOQhPA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxvPZvQz7eb9cGct6x4AaABAg,"Thank you so much mam 😊😊
Bahut tasty h. Me try krungi 👌👌👌👌",1 month ago,fari Thakur,UCEeR0avGnsGTeU67RIZR2qA,0,https://yt3.ggpht.com/ytc/AKedOLTWsurVIuSW1Mq_cER_rdGnL2yrJHFYgxNGnW4otA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzHhPd3nUf-CrPimS94AaABAg,Very nice,2 months ago,Khyati Sharma,UCxLjCW6K0iKNRPFSZwZAMwQ,0,https://yt3.ggpht.com/ytc/AKedOLSkBAn5tAPXT1ziz5rNCJRNrnxI0Gw2B272gJLUwA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwd2vTrNGeqEjYGs614AaABAg,You are a Kitchen Queen,2 months ago,Rupesh Malakar,UCzy-XXfAOb-23zsGwvzMCOg,0,https://yt3.ggpht.com/ytc/AKedOLRsChZSIDLfqE9ozuAqw0lub5yutdJHi2Fkwg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWsfK8obdx8CgHYcN4AaABAg,Very very👌👌🙏🙏 naic recpi🌹🌹😘😘😘😘😘😘😘,2 months ago,Priya Yadav,UCxx_63lnt0fKdsmq4Q8nmGw,0,https://yt3.ggpht.com/ytc/AKedOLSNcOaNvQoOZrHWayGAjR8dBsVtm-nN6c-elav1=s176-c-k-c0x00ffffff-no-rj,0.0
UgxlKqHK5HqFnfSM-F14AaABAg,Super recipe,2 months ago,Shobha ki Recipe,UCnODis25Wa24_BYsDx2K_QQ,0,https://yt3.ggpht.com/ytc/AKedOLSNzqilbExwl9mzhwoDTEswaO07r7BhFCe6V7LI=s176-c-k-c0x00ffffff-no-rj,0.0
UgwIW6TOxawPNmk67Qx4AaABAg,Luv u nisha g,2 months ago,Zahida Sayed,UC_mOcaj0qL_z0q_cpHqZgaw,0,https://yt3.ggpht.com/ytc/AKedOLS9nehMMVgvm5kBm1H-x7WeNlK78GzNha-97A=s176-c-k-c0x00ffffff-no-rj,0.0
UgyGMjcNpCy6QJCllnx4AaABAg,Apki racipe bahut bahut buri,3 months ago,Rajendra Khan,UCoUEqY9BEc-mPsc7oVCoffQ,0,https://yt3.ggpht.com/SBTlb4fj6I_m8WacNcmR1VNxjCjpeVtkhWUl4RMgCtPKf5p2JDXjHiEY8WmBTSvWSbaRQC4E=s176-c-k-c0x00ffffff-no-rj,0.0
