cid,text,time,author,channel,votes,photo,heart
UgyBT3vU382-aGlPxxd4AaABAg,Mam corn flour skip kar sakte h,3 days ago,Mohd Kaif,UCji2UAJ0B2u6bFA1O9ehrCQ,0,https://yt3.ggpht.com/ytc/AKedOLTQXQvASsP-tPckdps4ullYngKXjpWG9_B8-vHbxYB05rXpnp5EOiRxqQeBXN_R=s176-c-k-c0x00ffffff-no-rj,0.0
UgzPEu5vB2VccPWbIER4AaABAg,Gajab 😘😘😘,1 month ago,Anuradha Jaiswal,UCluDtXb7HPO-fgMvFTlHsTw,0,https://yt3.ggpht.com/ytc/AKedOLQak9g3zx7gyvPZqxfUCvgYO6xgs2rKknj5_v5ZZA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWb6pwfN5jO4-wbQ14AaABAg,Kasiii h aap,1 month ago,Shobha ki Recipe,UCnODis25Wa24_BYsDx2K_QQ,0,https://yt3.ggpht.com/ytc/AKedOLSNzqilbExwl9mzhwoDTEswaO07r7BhFCe6V7LI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxc-1AYyOlGbOI-7kB4AaABAg,Maine try kiya tha Bahut Mast bane,1 month ago,Vijay Koshal,UCAtoS7LdV6v4k2di62sJ2TA,1,https://yt3.ggpht.com/ytc/AKedOLQDKlOGNxst_2RT36WwIs3MHap_dcvQujW6wA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxR9qURXBnALqIwQ2h4AaABAg,👍❤️ super,1 month ago,Dolly Dolly,UCMI1dqizp_CgioSRhGLQOhw,0,https://yt3.ggpht.com/ujkrFnU-cSHYaCKU3rDqyZ4PZfneuVi74t_Xcanta64MMB_RRpVWNvrde7cIxOTXXSyYWsAzcr4=s176-c-k-c0x00ffffff-no-rj,0.0
UgydDN-chBZD931HIoZ4AaABAg,Yummy😋😋😋😋😋😋😋😋😋😋😋😋😋😋,2 months ago,Asutosh Moharana,UCc1mHBjj4lkML6T96iVkgeA,1,https://yt3.ggpht.com/ytc/AKedOLRt4kmjdbtLMas1feROYEfq_hDLCmfe3ABBHLeTcdP0toH8A0MH7bXTCcUCdx_s=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwk2eWSX4tuJPCAYp54AaABAg,Aunty you're so sweet and so are your recipies,2 months ago (edited),spots got darker,UCZI-FujitSlrgWAqinuwBrw,0,https://yt3.ggpht.com/ytc/AKedOLSSfMYmAUuhG1Ppxmit4TCsiXIxjusGTjPvWA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyyuNJvY_u-aUmB0XF4AaABAg,Aap Bina piyaj lahsun se noodle recipe bataiye,2 months ago,Tinu Khichi,UCJOaLpc2Cr9wqIQEXQjpcRA,0,https://yt3.ggpht.com/ytc/AKedOLS-ha5nFutu8GXbVYVZePRSRyLF_SPOMA0xQoJxEg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwpJ9M4hqZ04fXKZw54AaABAg,Kya ap choklet cake bna skte h mujhe sikhna h,3 months ago,Jyoti Kumari,UC1LITLDiHBbLwXe1-dheC0Q,0,https://yt3.ggpht.com/ytc/AKedOLRuf2GmMYRfdFOMK9Yjl-1h02Sxb18NJpRlTQOgZnFciwA8V5zxP_r0bhx0a7FT=s176-c-k-c0x00ffffff-no-rj,0.0
UgyzJZY3wyOVi4h21bx4AaABAg,Your recipes are best,5 months ago,Shradha Devidan,UCiVxE3U-NNMnBozYjKlBqMw,0,https://yt3.ggpht.com/ytc/AKedOLQ126Q-H2NKwX6M8Hsr4TESDw5lUxVPU7kixg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzZ6i0gfQmkA8hNqrt4AaABAg,Mam cabbage ki jgh koi ar bhi vegetable le skte h example 🤔🤔,6 months ago,Arbina Khan,UCU87BIJ-KKSsIcA62aX3vgA,2,https://yt3.ggpht.com/ytc/AKedOLTRQmfL1r8ItgE6lomKaoKfeq83WrmqEFhvGA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzsrJFQuK-gkzZe6Nl4AaABAg,So yummy 😋😋,6 months ago,Nisha Thakur,UC1ycU9YzxL2pxjmLnmTXKZA,0,https://yt3.ggpht.com/ytc/AKedOLQeBCLxv4MY7U5R7NYcuKr-5SGDE4FacD_hrbkaSyDsQpcwfpbtgvwZAvHCDBm6=s176-c-k-c0x00ffffff-no-rj,0.0
