cid,text,time,author,channel,votes,photo,heart
UgzJUM-pfC2zJ7z15P94AaABAg,Mam aap bohat beautiful bhi ho n bohat achi cook bhi,2 weeks ago,Misthi Sinha,UCOOG-og6-oEqvWludKEwImQ,0,https://yt3.ggpht.com/ytc/AKedOLT7VfdqH64zOyw9buQOaCUxZgO9szc1kM7SW8dHGm9Q2dUBgPitvLXTFwSi4SNm=s176-c-k-c0x00ffffff-no-rj,0.0
UgySjk4MNbsI0wyuHNp4AaABAg,Good evening mam 👌👌,3 weeks ago,Shobha ki Recipe,UCnODis25Wa24_BYsDx2K_QQ,0,https://yt3.ggpht.com/ytc/AKedOLSNzqilbExwl9mzhwoDTEswaO07r7BhFCe6V7LI=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4om9567JlwDS-_ad4AaABAg,Lovely recipe for kids specially.... Just school open tiffin mast rahain,1 month ago,Sk Hasina,UCcVcK-RDNUKc0-o8gU21eUQ,0,https://yt3.ggpht.com/ytc/AKedOLQtBkvozDeAWU_Mzg7A9tGcteSUHPeqpx5qjxGq0A=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuzAnOSEahgoEcBAZ4AaABAg,Ek dum Sahi 🙌,2 months ago,Undivided Life,UC8CWyLqwFiaDE3cgDwR9D-g,0,https://yt3.ggpht.com/uFBabEtqjWYkWlCySzoHM9D5fhs8mQlk5rPGC80ex863kf2d7d5vHhbXZtCQpKa4m9XJwuRn=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3XOj0QOTFzMYdiFN4AaABAg,"Kisi occasions k lie phle se haly fry kr sakte h.
Baking powder se maida rubber si hi jati h ..roll ni hi Pati easily",3 months ago,dance with navya singhal,UCnczx4XO3G9LNQUAh4yUV3g,0,https://yt3.ggpht.com/jF4ywszu9KGKuV4OXLiVDnOcxNtAGuxsbp1On1ZDsA5FKf1yLBoDHFBezg96lUayLEy09XNi=s176-c-k-c0x00ffffff-no-rj,0.0
UgwozFNpDBfo4PppDFV4AaABAg,"Yummy recipe
Ma'am kya hum isko  phle se taiyar kr sakte h",3 months ago,dance with navya singhal,UCnczx4XO3G9LNQUAh4yUV3g,0,https://yt3.ggpht.com/jF4ywszu9KGKuV4OXLiVDnOcxNtAGuxsbp1On1ZDsA5FKf1yLBoDHFBezg96lUayLEy09XNi=s176-c-k-c0x00ffffff-no-rj,0.0
UgwMY4NS0FECNPSax9V4AaABAg,Mem you are the one of my fvrt,3 months ago,Vijoy Perme,UCk_NAwkGVhYUyKoj0hvSTFA,0,https://yt3.ggpht.com/ytc/AKedOLQ9M70RrS3Q7tYtaTcSS2GQAzwGeHnP-S3jcg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw2td58CH0xlhkjJn14AaABAg,Very nice,4 months ago,Babli Sen,UCa7A8Fb9rNo83biLqHc015A,0,https://yt3.ggpht.com/ytc/AKedOLTnjYOG1F_BeYSrD1PM6mI-gZ0Tm563kczvcw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW5tKOKLYR9VzvW654AaABAg,Mam you are great,5 months ago,Md Talha,UCxVVU0nXnpbeqgLX2iKhbWw,1,https://yt3.ggpht.com/ytc/AKedOLSnYooy13KNP49adHv83URzehZkbM3vI2jFyAjIRSEdRXMz9ZJwOPM4hkac5VQu=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6VIXIuHZC644V8KZ4AaABAg,Very nice ma'am,5 months ago,fleece gamer,UC1KxOthfTTCmhBAWBiCpW9A,0,https://yt3.ggpht.com/0-y8R5Ewj8EUTKq69Hq3Pdd-iL5nlCnzpNuk3zuLSKUTI7fhl82-pGqG_UNlY9Ve248akLLmMw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwBPVs6hYJZ-kNSWo14AaABAg,Apke iss recipe k sath Mai add ki mushroom bhi kiuki  mere gharme  mushroom bohot pasand karte hai...🍫🍫🌹,5 months ago,meaningless lifeline,UC_dPmb5NOIWVFdbPvKDFtoQ,0,https://yt3.ggpht.com/ccCVWGEWRdHEqkajEofmBjlM8sXOqkOgWS-jOdlBiKwqjH7K01FbBNssOFTpChVgjiR4UkLmM3g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwVzPBv7XOBup5YKsh4AaABAg,Apke liye ek mitha sa hug meri taraf se...mai to aisa hi onion and garlic bina recipe dhundti hu...apne de diye...basss  aap age badte rahiye or swasth rahiye...😘😘🌼🌷,5 months ago,meaningless lifeline,UC_dPmb5NOIWVFdbPvKDFtoQ,0,https://yt3.ggpht.com/ccCVWGEWRdHEqkajEofmBjlM8sXOqkOgWS-jOdlBiKwqjH7K01FbBNssOFTpChVgjiR4UkLmM3g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQh2kN-vAzamSw2V54AaABAg,"Really love your recipes Madameji. 
You sound so motherly….",5 months ago,Sreenivasan Narayanan,UC9XBnw_vmK9a9VkjqdLBfHQ,0,https://yt3.ggpht.com/ytc/AKedOLTtammT1cBee-zE8IjElhgGcxltT9ME5YBHNLyu2w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw6Y6w9Yz1KIAILZwt4AaABAg,Kitne sare paratha ata hai ma'am apko 🙏🙏🙏,6 months ago,Chapan Bhog,UCJqsuv8DD8O8JgAHkaqQq6w,0,https://yt3.ggpht.com/NQ2uTJ9xGMiPYOiVKml-lynWKFL7f699NfsD4BvKZgKoRaJk843AYHEvvu6UajiA9spzq6YWew=s176-c-k-c0x00ffffff-no-rj,0.0
UgyprzIdzMhWoU7PoF14AaABAg,I have tried it today. It was just wow.  Thank you mam. Please share more pure veg recipes. Hare Krishna 🙏🏻,7 months ago,Anupama#tss,UCQGWwM4lVBEr_Rs9-D5QkEg,0,https://yt3.ggpht.com/cq1jqlb9D28iU_f8FNXp82E0bvwpXt62IPG9bNCZv76Nkachz5czswtkGRcUCH3NPefPKWxqMl0=s176-c-k-c0x00ffffff-no-rj,0.0
UgzLpaTxKfM2T0TD-U94AaABAg,"This recipe is amazing and made my mouth watering, I will definitely try this recipe 😋👌🤤",7 months ago,Pinky Singh,UCR7hzv2w9M_O3Fb06SQP1mw,0,https://yt3.ggpht.com/fgF7WIQWKCwG1yk-B9LxJ6TvcZxkyYEmWefdJompqF0xJ19uGpCa2qklsjV1kZLU2HJIap0x=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPVU6JIbruZimwzUp4AaABAg,A1 recipe,8 months ago,sujata kothari,UCVwtLxO76eTDFbSImuc8jqg,0,https://yt3.ggpht.com/ytc/AKedOLQwYrZdm1bEpdw4i4GvnhCREeTewZA8VZUIgw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzw8y5Jtt4RONxcmfR4AaABAg,Amazing....,8 months ago,Mamta Tiwari,UCKOyYfOpl1qkh-k1ZDezr6Q,0,https://yt3.ggpht.com/ytc/AKedOLT5h96CNvAfdtUt8CfkEQVn4CwYWsHQFA9aAZo0QQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgyQu7lO6yCra2P5Z5h4AaABAg,Very  test,8 months ago,Kanchan M,UCC-mk8CBgtQZzzznKYpqTsQ,0,https://yt3.ggpht.com/ytc/AKedOLSgKMvhPi4pGdf5DTlvlRUUh2FEJLxvnPDtxQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgwQMc-sP6KURZg2DiV4AaABAg,👌,8 months ago,Pathan Sajida,UCh6uj9Y5nrvB0HvsBxxw41A,0,https://yt3.ggpht.com/JRMxTWe3touz9ouvBMJzEBZgBDT9NPDEWMCjFWMl2PZvrtfXygIdmaO-LOJ3putexr-i3BL_jg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzJUM-pfC2zJ7z15P94AaABAg.9_ABXKdChP29_BIRQ6oRcF,Thank you Misthi Sinha ,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgySjk4MNbsI0wyuHNp4AaABAg.9ZvAhasOb9i9ZwpuDNS0LK,Thanks n welcome  Shobha ki Recipe,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy4om9567JlwDS-_ad4AaABAg.9Ya-x9AaNOe9Ya3sKQawKC,"Thank you so much, Sk Hasina",1 month ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxuzAnOSEahgoEcBAZ4AaABAg.9XYG-OiKHFl9XZvo9_imfu,"Thank you very much,  Undivided Life ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
