cid,text,time,author,channel,votes,photo,heart
UgxCg_oZQ1ndHqpMXjZ4AaABAg,Mam new recipes,4 days ago,Pooja Bhatia,UCgiLCnyEi1PqDYyXRWHIKvg,0,https://yt3.ggpht.com/ytc/AKedOLSQP6ZtBqVKRmn6bs3mMF8T-kpmtJGjIA5BFPpJvSlfBd7frRcNS3h3NeUH_PvT=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxthrr-Ike4ut-dG7h4AaABAg,Tasty 👌,12 days ago,Shivani Rajput,UCoA4EO6oZ4NtB09RRMR_DPQ,0,https://yt3.ggpht.com/ytc/AKedOLSQqM9DCQGkbnojJsfcKi_oWNmf6BHLm5mjwSUPvg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz95vpqwTwc-hAWHRZ4AaABAg,Or sandwiches bno please 🙏,2 weeks ago,Rajni Singharia,UC-5-fVuMEjdm7OKHXaM7I0g,0,https://yt3.ggpht.com/ytc/AKedOLS0U5_BAsFkMEWQjyQH_i31z2L6ROrfhdbozg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWhOWNl_oygkASH7t4AaABAg,"Good recipe maam, apka sandwich griller kounsa hai maam?",3 weeks ago,Anupama kumar,UCKXmDSJpwUYjMZEbUSCabng,0,https://yt3.ggpht.com/hVu6TvxqCPGUeAoBSE-dEJwpxI7r5_a5ZsEN-5EQFfq62N-BOekMAEwV85E3vkVeVltM43CCig=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCEzoFCDJvtTVXtt94AaABAg,Can we add red mayonis,3 weeks ago,RISHABH JAIN,UCP_0F--J1vyMErxciBNYD5A,0,https://yt3.ggpht.com/-ZaJU5jMlRHet0vAkcsxVZ8u0XByKNKBu8Ddzx-NcoFIgB-jt0F1dDLvD_DdHc2yX20d6AkT0g=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw3_6ROlTTwNoHpoPR4AaABAg,♥️♥️,1 month ago,creations cafe,UCNvzMvVKWpQ2CCibk_oxUQg,0,https://yt3.ggpht.com/ytc/AKedOLRwhk0BF6RuH3IE9Deh1tbMz4sG9UJ0nYXKv4w=s176-c-k-c0x00ffffff-no-rj,0.0
UgwV0dxcLL2OY4Y2WSh4AaABAg,Nice thanks,1 month ago,Sushma Srivastava,UC0vM30qpec5PJ0a9EC6GwsA,0,https://yt3.ggpht.com/ytc/AKedOLS8T8oU_amSABJC6ZJWjmfYYbZOi11mWuA4lA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx4VTQdQ7hs4hkfRa14AaABAg,Very nice recipe aunty  .Today I made it .Very nice  without Sikhe wale,1 month ago,ankurdixit,UCBrMuaGZbuuBgOvXCK4WxZw,0,https://yt3.ggpht.com/ytc/AKedOLSjSvKSjOukcuLD3rTawY5_C-iD28na4qIqbQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwe_15tYTtQU6T1zIV4AaABAg,Hello ma'am this is very tasty and quick recipe thank you,1 month ago,Dharmendra Tiwary,UCycN-uSsrqtUYrAZo-wncmQ,1,https://yt3.ggpht.com/iDGe52ElL53eGK5stnCUm2A4tc3dNn7sYdoWaBU-geL0B_tkIAleju-4MfLF_GNKPIp8sBttzg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw0071gXDe5ZKIIioR4AaABAg,Sabse heldy kaun sa hota hai,1 month ago,Pinki Mishra,UCpolhnG58zLupdrlxgh3SHg,0,https://yt3.ggpht.com/ytc/AKedOLTqrsBbTdWgoEclyE3cO_8rF-0YwDtZePYyOA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwPDwH1KZLk8I4kweh4AaABAg,Mam please tell green chutney ingredients that u have used by the way sandwiches are very nice,1 month ago,sameeksha nidagundi,UCUMGFxarfDmMjsKUX5aMTOA,0,https://yt3.ggpht.com/mtwX5IbmqWVh5PVU-dtVPEmjViwJ4JTbXmDZFM631_OgUgTu1nGFwT2If5KveIpdq1rO1ibGEiM=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwms7zCbheF_mOli454AaABAg,Khoa brafi,1 month ago,Iqbal Shaikh,UCa2Vk1lZqAYQfOU7RS6CZFQ,0,https://yt3.ggpht.com/ytc/AKedOLToy7NYFHyRwzBB0C-8KMoW2hHwgYppbI5EqNZkEvfj0cL9fZLhfkssIEhOTQC-=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzuecz1RjRq9a8wK2p4AaABAg,Beautiful sandwich❤❤🙏🙏,1 month ago,Sunita Mahindru,UCi6IOsqKhd7jRZFVgRk9RCA,0,https://yt3.ggpht.com/ytc/AKedOLRyRdak1yK_4jPilxPR8u00dCcZGpzED_q9MuuXPa-m0xp-5AOsHmUxIE0jYIOI=s176-c-k-c0x00ffffff-no-rj,0.0
UgznnFRILMHkUbeEHlx4AaABAg,But achha laga mam,1 month ago,priya gaurav,UCrZJ2h06Z5-D8CS7FPHECXA,0,https://yt3.ggpht.com/ytc/AKedOLSITGpWSpyNXsBj3o-x_3pFyDVbPcLROBrhzA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzrI4fcBxSs1p3iMNJ4AaABAg,wow very tasty sandwich,1 month ago,Ghar ki Rasoi by Meena,UCK39miU_oJWpSAM_Urwpt4Q,0,https://yt3.ggpht.com/ytc/AKedOLQlWxVr9S2fgSYj-yXfSW5GjyHJm_43Liml4l_63g=s176-c-k-c0x00ffffff-no-rj,0.0
UgyMa1KqsVuhVXNISZ94AaABAg,Nice,1 month ago,Shakti Hotchandani,UCXWUWv8RwbgzY9HBXZpj2Wg,0,https://yt3.ggpht.com/ytc/AKedOLQgGWcSQYefRORbxYLXdN7sjSqx9fb-splxGDgBMlGrBljPhczOm4DNaA5ade2k=s176-c-k-c0x00ffffff-no-rj,0.0
UgxKFCrkqmIoBw750QJ4AaABAg,Make a pizza 🥰❤,1 month ago,Youtube short8631,UCGsHPjYklR8OY86UfbnIoaQ,0,https://yt3.ggpht.com/LfdhLBfDpU0UJkzCZSwBni3JBkSYJiVyJ8mtSW43_FX0pktELgPoyM-CTrvlPcx9mJALobMA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyWjLCpm2VTICrTzH14AaABAg,So so so yummy sandwich 🥪,1 month ago,Sheetal Kumari,UC2iktgpiEtEEFl9SNo-ShAg,0,https://yt3.ggpht.com/ytc/AKedOLTNBn-OmgLHNg-Q4iK6dUwJ-LmY-NMdqkJDvgvxdg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVJBURupHPd1CP6NN4AaABAg,Di muje makhan vali tuver dal banana sikhye,1 month ago,Pritvanti Roy,UCanNay-huT6tVUrE6CnBZMQ,0,https://yt3.ggpht.com/ytc/AKedOLQKnTib9769F6vK5i_KTA5aIFRjWgSaCaJWXw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwj6nZOnwzWe9KNFkd4AaABAg,Tq di,1 month ago,Pritvanti Roy,UCanNay-huT6tVUrE6CnBZMQ,0,https://yt3.ggpht.com/ytc/AKedOLQKnTib9769F6vK5i_KTA5aIFRjWgSaCaJWXw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxCg_oZQ1ndHqpMXjZ4AaABAg.9_j9CewQxjb9_kMY22cIZO,"Thank you so much, Pooja Bhatia",4 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugxthrr-Ike4ut-dG7h4AaABAg.9_QnBHKKMhK9_QsdnOf2iI,Thank you Shivani Rajput ,11 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz95vpqwTwc-hAWHRZ4AaABAg.9_9DS3yhtAS9_9IQm741e7,"Thanks  Rajni Singharia , for your suggestion. I will try to upload it.",2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
