cid,text,time,author,channel,votes,photo,heart
UgxPAiiUmVW_lwJM3GB4AaABAg,Awesome,11 days ago,Nancy,UCyl3rdNMNYYRbtswPkrbxgQ,0,https://yt3.ggpht.com/lOXqNHbtjG53_L0q-S7IhPz9CRcZzAj0ohVpUGl6e31ws4seUKhDYv9t66PVqgpzB_9cuIc1Cgs=s176-c-k-c0x00ffffff-no-rj,0.0
UgybvO8laAr8desjDrp4AaABAg,Yummy...,2 weeks ago,Mahnoor's W0rld,UCt5toUsF2e4Y5arMFrOBHEQ,0,https://yt3.ggpht.com/ytc/AKedOLRnfNaR66uXp-Ij3HuMdefZw5khG5VsLdqVEan0-Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwv9muZ27L7sJWgKUV4AaABAg,I like khatta meetha kaddu lovely thali,2 weeks ago (edited),Monika Sajwan,UCeHaKiKwCKpHCD0SnqYcEgQ,0,https://yt3.ggpht.com/ytc/AKedOLRfZyJzpf-ofEjfZI_buw7w5IVX2gyBT6eaGw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMzdMk2UFr3z_pgaF4AaABAg,"Same thali banai thi maine
Sabko bahut accha lga 
Thanku mam itni acchi videos bnane ke liye",2 weeks ago,My Little's World,UCJvQqOZcMky5ERYcjdjxNjw,0,https://yt3.ggpht.com/JHyePQZzldfGRSMhq4ym8qKNaiFP00M7XlG05EwtJmr_U6ZLN_R7qghNvlNs6_0gbRljFxIKuw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG41RZ1QKe_784nyR4AaABAg,"Mam 🙏 mam ye thali Holi pe toh nahi banayi but mere bete ka birthday hai 1st April ko tab ghar me pooja Hoti hai Satya Narayan bhagwan ki toh no onion,garlic perfect thali hai main jarur banaungi 👍. God bless you always Mam ❤️❤️",3 weeks ago,Sonia Sangwan,UCVnY7YOWjoOVq6mLIDEGoXQ,0,https://yt3.ggpht.com/ytc/AKedOLRcWj-AjWpY-vrei0JIImWpLLuZOsNSAwQvhA=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyhpho-Gy9znaCLhQV4AaABAg,Holi ki bahut bahut shubhkamnaye,3 weeks ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgySQD0bbVmMun6vqIZ4AaABAg,Dahi aalo mam❤️,3 weeks ago,Aradhana yadav,UCuF5sPjdJY5BSVEdATmLOhQ,0,https://yt3.ggpht.com/ytc/AKedOLQyhVqLzgOQsWyI7pZEeyOqBG3xPxIlcaCmnrnH=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQbTqhUhDNw1dUZut4AaABAg,Nisha aunty you are genius♥,3 weeks ago,Komal Soni,UCORi6lrVdZ_bjb5qIF-6K8w,0,https://yt3.ggpht.com/ytc/AKedOLTd70YMlXKEWH04TW8bAS9UTTlfPpGaATl-1w=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-0UAgWBDHJdWiAed4AaABAg,Ma'am apki har recipe are marvelous thanks for sharing 🌹🌹🌹🌹,3 weeks ago,Anshu Ki Rasoi,UCTlbZApXTDVb26GX2TFzIsQ,0,https://yt3.ggpht.com/u6BcwGnSS_1ffrI1QufJS9vLYx-WproE_6iDKbjmTWlJKNn-eFPxc4bnBVuPDoMRGrBLjdyv=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfuPG0vooWZo_HG9t4AaABAg,"Thankyou so much ma'am meko kuch bhi bnana rahta hai aapki hi रेसिपी देखती  hu or ,bahut hi badhiya banti hai TQ,, ma'am rang panchmi। Ki bahut bahut shubhkamna",3 weeks ago,Aarti Yadav,UCASbfo6pTwRRdgog-1uQRFQ,0,https://yt3.ggpht.com/ytc/AKedOLT2DUVNEFHm2dWol9nQSX4jGasA5oqlGbwQqg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxU6EY8NbpbzpcvxjB4AaABAg,Bhut bdiya,3 weeks ago,suman mishra,UCzQw6e8qr3hW0-KbDJwnJTg,0,https://yt3.ggpht.com/ytc/AKedOLTlbBdwg94fRmt_xdp2zomXAfUvuknS5K52PA=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlKctZ8YT6X9yWURV4AaABAg,Sun Dried Chakli recipe upload please🙏🙏🙏🙏🙏🙏🙏🙏... Yesterday... Please🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,3 weeks ago,Asutosh Moharana,UCc1mHBjj4lkML6T96iVkgeA,1,https://yt3.ggpht.com/ytc/AKedOLRt4kmjdbtLMas1feROYEfq_hDLCmfe3ABBHLeTcdP0toH8A0MH7bXTCcUCdx_s=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOCebbPTM_tbHpiWx4AaABAg,Thanks for sharing yummy recipes nishaji,3 weeks ago,radhika sreedhar,UCjplY76umkMAYtbudWWKFbQ,0,https://yt3.ggpht.com/ytc/AKedOLSL_Gnxd0AWoTNlMjEpSo4blV-svxWgN9gocmN4=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw21BiqKC74B3TC31Z4AaABAg,Very nice 👌👍🌹,4 weeks ago,Shagufta Ka kitchen,UCTCFdom7a7OsIXj2NUUSpSA,0,https://yt3.ggpht.com/ymAuLathHIWjHGd50WisMNiiqDBYlFz2gym9gLKMaHxc6schkYAHcX24qGh2KepS3VLTgIBpyg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz69qKoFkyC6S6nlgF4AaABAg,"Wah bhut khub,mast, meri mom aise hi bnati thi , yaad dila di aapne.",4 weeks ago,Prabha Nautiyal,UCr60gfSllS6jr7834KFskJQ,0,https://yt3.ggpht.com/ytc/AKedOLTWfX87zRuEMMbaItjJx40TnXGc-fuVc3L03g=s176-c-k-c0x00ffffff-no-rj,0.0
UgwW8Cv8_XKYUpXMWP54AaABAg,I like palak paneer,4 weeks ago,Sulkshan Shah,UCDVkrnOkWl9D6mWnRYZZ57Q,0,https://yt3.ggpht.com/ytc/AKedOLTgBll2t_z6c5RtpMOz18OYTyIUd0pRWXg-lQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwmo-i5vkIfG6DN9qt4AaABAg,Bahut swadisht hai 👌🙏,4 weeks ago,Tarang Chourey,UCGItS7SJ0SV3nBoSV6XXJVw,0,https://yt3.ggpht.com/ytc/AKedOLQGjeFiQnhjFvZkfUTjcAnmoC39EOeHOj69fw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfwkvUqGWOTehBFsh4AaABAg,Tasty,4 weeks ago,Deepti Tiwari,UC8SfZg5yBb3hdhGhf2OsZxA,0,https://yt3.ggpht.com/TNkJuyeGI7xkqkQvBS0vio5VTIqMHpOySba3VrTUm-1Ghh5S0lgY1Jj87JLuanCA5tL1eM5T=s176-c-k-c0x00ffffff-no-rj,0.0
UgyHBj2Emnc8FXEmZ3x4AaABAg,Mam mujhe ek aise recipe dijiy jo mere liy vitamin se bharpur hoo...meri body m bhot jada pain rhta h.....weakness jada rhti h mujhe kya kya khana hoga plz btaiy...m aapki bhot purani subscriber hu ❤,4 weeks ago,Savita Kirar,UCuydeXJj8MpiuEnmY6_D4rQ,1,https://yt3.ggpht.com/LXCOnVohfMDifXWPxTGZh7W71Hgy8F6VKFoGWp_-iaENJxV-iGFCH97wtCnVxObI45uYaXWltb4=s176-c-k-c0x00ffffff-no-rj,0.0
UgxLNCkaCQGi2TL4oI14AaABAg,Muje apki recipie jayada acchi lagti hai kyuki app bina onion ke btati ho hum onion garlic ni khate jayadter tubers onion garlic dalte hai,4 weeks ago,Deepti Garg,UCFSHkH7wGA0Lh3iSmSyecnQ,0,https://yt3.ggpht.com/ytc/AKedOLSetB_Qdlq6Vxg_FoAaETkahGgz4aVDuZ-8og=s176-c-k-c0x00ffffff-no-rj,0.0
UgxPAiiUmVW_lwJM3GB4AaABAg.9_R0LBYDxXN9_R3IXOgY6_,Thank you Nancy ,11 days ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgybvO8laAr8desjDrp4AaABAg.9_Jywlj3hrf9_Lb-U-mJae,"Thank you so much, Mahnoor's W0rld",2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwv9muZ27L7sJWgKUV4AaABAg.9_7J4CXF3ic9_8lFvJ9y04,Thanks a lot Monika Sajwan ,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzMzdMk2UFr3z_pgaF4AaABAg.9_3tX-J2tZq9_61QIwEZe2,Thanks n welcome  My Little's World,2 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzG41RZ1QKe_784nyR4AaABAg.9_-VkZVLkYK9_0zXySww_U,"Thank you so much, Sonia Sangwan",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyhpho-Gy9znaCLhQV4AaABAg.9ZwbmigELKW9ZwvKhqzIJX,"Thanks Chitra Vlog ,  Aap ko aur aap ke parivar ko  Holi ki bahut bahut shubhkamnaye. 🙏",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgySQD0bbVmMun6vqIZ4AaABAg.9ZusQfadskw9Zuu9Dtsx-z,"Thank you so much, Aradhana yadav",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzQbTqhUhDNw1dUZut4AaABAg.9ZuhwChkGlH9ZujHk3Q9A1,"Thank you so much, Komal Soni",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw-0UAgWBDHJdWiAed4AaABAg.9ZsQgdpmNgf9ZsRC9lCCqi,Thanks n welcome  Anshu Ki Rasoi,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyfuPG0vooWZo_HG9t4AaABAg.9ZsCoqXN8Qz9ZsDS4q_F1X,Thanks & Same to you  Aarti Yadav ,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxU6EY8NbpbzpcvxjB4AaABAg.9ZrlkQiizRB9ZrqeYodcdv,"Thank you so much, suman mishra",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzlKctZ8YT6X9yWURV4AaABAg.9ZpL94QQr3S9ZpOO0DVZ_W,"Thanks  Asutosh Moharana , for your suggestion. I will try to upload it.",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzOCebbPTM_tbHpiWx4AaABAg.9ZoAEsTeiyk9ZpEFMBzuAH,Thanks n welcome  radhika sreedhar,3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw21BiqKC74B3TC31Z4AaABAg.9ZkodMcFtXz9ZpEO5JnLoL,"Thank you very much,  Shagufta Ka kitchen ",3 weeks ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz69qKoFkyC6S6nlgF4AaABAg.9ZkbZDztdwi9Zkbh0NjmRS,Palak paneer wo ghar par sabjiya ugati thi,4 weeks ago,Prabha Nautiyal,UCr60gfSllS6jr7834KFskJQ,0,https://yt3.ggpht.com/ytc/AKedOLTWfX87zRuEMMbaItjJx40TnXGc-fuVc3L03g=s176-c-k-c0x00ffffff-no-rj,0.0
