cid,text,time,author,channel,votes,photo,heart
UgwtCtoT0FheULZ9es14AaABAg,Very very nice,2 months ago,Pinki Yadav,UCkOerUdBr-niTjhrIUQorJg,0,https://yt3.ggpht.com/ytc/AKedOLSBBPmjrhpgdi0-W9RxQv3G6d4HnKRdEqznNIcIq0oARtuQJqlPf3r_hi0lnHsv=s176-c-k-c0x00ffffff-no-rj,0.0
UgyX9BuOv-MH6zwl06V4AaABAg,Nice recipe,3 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnV0I1UIIKfHaSfjR4AaABAg,Hello mam...aap kaunsa milk powder use kiye hai... please reply...dairy whitener use kar sakte hai kya,3 months ago,Cooking with Kanya,UCcmclLXUjR-ysaeXGNt94DQ,0,https://yt3.ggpht.com/ytc/AKedOLS_rYHV1t0SNgTD5Npvl52CFw9nyuyb7csHfGPT1iA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyR6Wvu8OTVTl-9bL94AaABAg,😋😋,4 months ago,Kajal Mishra,UCZdHaENICRXRn7nI92h_NMw,0,https://yt3.ggpht.com/167p6cXq493n17WLIeUeqIdnhGjXEJRB5idrpwWUjHJibV11U4Im31aA-UqxWz-XyeNBlb7qmWk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzl8WoOP_209OUYNH54AaABAg,Mam maine sheer pira bnaya bhut hi tasty bna thanks for sharing recipe,5 months ago,Harmeet Kaur,UCGlmar4O7Zz8yL8VmdYoQew,0,https://yt3.ggpht.com/ytc/AKedOLQN6S1G-U4W7OopgxUD0DwZNI1vGzAMErrRLQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4fHVuV0qITpQV4kh4AaABAg,Yammy dish mam👍👍👍👍👍👍🌟🌟🌟🌟🌟👏👏👏👏👏🙏🙏🙏🙏❤❤❤❤❤❤😋😋👌👌👌👌👌👌mam ess mithai ko kisme jamana hai please bataye,5 months ago (edited),Juna Bhatt,UCIUBCmeZkAQBq_XfXGxxbng,1,https://yt3.ggpht.com/ytc/AKedOLQNZTo9ZlO0iDl_gVNM_lzWPz0G-lIjBhoV7Q=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw71iEImnpHPN_JnS54AaABAg,"Hello, I tried this recipe but then the butter paper got stuck to the sweet.. how can we remove the butter paper and what different can we do to avoid this mistake...",5 months ago,haritha gourisetty,UCqQ-Iamq6Gyx-kexXEIlvrw,0,https://yt3.ggpht.com/ytc/AKedOLRCiM389EP6bHvXF0ZRF5rP4O5HuqGzowD19VI6Uw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcAbVq18A70Ujmw1d4AaABAg,Looking very beautiful and tempting,5 months ago,Tarang Chourey,UCGItS7SJ0SV3nBoSV6XXJVw,0,https://yt3.ggpht.com/ytc/AKedOLQGjeFiQnhjFvZkfUTjcAnmoC39EOeHOj69fw=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxKZcyczDLRRU0lYt4AaABAg,👌😋,5 months ago,sulekha Saraj,UCNhx3zvwXw2jVR5rO-7kvrg,0,https://yt3.ggpht.com/ytc/AKedOLTHsLlrjpGBCJ1EvcZ8IHxACJMuXMnCVtlCMQ=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWjP79JmeGCDsuHod4AaABAg,Wooow,5 months ago,Moon's world,UCvKodLkoTYRgkNCV90JyWeA,0,https://yt3.ggpht.com/jg_jy3BDgkHNp4PpZNwrGKU0qytfC8mr5IagYgqXmUZhoZv9Zb8l5AoE8ZVgzx8xiyx6irK1sf8=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLj0-7HmXScDHeNBh4AaABAg,Wow 👌,5 months ago,Mirza Asad,UCB-zbp28vt69FNTYxI5plPw,0,https://yt3.ggpht.com/ytc/AKedOLQ_rvrnLu5BO5JbvUUZWzUcaDGV09Bij-0vcyLoXA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBn5KVUwkGhP-HjY54AaABAg,Kitne din tak kharab nhi hogi ye mithai?,5 months ago,Samiksha Khandelwal,UCvxg3d7Ey8w93OyEv7YJQCQ,0,https://yt3.ggpht.com/ytc/AKedOLSsptPaeJu8NVG3e2nMczcaDyXZKUwOyslpxQ3Q0vw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWjJHFmm1T7IDcKHh4AaABAg,Very nice recipes,5 months ago,Parmanand Kumar,UC-t-h-jDCqyDDL6vD5Q0IRw,0,https://yt3.ggpht.com/ytc/AKedOLT2-hgPD24pEi11FZXK5lALLTbcEZVL1Tvdbg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5iudB_R8wtmXUg954AaABAg,1 saal tak rakh sakte hai kya,5 months ago,z,UC8gi9-B17ZD2BeKj6xGi5bQ,0,https://yt3.ggpht.com/ytc/AKedOLSLtbs5vbAAIOggW_CgWfCjjm13H7HNpBlfzO3Pas9iDkIL3Dlp4-UHCfLJeYro=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdxTANsS51Kz5QPFF4AaABAg,Love uhh aunty aap muje bahut hi jyada achhi lgti ho..,5 months ago,ananya dwivedi,UCaiN9VX8PPgZqqJFhmHAM9w,0,https://yt3.ggpht.com/uEgI_w2FIuTwAFhbp1DdOKGq7gfp0NWkka8iEzH7CaLdVAjfSpTv0gis8WNpJOjiG410psLq=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzsmnu7AQ3t3-21f1J4AaABAg,Very nyc  I will prepare,5 months ago,Anu Marwah,UCSWBIcOTdbRNL10dFNIP8gw,0,https://yt3.ggpht.com/ytc/AKedOLSIn-ytxzlI0neo2KQSinOlyG2o25n2kla15w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW-l8SZ_e590UIPAl4AaABAg,"Wow, Perfect recipe👌👌👍🏻",5 months ago,Friends & Family Kitchen,UCwYDhJ3f6IWS7xIUTkfCBpg,0,https://yt3.ggpht.com/w1meBQDWBeQS7H5wRlKNg2CyTMurhvZgi_6EvEEuMUJEmuyl_19j1rf1oPn3xk7B0-U8cIRa=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1evDX3y9G7gFpdBN4AaABAg,"Bahut achhi recipe  batai apne mem,Thank   you",5 months ago,Neeta Panchal,UC2z7FNInp1W0OKOFDgdN1gA,0,https://yt3.ggpht.com/ytc/AKedOLSfv3kx7EMzwCN4-YVrhIZW6TLrzT0q-5-0jA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMQ1XdPREs-1y44pl4AaABAg,It seems too sweet. Becoz milk powder already contain sweet. And is this very hard to eat?? Plz clarify.,5 months ago,Sanchita Ghosh,UCXAF_d0dtePFDm6Zxyes10A,0,https://yt3.ggpht.com/ytc/AKedOLRHYl8oDSwDaLpynRwzWZZxwHiOhC8tNhSMAA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjrxychSsSiFKzEFN4AaABAg,Superrrr nice resipe❤😋,5 months ago,RATAN RASOI,UCRCXD8G7LToDcfkzyI-UrZg,0,https://yt3.ggpht.com/-P0QM-G6Lfu_j0HsE22J7V3V2ekqfU6BiO892icM3UXu4TZ6rMwAfltGiEgr4NOu4ilVGI8dOw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwtCtoT0FheULZ9es14AaABAg.9XJGcsRRv8_9XKVv6CdcB9,"Thank you very much,  Pinki Yadav ",2 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyX9BuOv-MH6zwl06V4AaABAg.9WtU5hK7FrG9WtcDNOTh5o,"Thank you so much, Chitra Vlog",3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnV0I1UIIKfHaSfjR4AaABAg.9WCekDB4hvn9WCj7QsUYZy,Dairy whitener se acha nhi banega  Cooking with Kanya maine amul sagar milk powder use kiya hai ,3 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwnV0I1UIIKfHaSfjR4AaABAg.9WCekDB4hvn9WCkXVh4APa, @Nisha Madhulika  thank you so much for your timely reply 🙏so sweet of you mam,3 months ago,Cooking with Kanya,UCcmclLXUjR-ysaeXGNt94DQ,0,https://yt3.ggpht.com/ytc/AKedOLS_rYHV1t0SNgTD5Npvl52CFw9nyuyb7csHfGPT1iA=s176-c-k-c0x00ffffff-no-rj,0.0
UgyR6Wvu8OTVTl-9bL94AaABAg.9VmMK63wFXN9Vnc4j33-rk,"Thank you very much,  Kajal Mishra ",4 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzl8WoOP_209OUYNH54AaABAg.9UnrJ-GYcPx9Unsj0D2po0,Thanks n welcome  Harmeet Kaur,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz4fHVuV0qITpQV4kh4AaABAg.9UHhVtJciPU9UMPJtIvPbB,"Thank you very much,  Juna Bhatt ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw71iEImnpHPN_JnS54AaABAg.9UGf_Qa4PtZ9UMYTFw3vWd,"Yes, maybe you have not applied ghee on butter paper, this is the reason-Thanks",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwcAbVq18A70Ujmw1d4AaABAg.9U9YIt_j9RJ9UBfmDbA-sC,"Thank you very much,  Tarang Chourey ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxxKZcyczDLRRU0lYt4AaABAg.9U76ZPpMiUO9U78tsHQjc2,"Thank you so much, sulekha Saraj",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzWjP79JmeGCDsuHod4AaABAg.9U7-Ag-j3SU9U70l8KWids,"Thank you so much, Moon's world",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyLj0-7HmXScDHeNBh4AaABAg.9U52-b-VkmW9U6Qmp5zb6i,"Thank you very much,  Mirza Asad ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBn5KVUwkGhP-HjY54AaABAg.9U4rPhRrXnl9U6j1zBBGwj,Hum ise fridge mein rakh kar mahine bhar tak kha skte hai  Samiksha Khandelwal ,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,1,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgwWjJHFmm1T7IDcKHh4AaABAg.9U1nbbdtdo_9U1qVxyr0X9,"Thank you so much, Parmanand Kumar",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5iudB_R8wtmXUg954AaABAg.9U-YpjrggEW9U1cvwcErRo,Yes z ise airtight pack krke fridge mein store kr skte hai. ,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz5iudB_R8wtmXUg954AaABAg.9U-YpjrggEW9U1ijd6oyk9, @Nisha Madhulika  fridge nhi hai जमीन मे गाड़ के रख सकते है,5 months ago,z,UC8gi9-B17ZD2BeKj6xGi5bQ,0,https://yt3.ggpht.com/ytc/AKedOLSLtbs5vbAAIOggW_CgWfCjjm13H7HNpBlfzO3Pas9iDkIL3Dlp4-UHCfLJeYro=s176-c-k-c0x00ffffff-no-rj,0.0
UgzdxTANsS51Kz5QPFF4AaABAg.9TyIMwVXi469Tziq25pyTu,"Thank you very much,  Anjali Dwivedi ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzsmnu7AQ3t3-21f1J4AaABAg.9TvntF09xH39Tx8tVH4t9m,"Thank you very much,  Anu Marwah ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxW-l8SZ_e590UIPAl4AaABAg.9TuSw7HIRcI9TuaLNCB670,"Thank you very much,  Friends & Family Kitchen ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy1evDX3y9G7gFpdBN4AaABAg.9TsWO4D3mOs9TuZsn1SFo4,Thanks n welcome  Neeta Panchal,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxMQ1XdPREs-1y44pl4AaABAg.9TsJdwQYXOA9TujTaUpanA,You should have used unsweetened milk powder  Sanchita Ghosh and its hard because of over cook ,5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgxjrxychSsSiFKzEFN4AaABAg.9TrfSsud1Je9Tue-tkL0-w,"Thank you very much,  Sandeep Maniyar ",5 months ago,Nisha Madhulika,UCgoxyzvouZM-tCgsYzrYtyg,0,https://yt3.ggpht.com/YTSqxEa8CYWCcI04kAzS1MLXWdR4E6IPcugsl3D5iZ0Iz95CSrQo4OHJ4avraEzesluuS11Frg=s176-c-k-c0x00ffffff-no-rj,0.0
UgyhqlIFXLDWlojd88N4AaABAg,"Yummy 😋❤
Thanku Aunty Ji 🙏😍",5 months ago,Abha Mishra,UCtrgXeWucpC6SsiylFkqReg,0,https://yt3.ggpht.com/ytc/AKedOLQBYZ2B-o3mk9foPz8z40xMwA3ROBLH4q3yPSNI=s176-c-k-c0x00ffffff-no-rj,0.0
UgxfknLm9_e3PJqPMGF4AaABAg,आंवला की मिठी कली चीनी की केसे बनाए,5 months ago,Meena Sharma,UCqw9Pun5djeCOl1KKFOfxlg,0,https://yt3.ggpht.com/ytc/AKedOLS0-hskiCoFUe4XHyrTf5Is9OV1CsdLQadUpVAaQQAorYBdWfjErYRc4TrUN5Ji=s176-c-k-c0x00ffffff-no-rj,0.0
Ugypp_SrsHxRz8o0Jjx4AaABAg,Your all recipe is very tasty,5 months ago,P K Pranava,UCLfGURq3lA5wyje3PLyTP_g,0,https://yt3.ggpht.com/ytc/AKedOLQ5Uyk0IsjtEGXMY4n9c5xysdHDx0LB8zYy9XhmOw=s176-c-k-c0x00ffffff-no-rj,0.0
UgzesQA3tqwpWCWIufR4AaABAg,यह कौन सा मिल्क पाऊडर है ? अमूल मिल्क पाऊडर में तो पहले से ही चीनी मिली होती है । कृप्या आप जो मिल्क पाऊडर काम ले रही हैं उसका नाम और क्म्पनी बताये !,5 months ago,Asha Sachdev,UCxztA9YceOSVeD7FKK4NIkg,0,https://yt3.ggpht.com/ytc/AKedOLRw0LEysJ9JPtU3xkXTdlr-7OQ9Nubo7jLKFg=s176-c-k-c0x00ffffff-no-rj,0.0
UgzNZpbiSoe3iP1uLzl4AaABAg,Nyc,5 months ago,Bindas Recipe,UC_6j-Ce8wFIMceiOu2tOTMQ,1,https://yt3.ggpht.com/dv5NtnyGs9Tfo0LZjKTuO44vTuhrOp2od65cyjKgMdiB8UN7LLX4F2tPqLdKGWAcs70geazmuFo=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz3QE4Ohh3QtL2BnMt4AaABAg,Mashaallah 👌🏼👌🏼💕💕💕,5 months ago,Tabassum Faheem Vlog🇵🇰,UC1w5S4j5kg9FyfI5MC7vLmA,0,https://yt3.ggpht.com/Ar6OSbdGxHdkMOYTkD0WpwTYr24rys3KlzpOp0nHGHhY1lRDX65BW50ecKfADA7AW4ySuXnzYg=s176-c-k-c0x00ffffff-no-rj,0.0
