cid,text,time,author,channel,votes,photo,heart
UgyUCYio4g99UE3qSzN4AaABAg,I tried it. It's Awesome! Thank you Ma'am for shering recipe. Everyone loved fried rice.,2 weeks ago,DEEPALI HAJGUDE,UCWQ8ndpKuyd9k5flb1pjuKA,1,https://yt3.ggpht.com/ytc/AKedOLSIa0xo_N_LCAk4Eb3FgkbmacGoEl4lQizMX1Pi=s176-c-k-c0x00ffffff-no-rj,0.0
Ugz9MuTT_tPdhCif9Nx4AaABAg,"Very Good mam, bahut badhiya.simple and quick recipe.🙏🏻🙏🏻",3 weeks ago,Ruchira Sawant,UCdVo1bvwqPMpgyQ9nJjLg7A,0,https://yt3.ggpht.com/ytc/AKedOLRCSgD0tZOU4nJl7lcyB9QShQxb3BvJLBeL6g=s176-c-k-c0x00ffffff-no-rj,0.0
UgzztZ8xkqVku2Il2dt4AaABAg,😋😋😋,3 weeks ago,गायु.ankush.jadhav,UCFAkPA3Tpdv0I1zTAsiT-Ow,0,https://yt3.ggpht.com/ytc/AKedOLSR1lZ4sqYBX8MgXLEXngerHma5GWh3uxhthnXRlsnVWQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugzh01eXcIb8axxa7s14AaABAg,❤❤👌,1 month ago,Mamta Dhama,UCW8LLFh8So-x8canLRwlwJA,0,https://yt3.ggpht.com/ytc/AKedOLSzxPnpY8TckMQ0WLPsg2db8mpjCyYlyAO5sw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugx2BG3dR9F4wGPHJyJ4AaABAg,Beautiful  recipe 😍👌,1 month ago,P  Vekaria,UCSs1HRKWsT6A2m3lCN10lRQ,0,https://yt3.ggpht.com/ytc/AKedOLRVLgffhQRmWrL6OYoctugP9mRxP57pqmnfIv1k_-upWnCm1x37F3VbzdbGsLt5=s176-c-k-c0x00ffffff-no-rj,0.0
UgyVgcea7NzjzHU4Y-p4AaABAg,Mam bahot hee jaldi ban jata hai,1 month ago,Bhakti Tervankar,UCKjF5WQd5GSULEeXHHI9x5w,0,https://yt3.ggpht.com/ytc/AKedOLQ_DL_h8qGH9birSFqHgpFVFdk0Kh8YLZrXSA=s176-c-k-c0x00ffffff-no-rj,0.0
UgxQICTglm1VDNUP2sR4AaABAg,Bashmati ka chaval jaruri ha or koi chaval nahi istemaal Kar sakte,1 month ago,Kajal Pandey,UCRQuCc2t044O6dohLZ-c2wA,0,https://yt3.ggpht.com/ytc/AKedOLQERL5cZiQBV4wYM1_IATUyf85Z5ftXsTLjnLWnw6MDG2SXrsdCgNYbflU-jaKy=s176-c-k-c0x00ffffff-no-rj,0.0
Ugwnh2kIExxhqpqnIuN4AaABAg,I used to prefer that don't use Tomato sause other wise you spoil your fried rice but nice recipe,1 month ago (edited),Amit Dash,UC8RREF2u9WaICAa5sYw8NXw,1,https://yt3.ggpht.com/S_2jBmSYgbNrQzbShwQ6g6jpKvow8CJYMIny2ofbV0vAd83Ic0GhK7oHFI-rriWhQzIF6EOk=s176-c-k-c0x00ffffff-no-rj,0.0
Ugyr0whTr57pcd8Lqwd4AaABAg,thank you maam ghar mein sabhi ko pasand aaya jab maine banaya,1 month ago,Abhijoy Chanda,UC4WTzHzUZmtYx3YObwSET-g,0,https://yt3.ggpht.com/ytc/AKedOLThxN7SoQqH5LQBVbUtmm-JZJn4ZYYGhnk_frUQvWVlYI15x3Gu_ZTjQ3GS2uVT=s176-c-k-c0x00ffffff-no-rj,0.0
UgxBhF3Vxju2EL8u5cN4AaABAg,"Nisha mam, nice recipe & very easy.🙏🙏 Thanks.",1 month ago,Anil Tikone,UC-brQfVKsWMgaomSexHE-JQ,1,https://yt3.ggpht.com/ytc/AKedOLRTWAyHGGCQ_2_E38BaEB3tMMubKsmZEBrB7w=s176-c-k-c0x00ffffff-no-rj,0.0
