cid,text,time,author,channel,votes,photo,heart
UgzwwTH-wcpH_ZyngMd4AaABAg,Humne  lauki  ka muthiya  bnaya  bhut  achha  bna  ise bhi  bnayenge,2 months ago,Archana Singh,UC0FwPvwhprSfQbkc_11C0cg,0,https://yt3.ggpht.com/ytc/AKedOLTk_9pr41OSFUD-9U488vI0f2fFGEav_VmT1w=s176-c-k-c0x00ffffff-no-rj,0.0
UgxAU03p9RoI7siau3x4AaABAg,"Wow looks very delicious😋😋
Kya aap jowar & bajari sebhi istaraha ki recepies banate ho without wheat flour to please  batao....",2 months ago,vidya dhote,UCAqBS0XtGTU_SB5ciFMWP2Q,0,https://yt3.ggpht.com/ytc/AKedOLTuaRQa47wjrTuivKin1UhK6aDLIe-2HJDC3N-f=s176-c-k-c0x00ffffff-no-rj,0.0
UgwvHj8RSTpK-53VePV4AaABAg,"Aunty mane try kiya sach sach mein amazing bane.this is the respie where no need potato , onion 🧅 garlic 🧄.it's pure jain recipe thank you.very tasty and healthy",2 months ago,Jyoti Jain,UC7HdmfwIWNjOIIMKzRPMaRg,0,https://yt3.ggpht.com/ytc/AKedOLStPJfEB8lXSK6H6YWWm4j_zpm5284-wJC_cw=s176-c-k-c0x00ffffff-no-rj,0.0
UgwLpEbS5vP3E2KPRXp4AaABAg,Aate ke pediya kasi benay,2 months ago,Neha Pal,UCnMqQN750uPObzvLpAOeu3g,0,https://yt3.ggpht.com/CbWhCDUD3AmRy2WSFritIuIGDN5KjUeCjIjwW0yRPgPzzS1qInkmQpVE00_dM32l_S0NIlZf=s176-c-k-c0x00ffffff-no-rj,0.0
UgytkGneW1xEoA16OpR4AaABAg,👌👌,2 months ago,Kamini barasia,UCNp2IIhlw197SDEqmHG0FLw,0,https://yt3.ggpht.com/ytc/AKedOLTtn1BcpvfI0sem2fQCtP5-nBSpV_bptadASQ=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy3PJ9gmRk42rU4glh4AaABAg,Too good 🌹,2 months ago,Laddi Dhingra,UCeZuF8vx74K0y5OH0YszEkQ,0,https://yt3.ggpht.com/ytc/AKedOLQQm3mTZPwi3l0CMLT8s2sJdKxeqyamBsG6v_ug5ascAlSFur39QoFicfuCwUUq=s176-c-k-c0x00ffffff-no-rj,0.0
Ugy6EVNVlF07MqcWl794AaABAg,Nisha ji aapki har dish bahut shandar banti hai lakin hum  bthuva nahi  samajhe,2 months ago (edited),Irfan Khatri,UC1OG6wX18HfTlKqY55Bk6EQ,0,https://yt3.ggpht.com/1lzlxzQx0ut1E5ztaj8ut8WlX9nDkN1kkszF3IgTmBQszdlyluJS9p94CUU1xsVrgTJEM6E6jA=s176-c-k-c0x00ffffff-no-rj,0.0
UgywKLzrU3p971dJNhh4AaABAg,Amezing video,2 months ago,Chitra Vlog,UCvWfs2ovmfJ2IbMGfZoleKw,0,https://yt3.ggpht.com/XkiS1h1pWGg-IfEl_viCCHYYeGHV0-jyo7Tq5fLewqeH3q_hdlZ7xI6_01yFXSM1SMzur6vRfw=s176-c-k-c0x00ffffff-no-rj,0.0
Ugw8e_4Iua_6cSfK5jd4AaABAg,Definitely going to try it.Thanks a lot for such healthy recipe.,2 months ago,SHARDA SINGH,UCpAnV2rT0OfOEjiH-EPqDzw,0,https://yt3.ggpht.com/ytc/AKedOLTmuUO9mICVCKlPAHEWUQt00MOJijppagYwfA=s176-c-k-c0x00ffffff-no-rj,0.0
UgwKV58Ov4gkinjsdDd4AaABAg,So.healthy and yummy recipe...I am going to try it today👍,2 months ago,Barkha Agarwal,UCTnwukm00TRNuUFmrmjJ1AA,0,https://yt3.ggpht.com/ytc/AKedOLTDMT72A7tltmwBui_rhC8bfvWgyZes7d4zYA=s176-c-k-c0x00ffffff-no-rj,0.0
